Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.13819	0.11707	0.15187	2.02213	0.4118	0.2036	0.1217	0.8783	14	101
0.13432	0.11626	0.14812	1.80102	0.2941	0.1633	0.1099	0.8901	10	81
0.13397	0.11618	0.14775	1.80102	0.2941	0.1633	0.1099	0.8901	10	81
0.13397	0.11618	0.14775	1.80102	0.2941	0.1633	0.1099	0.8901	10	81
0.13346	0.11602	0.14755	1.62091	0.2647	0.1633	0.1000	0.9000	9	81
0.13311	0.11590	0.14715	1.62091	0.2647	0.1633	0.1000	0.9000	9	81
0.13256	0.11496	0.14702	1.60115	0.2647	0.1653	0.0989	0.9011	9	82
0.13096	0.11113	0.14702	1.45882	0.2647	0.1815	0.0909	0.9091	9	90
0.12911	0.11100	0.14336	1.42324	0.2353	0.1653	0.0889	0.9111	8	82
0.11391	0.07674	0.14336	1.31699	0.3824	0.2903	0.0828	0.9172	13	144
0.09860	0.07660	0.11911	1.23033	0.2059	0.1673	0.0778	0.9222	7	83
0.09788	0.07630	0.11899	1.21569	0.2059	0.1694	0.0769	0.9231	7	84
0.09765	0.07630	0.11853	1.04202	0.1765	0.1694	0.0667	0.9333	6	84
0.09718	0.07617	0.11829	1.04202	0.1765	0.1694	0.0667	0.9333	6	84
0.09671	0.07591	0.11707	0.85813	0.1471	0.1714	0.0556	0.9444	5	85
0.09647	0.07538	0.11707	0.84815	0.1471	0.1734	0.0549	0.9451	5	86
0.05896	0.02736	0.11631	0.76528	0.4706	0.6149	0.0498	0.9502	16	305
0.02864	0.02392	0.03776	0.64478	0.2353	0.3649	0.0423	0.9577	8	181
