Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.27773	0.22159	0.33013	6.53351	0.5968	0.0913	0.3246	0.6754	37	77
0.27579	0.21900	0.32549	6.36811	0.5968	0.0937	0.3190	0.6810	37	79
0.27300	0.21498	0.32258	6.11855	0.5806	0.0949	0.3103	0.6897	36	80
0.27069	0.21380	0.32083	5.94859	0.5645	0.0949	0.3043	0.6957	35	80
0.27019	0.21372	0.32083	5.87515	0.5645	0.0961	0.3017	0.6983	35	81
0.27019	0.21372	0.32083	5.87515	0.5645	0.0961	0.3017	0.6983	35	81
0.26836	0.21302	0.32040	5.77863	0.5484	0.0949	0.2982	0.7018	34	80
0.26099	0.20030	0.32025	5.58978	0.5968	0.1068	0.2913	0.7087	37	90
0.25561	0.20030	0.31228	5.17972	0.5161	0.0996	0.2759	0.7241	32	84
0.25512	0.20030	0.31171	5.01786	0.5000	0.0996	0.2696	0.7304	31	84
0.25225	0.19692	0.31116	5.00111	0.5161	0.1032	0.2689	0.7311	32	87
0.24929	0.19684	0.30620	4.79886	0.4839	0.1008	0.2609	0.7391	30	85
0.24879	0.19684	0.30594	4.63890	0.4677	0.1008	0.2544	0.7456	29	85
0.24738	0.19610	0.30555	4.37597	0.4516	0.1032	0.2435	0.7565	28	87
0.24687	0.19610	0.30495	4.21969	0.4355	0.1032	0.2368	0.7632	27	87
0.24641	0.19477	0.30495	4.17174	0.4355	0.1044	0.2348	0.7652	27	88
0.24492	0.19359	0.30473	4.01723	0.4194	0.1044	0.2281	0.7719	26	88
0.24394	0.19269	0.30256	4.01723	0.4194	0.1044	0.2281	0.7719	26	88
0.24349	0.19203	0.30256	3.97209	0.4194	0.1056	0.2261	0.7739	26	89
0.24152	0.18933	0.30041	3.77688	0.4032	0.1068	0.2174	0.7826	25	90
0.23918	0.18520	0.29988	3.65505	0.4032	0.1103	0.2119	0.7881	25	93
0.23611	0.18352	0.29421	3.62581	0.3871	0.1068	0.2105	0.7895	24	90
0.23221	0.17592	0.29387	3.57810	0.4032	0.1127	0.2083	0.7917	25	95
0.22830	0.17525	0.28301	3.25140	0.3548	0.1091	0.1930	0.8070	22	92
0.22735	0.17433	0.28111	3.25140	0.3548	0.1091	0.1930	0.8070	22	92
0.22640	0.17312	0.28056	3.25140	0.3548	0.1091	0.1930	0.8070	22	92
0.22546	0.17295	0.28039	3.07024	0.3387	0.1103	0.1842	0.8158	21	93
0.22448	0.16943	0.27940	3.07024	0.3387	0.1103	0.1842	0.8158	21	93
0.22400	0.16875	0.27940	3.03758	0.3387	0.1115	0.1826	0.8174	21	94
0.22252	0.16653	0.27927	2.89293	0.3226	0.1115	0.1754	0.8246	20	94
0.21567	0.15606	0.27899	2.71935	0.3387	0.1246	0.1667	0.8333	21	105
0.20855	0.15522	0.26243	2.38294	0.2742	0.1151	0.1491	0.8509	17	97
0.20761	0.15505	0.25951	2.38294	0.2742	0.1151	0.1491	0.8509	17	97
0.20621	0.15309	0.25857	2.35862	0.2742	0.1163	0.1478	0.8522	17	98
0.20621	0.15309	0.25857	2.35862	0.2742	0.1163	0.1478	0.8522	17	98
0.20481	0.15172	0.25553	2.21988	0.2581	0.1163	0.1404	0.8596	16	98
0.20389	0.15088	0.25467	2.06012	0.2419	0.1174	0.1316	0.8684	15	99
0.20201	0.14656	0.25413	1.86622	0.2258	0.1210	0.1207	0.8793	14	102
0.20017	0.14536	0.25153	1.75008	0.2097	0.1198	0.1140	0.8860	13	101
0.19923	0.14400	0.24995	1.75008	0.2097	0.1198	0.1140	0.8860	13	101
0.19829	0.14317	0.24881	1.75008	0.2097	0.1198	0.1140	0.8860	13	101
0.19735	0.14182	0.24608	1.75008	0.2097	0.1198	0.1140	0.8860	13	101
0.19359	0.13899	0.24500	1.65194	0.2097	0.1269	0.1083	0.8917	13	107
0.19000	0.13823	0.24242	1.59962	0.1935	0.1210	0.1053	0.8947	12	102
0.18955	0.13773	0.24242	1.58409	0.1935	0.1222	0.1043	0.8957	12	103
0.17146	0.10593	0.24236	1.47791	0.2419	0.1637	0.0980	0.9020	15	138
0.10757	0.03174	0.20243	1.17101	0.2903	0.2479	0.0793	0.9207	18	209
0.06271	0.03174	0.10457	1.02617	0.1290	0.1257	0.0702	0.9298	8	106
0.06207	0.03145	0.10297	1.02617	0.1290	0.1257	0.0702	0.9298	8	106
0.06128	0.03113	0.10297	0.99793	0.1290	0.1293	0.0684	0.9316	8	109
0.05906	0.02930	0.10050	0.87319	0.1129	0.1293	0.0603	0.9397	7	109
0.05758	0.02837	0.09927	0.86525	0.1129	0.1305	0.0598	0.9402	7	110
0.05494	0.02733	0.09572	0.85745	0.1129	0.1317	0.0593	0.9407	7	111
0.05263	0.02674	0.09279	0.85745	0.1129	0.1317	0.0593	0.9407	7	111
0.04922	0.02545	0.08932	0.69136	0.0968	0.1400	0.0484	0.9516	6	118
0.04482	0.02375	0.08008	0.60163	0.0806	0.1340	0.0424	0.9576	5	113
0.04313	0.02340	0.07557	0.49443	0.0645	0.1305	0.0351	0.9649	4	110
0.04267	0.02320	0.07368	0.49443	0.0645	0.1305	0.0351	0.9649	4	110
0.04223	0.02300	0.07304	0.49443	0.0645	0.1305	0.0351	0.9649	4	110
0.04146	0.02264	0.07221	0.48560	0.0645	0.1329	0.0345	0.9655	4	112
0.03988	0.02230	0.07023	0.47708	0.0645	0.1352	0.0339	0.9661	4	114
0.03962	0.02230	0.07013	0.35781	0.0484	0.1352	0.0256	0.9744	3	114
0.02303	0.00768	0.06784	0.19218	0.0645	0.3357	0.0139	0.9861	4	283
0.00990	0.00663	0.01439	0.09508	0.0161	0.1696	0.0069	0.9931	1	143
0.00514	0.00120	0.01196	0.03230	0.0161	0.4994	0.0024	0.9976	1	421
