Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.17936	0.13188	0.19079	2.66667	0.5556	0.2083	0.1818	0.8182	10	45
0.17840	0.12539	0.19079	2.60869	0.5556	0.2130	0.1786	0.8214	10	46
0.17728	0.11458	0.19079	2.55319	0.5556	0.2176	0.1754	0.8246	10	47
0.12963	0.01936	0.19079	2.52631	0.8889	0.3519	0.1739	0.8261	16	76
0.08697	0.01828	0.17870	2.04255	0.4444	0.2176	0.1455	0.8545	8	47
0.08405	0.01814	0.17465	2.04255	0.4444	0.2176	0.1455	0.8545	8	47
0.08115	0.01504	0.17414	2.04255	0.4444	0.2176	0.1455	0.8545	8	47
0.07375	0.01205	0.17380	1.88235	0.4444	0.2361	0.1356	0.8644	8	51
0.05646	0.01109	0.16578	1.71429	0.4444	0.2593	0.1250	0.8750	8	56
0.04055	0.01102	0.12539	1.41176	0.3333	0.2361	0.1053	0.8947	6	51
0.03672	0.01076	0.11458	1.30909	0.3333	0.2546	0.0984	0.9016	6	55
0.03116	0.01068	0.10591	1.26316	0.3333	0.2639	0.0952	0.9048	6	57
0.02642	0.01064	0.09046	1.24138	0.3333	0.2685	0.0938	0.9062	6	58
0.02219	0.01054	0.07086	1.14286	0.3333	0.2917	0.0870	0.9130	6	63
0.01552	0.01046	0.04587	0.80899	0.3333	0.4120	0.0632	0.9368	6	89
0.01214	0.01046	0.03336	0.48322	0.3333	0.6898	0.0387	0.9613	6	149
0.01200	0.01046	0.03157	0.40268	0.2778	0.6898	0.0325	0.9675	5	149
0.01162	0.01046	0.02979	0.32653	0.2222	0.6806	0.0265	0.9735	4	147
0.01127	0.01046	0.02586	0.24828	0.1667	0.6713	0.0203	0.9797	3	145
0.01048	0.01046	0.01068	0.21429	0.1111	0.5185	0.0175	0.9825	2	112
