Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.08761	0.02094	0.11686	3.07141	1.0000	0.3256	0.3000	0.7000	6	14
0.08258	0.01627	0.11639	2.38888	0.8333	0.3488	0.2500	0.7500	5	15
0.07722	0.00914	0.11600	2.38888	0.8333	0.3488	0.2500	0.7500	5	15
0.06571	0.00576	0.11584	2.10784	0.8333	0.3953	0.2273	0.7727	5	17
0.06332	0.00576	0.11453	1.68627	0.6667	0.3953	0.1905	0.8095	4	17
0.06332	0.00576	0.11453	1.68627	0.6667	0.3953	0.1905	0.8095	4	17
0.05528	0.00488	0.11240	1.26470	0.5000	0.3953	0.1500	0.8500	3	17
0.04984	0.00366	0.11029	1.26470	0.5000	0.3953	0.1500	0.8500	3	17
0.04237	0.00161	0.10761	1.19444	0.5000	0.4186	0.1429	0.8571	3	18
0.04237	0.00161	0.10761	1.19444	0.5000	0.4186	0.1429	0.8571	3	18
0.03379	0.00133	0.09747	0.79630	0.3333	0.4186	0.1000	0.9000	2	18
0.02898	0.00120	0.09534	0.37719	0.1667	0.4419	0.0500	0.9500	1	19
0.02030	0.00039	0.08424	0.31159	0.1667	0.5349	0.0417	0.9583	1	23
0.01236	0.00039	0.05794	0.00000	0.0000	0.4884	0.0000	1.0000	0	21
0.01236	0.00039	0.05794	0.00000	0.0000	0.4884	0.0000	1.0000	0	21
0.00687	0.00027	0.03485	0.00000	0.0000	0.4884	0.0000	1.0000	0	21
0.00547	0.00027	0.02799	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
0.00329	0.00009	0.02094	0.00000	0.0000	0.5814	0.0000	1.0000	0	25
0.00245	0.00004	0.01627	0.00000	0.0000	0.5814	0.0000	1.0000	0	25
0.00187	0.00004	0.00914	0.00000	0.0000	0.5581	0.0000	1.0000	0	24
0.00156	0.00004	0.00576	0.00000	0.0000	0.5349	0.0000	1.0000	0	23
0.00156	0.00004	0.00576	0.00000	0.0000	0.5349	0.0000	1.0000	0	23
0.00133	0.00002	0.00576	0.00000	0.0000	0.6279	0.0000	1.0000	0	27
0.00078	0.00002	0.00488	0.00000	0.0000	0.5581	0.0000	1.0000	0	24
0.00060	0.00002	0.00366	0.00000	0.0000	0.5349	0.0000	1.0000	0	23
0.00046	0.00002	0.00161	0.00000	0.0000	0.5116	0.0000	1.0000	0	22
0.00046	0.00002	0.00161	0.00000	0.0000	0.5116	0.0000	1.0000	0	22
0.00035	0.00002	0.00133	0.00000	0.0000	0.4651	0.0000	1.0000	0	20
