Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.12962	0.09660	0.14588	3.57396	0.5484	0.1534	0.3696	0.6304	17	29
0.12560	0.09489	0.14275	3.41419	0.4516	0.1323	0.3590	0.6410	14	25
0.12431	0.09250	0.14257	3.41419	0.4516	0.1323	0.3590	0.6410	14	25
0.12302	0.09219	0.13994	3.41419	0.4516	0.1323	0.3590	0.6410	14	25
0.10347	0.05367	0.13963	2.97403	0.6452	0.2169	0.3279	0.6721	20	41
0.08495	0.05354	0.11925	2.70967	0.3871	0.1429	0.3077	0.6923	12	27
0.08172	0.05106	0.11866	2.23548	0.3548	0.1587	0.2683	0.7317	11	30
0.07816	0.05025	0.11603	2.10233	0.3226	0.1534	0.2564	0.7436	10	29
0.07647	0.05011	0.11294	2.10233	0.3226	0.1534	0.2564	0.7436	10	29
0.07356	0.04828	0.11019	1.71472	0.2903	0.1693	0.2195	0.7805	9	32
0.05833	0.02864	0.10508	1.05521	0.2903	0.2751	0.1475	0.8525	9	52
0.04329	0.02767	0.05916	0.89658	0.1613	0.1799	0.1282	0.8718	5	34
0.04247	0.02723	0.05867	0.89658	0.1613	0.1799	0.1282	0.8718	5	34
0.04166	0.02674	0.05525	0.89658	0.1613	0.1799	0.1282	0.8718	5	34
0.04092	0.02662	0.05402	0.69677	0.1290	0.1852	0.1026	0.8974	4	35
0.03986	0.02630	0.05378	0.67742	0.1290	0.1905	0.1000	0.9000	4	36
0.03918	0.02624	0.05367	0.67742	0.1290	0.1905	0.1000	0.9000	4	36
0.02934	0.01436	0.05354	0.44829	0.1613	0.3598	0.0685	0.9315	5	68
0.01919	0.01413	0.02662	0.32956	0.0645	0.1958	0.0513	0.9487	2	37
0.01450	0.00900	0.02634	0.23449	0.0968	0.4127	0.0370	0.9630	3	78
0.00943	0.00759	0.01367	0.17174	0.0645	0.3757	0.0274	0.9726	2	71
