Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.14045	0.12494	0.15187	1.63370	0.2857	0.1749	0.2353	0.7647	24	78
0.13219	0.11829	0.14284	1.50270	0.1786	0.1188	0.2206	0.7794	15	53
0.12975	0.11707	0.13947	1.38509	0.1429	0.1031	0.2069	0.7931	12	46
0.12957	0.11707	0.13925	1.26967	0.1310	0.1031	0.1930	0.8070	11	46
0.11870	0.09324	0.13837	1.24930	0.2381	0.1906	0.1905	0.8095	20	85
0.10769	0.09258	0.11994	0.99554	0.1071	0.1076	0.1579	0.8421	9	48
0.07236	0.03880	0.11911	0.96788	0.4167	0.4305	0.1542	0.8458	35	192
0.04441	0.03862	0.05083	0.84952	0.0952	0.1121	0.1379	0.8621	8	50
0.03381	0.02510	0.05083	0.76662	0.3214	0.4193	0.1262	0.8738	27	187
0.02566	0.02421	0.02739	0.73006	0.1310	0.1794	0.1209	0.8791	11	80
0.02505	0.02415	0.02614	0.57922	0.0714	0.1233	0.0984	0.9016	6	55
0.02496	0.02392	0.02606	0.53995	0.0714	0.1323	0.0923	0.9077	6	59
