Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.46342	0.38345	0.55349	3.58224	0.0834	0.0233	0.1662	0.8338	123	617
0.46093	0.38230	0.55030	3.53593	0.0828	0.0234	0.1644	0.8356	122	620
0.45786	0.38075	0.54651	3.48358	0.0814	0.0234	0.1624	0.8376	120	619
0.45602	0.38018	0.54233	3.41303	0.0794	0.0233	0.1596	0.8404	117	616
0.45567	0.38018	0.53996	3.39488	0.0787	0.0232	0.1589	0.8411	116	614
0.45503	0.37815	0.53991	3.33843	0.0780	0.0234	0.1567	0.8433	115	619
0.45468	0.37815	0.53904	3.32013	0.0773	0.0233	0.1560	0.8440	114	617
0.45433	0.37815	0.53808	3.30171	0.0767	0.0232	0.1552	0.8448	113	615
0.45411	0.37764	0.53592	3.30171	0.0767	0.0232	0.1552	0.8448	113	615
0.36409	0.26438	0.53486	3.15851	0.2205	0.0698	0.1495	0.8505	325	1849
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29317	0.26416	0.32027	3.14752	0.0746	0.0237	0.1491	0.8509	110	628
0.29257	0.26388	0.32002	3.13388	0.0739	0.0236	0.1485	0.8515	109	625
0.29257	0.26388	0.32002	3.13388	0.0739	0.0236	0.1485	0.8515	109	625
0.29257	0.26388	0.32002	3.13388	0.0739	0.0236	0.1485	0.8515	109	625
0.29257	0.26388	0.32002	3.13388	0.0739	0.0236	0.1485	0.8515	109	625
0.29234	0.26388	0.31968	3.09619	0.0726	0.0234	0.1470	0.8530	107	621
0.29222	0.26300	0.31968	3.08130	0.0726	0.0236	0.1464	0.8536	107	624
0.29202	0.26243	0.31928	3.07637	0.0726	0.0236	0.1462	0.8538	107	625
0.29202	0.26243	0.31928	3.07637	0.0726	0.0236	0.1462	0.8538	107	625
0.29187	0.26243	0.31873	3.06232	0.0719	0.0235	0.1456	0.8544	106	622
0.28042	0.24125	0.31873	2.84159	0.0943	0.0332	0.1365	0.8635	139	879
0.26928	0.24125	0.29970	2.83878	0.0678	0.0239	0.1364	0.8636	100	633
0.26928	0.24125	0.29970	2.83878	0.0678	0.0239	0.1364	0.8636	100	633
0.26874	0.24094	0.29926	2.80335	0.0678	0.0242	0.1350	0.8650	100	641
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26849	0.24094	0.29871	2.79713	0.0672	0.0240	0.1347	0.8653	99	636
0.26706	0.23818	0.29846	2.77086	0.0685	0.0247	0.1336	0.8664	101	655
0.26525	0.23788	0.29563	2.66626	0.0651	0.0244	0.1292	0.8708	96	647
0.26517	0.23788	0.29511	2.64257	0.0645	0.0244	0.1282	0.8718	95	646
0.26517	0.23788	0.29511	2.64257	0.0645	0.0244	0.1282	0.8718	95	646
0.26505	0.23788	0.29468	2.62287	0.0638	0.0243	0.1274	0.8726	94	644
0.26505	0.23788	0.29468	2.62287	0.0638	0.0243	0.1274	0.8726	94	644
0.26478	0.23723	0.29443	2.61881	0.0638	0.0244	0.1272	0.8728	94	645
0.26407	0.23653	0.29387	2.59497	0.0631	0.0243	0.1262	0.8738	93	644
0.26347	0.23574	0.29387	2.59438	0.0645	0.0248	0.1262	0.8738	95	658
0.26244	0.23534	0.29086	2.55516	0.0624	0.0244	0.1245	0.8755	92	647
0.26244	0.23534	0.29086	2.55516	0.0624	0.0244	0.1245	0.8755	92	647
0.26213	0.23534	0.29072	2.55503	0.0617	0.0242	0.1245	0.8755	91	640
0.26213	0.23534	0.29072	2.55503	0.0617	0.0242	0.1245	0.8755	91	640
0.26213	0.23534	0.29072	2.55503	0.0617	0.0242	0.1245	0.8755	91	640
0.26201	0.23534	0.29061	2.53488	0.0611	0.0241	0.1236	0.8764	90	638
0.26186	0.23488	0.29061	2.51908	0.0611	0.0242	0.1230	0.8770	90	642
0.26183	0.23483	0.29061	2.51517	0.0611	0.0243	0.1228	0.8772	90	643
0.26128	0.23462	0.29061	2.48892	0.0617	0.0248	0.1217	0.8783	91	657
0.26089	0.23462	0.28887	2.46423	0.0604	0.0245	0.1206	0.8794	89	649
0.26089	0.23462	0.28887	2.46423	0.0604	0.0245	0.1206	0.8794	89	649
0.26089	0.23462	0.28887	2.46423	0.0604	0.0245	0.1206	0.8794	89	649
0.26078	0.23438	0.28887	2.45289	0.0604	0.0246	0.1201	0.8799	89	652
0.25899	0.23222	0.28758	2.43474	0.0624	0.0256	0.1193	0.8807	92	679
0.23892	0.19607	0.28488	2.39593	0.0977	0.0408	0.1176	0.8824	144	1080
0.22065	0.19607	0.24585	2.33906	0.0577	0.0247	0.1152	0.8848	85	653
0.22065	0.19607	0.24585	2.33906	0.0577	0.0247	0.1152	0.8848	85	653
0.22065	0.19607	0.24585	2.33906	0.0577	0.0247	0.1152	0.8848	85	653
0.22065	0.19607	0.24585	2.33906	0.0577	0.0247	0.1152	0.8848	85	653
0.21660	0.18962	0.24585	2.17316	0.0631	0.0290	0.1079	0.8921	93	769
0.21218	0.18962	0.23826	2.16071	0.0536	0.0248	0.1073	0.8927	79	657
0.21201	0.18962	0.23788	2.11567	0.0522	0.0247	0.1053	0.8947	77	654
0.14620	0.09618	0.23788	2.08361	0.3141	0.1508	0.1039	0.8961	463	3993
0.10303	0.09618	0.10950	1.68213	0.0427	0.0254	0.0856	0.9144	63	673
0.10297	0.09618	0.10936	1.63847	0.0414	0.0253	0.0836	0.9164	61	669
0.10279	0.09576	0.10914	1.63359	0.0421	0.0257	0.0833	0.9167	62	682
0.10265	0.09568	0.10895	1.61672	0.0414	0.0256	0.0825	0.9175	61	678
0.10265	0.09568	0.10895	1.61672	0.0414	0.0256	0.0825	0.9175	61	678
0.10264	0.09567	0.10895	1.61197	0.0414	0.0257	0.0823	0.9177	61	680
0.10264	0.09567	0.10895	1.61197	0.0414	0.0257	0.0823	0.9177	61	680
0.10257	0.09565	0.10888	1.60020	0.0414	0.0259	0.0818	0.9182	61	685
0.10257	0.09565	0.10888	1.60020	0.0414	0.0259	0.0818	0.9182	61	685
0.10257	0.09565	0.10888	1.60020	0.0414	0.0259	0.0818	0.9182	61	685
0.10256	0.09560	0.10888	1.59787	0.0414	0.0259	0.0817	0.9183	61	686
0.10256	0.09560	0.10888	1.59787	0.0414	0.0259	0.0817	0.9183	61	686
0.10251	0.09557	0.10888	1.58631	0.0414	0.0261	0.0811	0.9189	61	691
0.10251	0.09557	0.10888	1.58631	0.0414	0.0261	0.0811	0.9189	61	691
0.10251	0.09557	0.10888	1.58631	0.0414	0.0261	0.0811	0.9189	61	691
0.10212	0.09472	0.10888	1.52200	0.0421	0.0276	0.0781	0.9219	62	732
0.10148	0.09452	0.10826	1.52150	0.0393	0.0259	0.0781	0.9219	58	685
0.10142	0.09452	0.10801	1.47984	0.0380	0.0257	0.0761	0.9239	56	680
0.10137	0.09449	0.10801	1.46904	0.0380	0.0259	0.0756	0.9244	56	685
0.10137	0.09449	0.10801	1.46904	0.0380	0.0259	0.0756	0.9244	56	685
0.10137	0.09449	0.10801	1.46904	0.0380	0.0259	0.0756	0.9244	56	685
0.10137	0.09449	0.10801	1.46904	0.0380	0.0259	0.0756	0.9244	56	685
0.10137	0.09449	0.10801	1.46904	0.0380	0.0259	0.0756	0.9244	56	685
0.10133	0.09446	0.10801	1.45839	0.0380	0.0261	0.0751	0.9249	56	690
0.10133	0.09446	0.10801	1.45839	0.0380	0.0261	0.0751	0.9249	56	690
0.10133	0.09446	0.10801	1.45839	0.0380	0.0261	0.0751	0.9249	56	690
0.10127	0.09440	0.10801	1.44582	0.0380	0.0263	0.0745	0.9255	56	696
0.10122	0.09440	0.10796	1.43028	0.0373	0.0261	0.0737	0.9263	55	691
0.10122	0.09440	0.10796	1.43028	0.0373	0.0261	0.0737	0.9263	55	691
0.10122	0.09440	0.10796	1.43028	0.0373	0.0261	0.0737	0.9263	55	691
0.10122	0.09440	0.10796	1.43028	0.0373	0.0261	0.0737	0.9263	55	691
0.10122	0.09440	0.10796	1.43028	0.0373	0.0261	0.0737	0.9263	55	691
0.10118	0.09440	0.10786	1.41039	0.0366	0.0260	0.0728	0.9272	54	688
0.10118	0.09440	0.10786	1.41039	0.0366	0.0260	0.0728	0.9272	54	688
0.08626	0.06765	0.10786	1.38641	0.1221	0.0881	0.0716	0.9284	180	2333
0.07267	0.06764	0.07747	1.34376	0.0346	0.0257	0.0696	0.9304	51	682
0.07267	0.06764	0.07747	1.34376	0.0346	0.0257	0.0696	0.9304	51	682
0.07263	0.06754	0.07747	1.33398	0.0346	0.0259	0.0691	0.9309	51	687
0.07263	0.06754	0.07747	1.33398	0.0346	0.0259	0.0691	0.9309	51	687
0.07122	0.06496	0.07747	1.32729	0.0441	0.0332	0.0688	0.9312	65	880
0.06980	0.06495	0.07483	1.20998	0.0319	0.0264	0.0631	0.9369	47	698
0.06980	0.06495	0.07483	1.20998	0.0319	0.0264	0.0631	0.9369	47	698
0.06980	0.06495	0.07483	1.20998	0.0319	0.0264	0.0631	0.9369	47	698
0.06980	0.06495	0.07483	1.20998	0.0319	0.0264	0.0631	0.9369	47	698
0.06980	0.06495	0.07483	1.20998	0.0319	0.0264	0.0631	0.9369	47	698
0.06977	0.06492	0.07483	1.20137	0.0319	0.0265	0.0627	0.9373	47	703
0.06925	0.06415	0.07483	1.12453	0.0332	0.0296	0.0589	0.9411	49	783
0.06867	0.06412	0.07360	1.11203	0.0299	0.0268	0.0583	0.9417	44	711
0.06867	0.06412	0.07360	1.11203	0.0299	0.0268	0.0583	0.9417	44	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06859	0.06411	0.07353	1.08676	0.0292	0.0268	0.0570	0.9430	43	711
0.06852	0.06407	0.07349	1.07467	0.0292	0.0271	0.0564	0.9436	43	719
0.06852	0.06407	0.07349	1.07467	0.0292	0.0271	0.0564	0.9436	43	719
0.06843	0.06403	0.07343	1.07169	0.0292	0.0272	0.0563	0.9437	43	721
0.06841	0.06403	0.07329	1.05114	0.0285	0.0271	0.0553	0.9447	42	718
0.06841	0.06403	0.07329	1.05114	0.0285	0.0271	0.0553	0.9447	42	718
0.06841	0.06403	0.07329	1.05114	0.0285	0.0271	0.0553	0.9447	42	718
0.06841	0.06403	0.07329	1.05114	0.0285	0.0271	0.0553	0.9447	42	718
0.06841	0.06403	0.07329	1.05114	0.0285	0.0271	0.0553	0.9447	42	718
0.06838	0.06403	0.07321	1.03186	0.0278	0.0270	0.0543	0.9457	41	714
0.06838	0.06403	0.07321	1.03186	0.0278	0.0270	0.0543	0.9457	41	714
0.06838	0.06403	0.07321	1.03186	0.0278	0.0270	0.0543	0.9457	41	714
0.06835	0.06399	0.07321	1.02468	0.0278	0.0271	0.0539	0.9461	41	719
0.06835	0.06399	0.07321	1.02468	0.0278	0.0271	0.0539	0.9461	41	719
0.06835	0.06399	0.07321	1.02468	0.0278	0.0271	0.0539	0.9461	41	719
0.06835	0.06399	0.07321	1.02468	0.0278	0.0271	0.0539	0.9461	41	719
0.03985	0.02124	0.07321	0.98762	0.2788	0.2823	0.0521	0.9479	411	7478
0.02287	0.02124	0.02387	0.98359	0.0353	0.0359	0.0519	0.9481	52	950
0.02286	0.02124	0.02387	0.97844	0.0353	0.0361	0.0516	0.9484	52	955
0.02189	0.01960	0.02387	0.94514	0.0543	0.0574	0.0500	0.9500	80	1521
0.01969	0.01701	0.02218	0.78580	0.0461	0.0587	0.0419	0.9581	68	1555
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01701	0.01979	0.76466	0.0231	0.0302	0.0408	0.9592	34	799
0.01850	0.01699	0.01979	0.76180	0.0231	0.0303	0.0407	0.9593	34	802
