Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11105	0.03414	0.23509	3.20351	0.7333	0.2289	0.1618	0.8382	11	57
0.10809	0.03400	0.23328	2.86207	0.6667	0.2329	0.1471	0.8529	10	58
0.10309	0.03299	0.23103	2.44918	0.6000	0.2450	0.1286	0.8714	9	61
0.09651	0.02942	0.21814	2.21333	0.5333	0.2410	0.1176	0.8824	8	60
0.08830	0.02578	0.21747	1.73433	0.4667	0.2691	0.0946	0.9054	7	67
0.07720	0.02561	0.19268	1.58095	0.4000	0.2530	0.0870	0.9130	6	63
0.07304	0.02476	0.18785	1.31746	0.3333	0.2530	0.0735	0.9265	5	63
0.06801	0.02210	0.18701	1.23881	0.3333	0.2691	0.0694	0.9306	5	67
0.05823	0.02129	0.15939	1.00606	0.2667	0.2651	0.0571	0.9429	4	66
0.03831	0.01468	0.14622	0.90545	0.4000	0.4418	0.0517	0.9483	6	110
0.01255	0.00411	0.03508	0.34227	0.2667	0.7791	0.0202	0.9798	4	194
0.00510	0.00411	0.00771	0.24058	0.0667	0.2771	0.0143	0.9857	1	69
