Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.22382	0.15866	0.33154	1.87521	0.1727	0.0921	0.0785	0.9215	19	223
0.22382	0.15866	0.33154	1.87521	0.1727	0.0921	0.0785	0.9215	19	223
0.22239	0.15812	0.31958	1.87521	0.1727	0.0921	0.0785	0.9215	19	223
0.22239	0.15812	0.31958	1.87521	0.1727	0.0921	0.0785	0.9215	19	223
0.22053	0.15787	0.31947	1.85855	0.1727	0.0929	0.0779	0.9221	19	225
0.22002	0.15786	0.31947	1.84217	0.1727	0.0938	0.0772	0.9228	19	227
0.21702	0.15737	0.31471	1.78706	0.1727	0.0967	0.0751	0.9249	19	234
0.19043	0.12864	0.29762	1.74996	0.2364	0.1351	0.0737	0.9263	26	327
0.16174	0.12778	0.21222	1.44797	0.1364	0.0942	0.0617	0.9383	15	228
0.15989	0.12613	0.21022	1.41084	0.1364	0.0967	0.0602	0.9398	15	234
0.15803	0.12592	0.20524	1.34553	0.1273	0.0946	0.0576	0.9424	14	229
0.15803	0.12592	0.20524	1.34553	0.1273	0.0946	0.0576	0.9424	14	229
0.06699	0.02207	0.20275	1.11005	0.7364	0.6634	0.0480	0.9520	81	1606
0.02511	0.02202	0.02813	1.03462	0.1000	0.0967	0.0449	0.9551	11	234
0.02501	0.02185	0.02788	1.03462	0.1000	0.0967	0.0449	0.9551	11	234
0.02501	0.02185	0.02788	1.03462	0.1000	0.0967	0.0449	0.9551	11	234
0.02501	0.02185	0.02788	1.03462	0.1000	0.0967	0.0449	0.9551	11	234
0.02495	0.02177	0.02768	0.94867	0.0909	0.0958	0.0413	0.9587	10	232
0.02492	0.02167	0.02768	0.94056	0.0909	0.0967	0.0410	0.9590	10	234
0.02484	0.02156	0.02768	0.91705	0.0909	0.0991	0.0400	0.9600	10	240
0.02316	0.01835	0.02739	0.88542	0.1273	0.1437	0.0387	0.9613	14	348
0.02192	0.01833	0.02503	0.86992	0.0909	0.1045	0.0380	0.9620	10	253
0.02192	0.01833	0.02503	0.86992	0.0909	0.1045	0.0380	0.9620	10	253
0.02155	0.01763	0.02503	0.86774	0.1000	0.1152	0.0379	0.9621	11	279
0.02091	0.01763	0.02480	0.74607	0.0727	0.0975	0.0328	0.9672	8	236
0.02078	0.01755	0.02458	0.73671	0.0727	0.0987	0.0324	0.9676	8	239
0.02075	0.01750	0.02458	0.73059	0.0727	0.0995	0.0321	0.9679	8	241
0.02075	0.01750	0.02458	0.73059	0.0727	0.0995	0.0321	0.9679	8	241
0.02075	0.01750	0.02458	0.73059	0.0727	0.0995	0.0321	0.9679	8	241
0.02075	0.01750	0.02458	0.73059	0.0727	0.0995	0.0321	0.9679	8	241
0.02073	0.01745	0.02458	0.72458	0.0727	0.1004	0.0319	0.9681	8	243
0.02073	0.01745	0.02458	0.72458	0.0727	0.1004	0.0319	0.9681	8	243
0.02069	0.01743	0.02458	0.71574	0.0727	0.1016	0.0315	0.9685	8	246
0.02066	0.01741	0.02458	0.70997	0.0727	0.1024	0.0312	0.9688	8	248
0.02049	0.01713	0.02458	0.67203	0.0727	0.1082	0.0296	0.9704	8	262
0.01871	0.01466	0.02405	0.53681	0.0818	0.1524	0.0238	0.9762	9	369
0.01709	0.01466	0.01997	0.53248	0.0545	0.1024	0.0236	0.9764	6	248
0.01709	0.01466	0.01997	0.53248	0.0545	0.1024	0.0236	0.9764	6	248
0.01709	0.01466	0.01997	0.53248	0.0545	0.1024	0.0236	0.9764	6	248
0.01708	0.01464	0.01997	0.53034	0.0545	0.1029	0.0235	0.9765	6	249
0.01698	0.01448	0.01993	0.51786	0.0545	0.1053	0.0230	0.9770	6	255
0.01673	0.01438	0.01950	0.51786	0.0545	0.1053	0.0230	0.9770	6	255
0.01148	0.00115	0.01914	0.47766	0.1182	0.2474	0.0212	0.9788	13	599
