Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.96376	0.90300	1.00000	4.89129	0.5000	0.1022	0.4524	0.5476	19	23
0.96136	0.89900	0.99900	4.44078	0.4737	0.1067	0.4286	0.5714	18	24
0.95843	0.89700	0.99900	4.09918	0.4737	0.1156	0.4091	0.5909	18	26
0.95843	0.89700	0.99900	4.09918	0.4737	0.1156	0.4091	0.5909	18	26
0.95642	0.86800	0.99900	3.94736	0.4737	0.1200	0.4000	0.6000	18	27
0.95010	0.86100	0.99700	3.64372	0.4211	0.1156	0.3810	0.6190	16	26
0.94025	0.80600	0.99500	3.38345	0.4211	0.1244	0.3636	0.6364	16	28
0.86678	0.63500	0.99500	3.30477	0.6316	0.1911	0.3582	0.6418	24	43
0.72615	0.46300	0.92500	2.01854	0.3947	0.1956	0.2542	0.7458	15	44
0.60497	0.45185	0.80600	1.51469	0.2895	0.1911	0.2037	0.7963	11	43
0.56124	0.45185	0.73700	1.35338	0.2105	0.1556	0.1860	0.8140	8	35
0.56124	0.45185	0.73700	1.35338	0.2105	0.1556	0.1860	0.8140	8	35
0.54973	0.45072	0.73700	1.18421	0.2105	0.1778	0.1667	0.8333	8	40
0.51534	0.44496	0.67300	1.12020	0.1842	0.1644	0.1591	0.8409	7	37
0.50534	0.44344	0.65300	1.12020	0.1842	0.1644	0.1591	0.8409	7	37
0.50534	0.44344	0.65300	1.12020	0.1842	0.1644	0.1591	0.8409	7	37
0.48698	0.44273	0.63500	0.53828	0.1053	0.1956	0.0833	0.9167	4	44
0.48383	0.44273	0.63400	0.40371	0.0789	0.1956	0.0638	0.9362	3	44
0.40110	0.11230	0.57400	0.26762	0.2105	0.7867	0.0432	0.9568	8	177
