Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.89058	0.44722	1.00000	10.82239	0.9524	0.0880	0.6452	0.3548	20	11
0.83853	0.43395	1.00000	8.92849	1.0000	0.1120	0.6000	0.4000	21	14
0.83853	0.43395	1.00000	8.92849	1.0000	0.1120	0.6000	0.4000	21	14
0.81662	0.43312	1.00000	7.81244	1.0000	0.1280	0.5676	0.4324	21	16
0.81662	0.43312	1.00000	7.81244	1.0000	0.1280	0.5676	0.4324	21	16
0.80632	0.42530	1.00000	7.35289	1.0000	0.1360	0.5526	0.4474	21	17
0.79655	0.42514	1.00000	6.94440	1.0000	0.1440	0.5385	0.4615	21	18
0.78707	0.41745	1.00000	6.57891	1.0000	0.1520	0.5250	0.4750	21	19
0.77797	0.41400	1.00000	6.24996	1.0000	0.1600	0.5122	0.4878	21	20
0.76929	0.41328	1.00000	5.95235	1.0000	0.1680	0.5000	0.5000	21	21
0.76096	0.41109	1.00000	5.68179	1.0000	0.1760	0.4884	0.5116	21	22
0.64940	0.41026	0.99800	2.07039	0.3810	0.1840	0.2581	0.7419	8	23
0.64183	0.40730	0.99800	1.98412	0.3810	0.1920	0.2500	0.7500	8	24
0.63466	0.40502	0.99800	1.90476	0.3810	0.2000	0.2424	0.7576	8	25
0.62785	0.40327	0.99800	1.83150	0.3810	0.2080	0.2353	0.7647	8	26
0.57278	0.40120	0.99400	1.42857	0.2857	0.2000	0.1935	0.8065	6	25
0.54874	0.39878	0.99300	1.37363	0.2857	0.2080	0.1875	0.8125	6	26
0.53441	0.39878	0.98700	1.14469	0.2381	0.2080	0.1613	0.8387	5	26
0.51176	0.39822	0.97500	0.85034	0.1905	0.2240	0.1250	0.8750	4	28
0.49681	0.39822	0.95800	0.63776	0.1429	0.2240	0.0968	0.9032	3	28
0.46651	0.38707	0.89900	0.35014	0.0952	0.2720	0.0556	0.9444	2	34
0.41691	0.38707	0.47634	0.19841	0.0476	0.2400	0.0323	0.9677	1	30
0.41032	0.38087	0.45771	0.17507	0.0476	0.2720	0.0286	0.9714	1	34
0.40343	0.38048	0.43395	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.40267	0.37912	0.43395	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.39986	0.37815	0.43312	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.39918	0.37790	0.43312	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.39629	0.37759	0.42530	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.39467	0.37524	0.42514	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.39302	0.37389	0.41745	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.39159	0.37323	0.41400	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.39015	0.36927	0.41328	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.38865	0.36687	0.41109	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.38585	0.36529	0.41026	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.38509	0.36529	0.40730	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.38437	0.36529	0.40502	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.38296	0.36111	0.40327	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.38158	0.36065	0.40120	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.38023	0.35939	0.39878	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.37957	0.35919	0.39878	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.37758	0.35614	0.39822	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.37626	0.35586	0.39822	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.37485	0.35586	0.39683	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.37352	0.35568	0.39556	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.37167	0.35490	0.39428	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.37094	0.35490	0.39037	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36973	0.35293	0.38707	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36918	0.35216	0.38707	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.36740	0.34987	0.38513	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36619	0.34762	0.38425	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36442	0.34691	0.38164	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.36387	0.34691	0.38133	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36271	0.34550	0.38087	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36154	0.34444	0.38048	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.36012	0.33657	0.37912	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.35845	0.32742	0.37815	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.35681	0.32728	0.37790	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.35498	0.32110	0.37759	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.35306	0.31806	0.37524	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.35109	0.31402	0.37389	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.34666	0.30996	0.37323	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.34583	0.30996	0.36927	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.34507	0.30996	0.36687	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.34315	0.30722	0.36535	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.34200	0.30628	0.36535	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.34089	0.30562	0.36535	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.33720	0.29955	0.36111	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.33518	0.29843	0.36065	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.33315	0.29777	0.35939	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.33096	0.29164	0.35919	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.32844	0.28111	0.35614	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.32589	0.27689	0.35586	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.32433	0.27612	0.35586	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.32071	0.27524	0.35568	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.31673	0.27449	0.35491	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.31673	0.27449	0.35491	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.31289	0.27406	0.35293	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.31001	0.26364	0.35216	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.30697	0.25775	0.34987	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.30392	0.25530	0.34762	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.30089	0.25380	0.34691	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.29771	0.24845	0.34691	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.29454	0.24845	0.34550	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.29105	0.23748	0.34444	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.28760	0.23728	0.33657	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.28434	0.23570	0.32742	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.28120	0.22986	0.32728	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.27803	0.22903	0.32110	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.27493	0.22507	0.31806	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.27191	0.22460	0.31402	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.26750	0.22239	0.31005	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.26750	0.22239	0.31005	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.26585	0.21313	0.31005	0.00000	0.0000	0.2640	0.0000	1.0000	0	33
0.25987	0.21261	0.30722	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.25668	0.20857	0.30628	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.25210	0.20813	0.30562	0.00000	0.0000	0.2560	0.0000	1.0000	0	32
0.25037	0.20813	0.29955	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.24668	0.18505	0.29843	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.24296	0.18300	0.29777	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.23909	0.17800	0.29164	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
0.23541	0.17738	0.28111	0.00000	0.0000	0.2480	0.0000	1.0000	0	31
