Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.57858	0.39856	1.00000	2.52143	0.5000	0.1983	0.1358	0.8642	11	70
0.57331	0.39856	0.99600	2.29221	0.4545	0.1983	0.1250	0.8750	10	70
0.57331	0.39856	0.99600	2.29221	0.4545	0.1983	0.1250	0.8750	10	70
0.55836	0.39799	0.98000	2.29221	0.4545	0.1983	0.1250	0.8750	10	70
0.52283	0.39145	0.98000	1.93956	0.5000	0.2578	0.1078	0.8922	11	91
0.44158	0.39098	0.62000	1.49758	0.3182	0.2125	0.0854	0.9146	7	75
0.44158	0.39098	0.62000	1.49758	0.3182	0.2125	0.0854	0.9146	7	75
0.44037	0.39075	0.62000	1.45868	0.3182	0.2181	0.0833	0.9167	7	77
0.42757	0.38981	0.61900	0.82284	0.1818	0.2210	0.0488	0.9512	4	78
0.42483	0.38508	0.61900	0.76407	0.1818	0.2380	0.0455	0.9545	4	84
0.40231	0.38400	0.53200	0.63337	0.1364	0.2153	0.0380	0.9620	3	76
0.40044	0.38375	0.49500	0.63337	0.1364	0.2153	0.0380	0.9620	3	76
0.39902	0.38346	0.45574	0.63337	0.1364	0.2153	0.0380	0.9620	3	76
0.29555	0.00000	0.42517	0.60170	0.5455	0.9065	0.0361	0.9639	12	320
