Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.99214	0.96200	1.00000	7.04685	0.6875	0.0976	0.5238	0.4762	22	20
0.99214	0.96200	1.00000	7.04685	0.6875	0.0976	0.5238	0.4762	22	20
0.98836	0.95600	1.00000	6.68476	0.7500	0.1122	0.5106	0.4894	24	23
0.98529	0.94400	0.99900	6.10117	0.6250	0.1024	0.4878	0.5122	20	21
0.98410	0.93500	0.99900	5.82385	0.6250	0.1073	0.4762	0.5238	20	22
0.98288	0.93200	0.99900	5.57064	0.6250	0.1122	0.4651	0.5349	20	23
0.98004	0.91900	0.99900	5.12499	0.6250	0.1220	0.4444	0.5556	20	25
0.98004	0.91900	0.99900	5.12499	0.6250	0.1220	0.4444	0.5556	20	25
0.97852	0.91000	0.99900	4.92787	0.6250	0.1268	0.4348	0.5652	20	26
0.97704	0.90900	0.99900	4.74536	0.6250	0.1317	0.4255	0.5745	20	27
0.97410	0.90500	0.99900	4.41809	0.6250	0.1415	0.4082	0.5918	20	29
0.97410	0.90500	0.99900	4.41809	0.6250	0.1415	0.4082	0.5918	20	29
0.97131	0.90300	0.99900	4.13306	0.6250	0.1512	0.3922	0.6078	20	31
0.97131	0.90300	0.99900	4.13306	0.6250	0.1512	0.3922	0.6078	20	31
0.96730	0.89900	0.99900	3.76838	0.6250	0.1659	0.3704	0.6296	20	34
0.96730	0.89900	0.99900	3.76838	0.6250	0.1659	0.3704	0.6296	20	34
0.96730	0.89900	0.99900	3.76838	0.6250	0.1659	0.3704	0.6296	20	34
0.95434	0.88000	0.99800	3.32175	0.4375	0.1317	0.3415	0.6585	14	27
0.95176	0.84600	0.99800	3.20312	0.4375	0.1366	0.3333	0.6667	14	28
0.94923	0.84300	0.99800	3.09267	0.4375	0.1415	0.3256	0.6744	14	29
0.94675	0.84000	0.99800	2.98958	0.4375	0.1463	0.3182	0.6818	14	30
0.94202	0.83800	0.99800	2.80273	0.4375	0.1561	0.3043	0.6957	14	32
0.93520	0.83800	0.99700	2.34896	0.3438	0.1463	0.2683	0.7317	11	30
0.93248	0.82100	0.99700	2.27318	0.3438	0.1512	0.2619	0.7381	11	31
0.90555	0.76400	0.99500	1.95746	0.3438	0.1756	0.2340	0.7660	11	36
0.89521	0.76400	0.98200	1.28125	0.2188	0.1707	0.1667	0.8333	7	35
0.89310	0.76400	0.97700	1.09821	0.1875	0.1707	0.1463	0.8537	6	35
0.88773	0.75700	0.97300	1.09821	0.1875	0.1707	0.1463	0.8537	6	35
0.88128	0.74900	0.97300	1.03885	0.1875	0.1805	0.1395	0.8605	6	37
0.69607	0.45496	0.97300	0.88086	0.3438	0.3902	0.1209	0.8791	11	80
0.49257	0.45439	0.64900	0.32853	0.0625	0.1902	0.0488	0.9512	2	39
0.42450	0.00000	0.63800	0.17551	0.1250	0.7122	0.0267	0.9733	4	146
