Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.71641	0.43334	0.99400	4.39568	0.7727	0.1758	0.2179	0.7821	17	61
0.71279	0.43045	0.99400	4.32478	0.7727	0.1787	0.2152	0.7848	17	62
0.70924	0.42943	0.99400	4.25613	0.7727	0.1816	0.2125	0.7875	17	63
0.69902	0.42639	0.99400	4.06267	0.7727	0.1902	0.2048	0.7952	17	66
0.69902	0.42639	0.99400	4.06267	0.7727	0.1902	0.2048	0.7952	17	66
0.69902	0.42639	0.99400	4.06267	0.7727	0.1902	0.2048	0.7952	17	66
0.69577	0.42607	0.99400	4.00203	0.7727	0.1931	0.2024	0.7976	17	67
0.61062	0.39146	0.99400	3.37987	0.9545	0.2824	0.1765	0.8235	21	98
0.48487	0.39074	0.71500	2.97167	0.5909	0.1988	0.1585	0.8415	13	69
0.48373	0.39056	0.71500	2.92922	0.5909	0.2017	0.1566	0.8434	13	70
0.46378	0.38924	0.69800	1.77721	0.3636	0.2046	0.1013	0.8987	8	71
0.45021	0.37147	0.69800	1.67005	0.4091	0.2450	0.0957	0.9043	9	85
0.41509	0.37098	0.51100	1.24522	0.2727	0.2190	0.0732	0.9268	6	76
0.41032	0.37098	0.49900	1.08032	0.2273	0.2104	0.0641	0.9359	5	73
0.40868	0.37060	0.49701	1.08032	0.2273	0.2104	0.0641	0.9359	5	73
0.40704	0.36954	0.46898	1.08032	0.2273	0.2104	0.0641	0.9359	5	73
0.39099	0.33938	0.46898	0.73022	0.2273	0.3112	0.0442	0.9558	5	108
0.37126	0.33866	0.40623	0.40443	0.0909	0.2248	0.0250	0.9750	2	78
0.37084	0.33671	0.40623	0.39931	0.0909	0.2277	0.0247	0.9753	2	79
0.36733	0.33392	0.40030	0.39931	0.0909	0.2277	0.0247	0.9753	2	79
0.36608	0.33392	0.39686	0.20484	0.0455	0.2219	0.0128	0.9872	1	77
0.36445	0.33243	0.39627	0.19965	0.0455	0.2277	0.0125	0.9875	1	79
0.35112	0.30201	0.39465	0.15313	0.0455	0.2968	0.0096	0.9904	1	103
0.33911	0.29967	0.37098	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33859	0.29827	0.37098	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.33724	0.29813	0.37060	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33631	0.29781	0.36954	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33537	0.29636	0.36852	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33442	0.29456	0.36782	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33339	0.29300	0.36782	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.33250	0.29300	0.36685	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33155	0.29256	0.36603	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.33061	0.29236	0.36472	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.32914	0.28978	0.36458	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.32914	0.28978	0.36458	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.32863	0.28826	0.36458	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.32763	0.28757	0.36458	0.00000	0.0000	0.2363	0.0000	1.0000	0	82
0.32573	0.28757	0.36326	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.32476	0.28739	0.36163	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.32381	0.28726	0.36017	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.32286	0.28631	0.35509	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.32193	0.28570	0.35509	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.32193	0.28570	0.35509	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.32104	0.28521	0.35509	0.00000	0.0000	0.2363	0.0000	1.0000	0	82
0.31929	0.28521	0.35400	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.31840	0.28459	0.35292	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.31796	0.28356	0.35292	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.31661	0.28259	0.35220	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.31571	0.28204	0.35178	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.31528	0.28165	0.35178	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.31347	0.28044	0.35021	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.31300	0.28044	0.34800	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.31258	0.27961	0.34800	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.31125	0.27925	0.34770	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.30990	0.27651	0.34714	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30990	0.27651	0.34714	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30768	0.27526	0.34666	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.30718	0.27526	0.34550	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30718	0.27526	0.34550	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30533	0.27241	0.34445	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30483	0.27241	0.34214	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.30352	0.27176	0.33938	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30306	0.27176	0.33876	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.30264	0.26959	0.33876	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.30181	0.26902	0.33876	0.00000	0.0000	0.2334	0.0000	1.0000	0	81
0.30039	0.26902	0.33671	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.29950	0.26776	0.33392	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.29865	0.26537	0.33392	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.29865	0.26537	0.33392	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.29779	0.26338	0.33392	0.00000	0.0000	0.2363	0.0000	1.0000	0	82
0.29594	0.26338	0.33286	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.29550	0.26155	0.33286	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.29358	0.25709	0.33243	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.29309	0.25709	0.33106	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.29261	0.25549	0.33106	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.29114	0.25511	0.33034	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.29017	0.25438	0.32967	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28920	0.25419	0.32940	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28719	0.24882	0.32697	0.00000	0.0000	0.2305	0.0000	1.0000	0	80
0.28668	0.24882	0.32532	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.28619	0.24882	0.32426	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28519	0.24643	0.32388	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28417	0.24441	0.31881	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28320	0.24291	0.31757	0.00000	0.0000	0.2248	0.0000	1.0000	0	78
0.28264	0.23926	0.31757	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.28062	0.23795	0.31676	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.28062	0.23795	0.31676	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.27662	0.23728	0.31222	0.00000	0.0000	0.2392	0.0000	1.0000	0	83
0.27662	0.23728	0.31222	0.00000	0.0000	0.2392	0.0000	1.0000	0	83
0.27574	0.23728	0.31122	0.00000	0.0000	0.2334	0.0000	1.0000	0	81
0.27574	0.23728	0.31122	0.00000	0.0000	0.2334	0.0000	1.0000	0	81
0.27484	0.23728	0.30883	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.27484	0.23728	0.30883	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.27342	0.23600	0.30883	0.00000	0.0000	0.2363	0.0000	1.0000	0	82
0.27208	0.23600	0.30854	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
0.27208	0.23600	0.30854	0.00000	0.0000	0.2277	0.0000	1.0000	0	79
