Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.97667	0.94300	1.00000	3.99678	0.5882	0.1472	0.2151	0.7849	20	73
0.97602	0.94000	0.99900	3.99678	0.5882	0.1472	0.2151	0.7849	20	73
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.97258	0.93700	0.99900	3.55810	0.5882	0.1653	0.1961	0.8039	20	82
0.96971	0.93700	0.99800	2.84186	0.4412	0.1552	0.1630	0.8370	15	77
0.96567	0.91800	0.99700	2.81219	0.4706	0.1673	0.1616	0.8384	16	83
0.96302	0.91800	0.99200	2.65241	0.4118	0.1552	0.1538	0.8462	14	77
0.96104	0.91600	0.99200	2.52142	0.4118	0.1633	0.1474	0.8526	14	81
0.96104	0.91600	0.99200	2.52142	0.4118	0.1633	0.1474	0.8526	14	81
0.96104	0.91600	0.99200	2.52142	0.4118	0.1633	0.1474	0.8526	14	81
0.96104	0.91600	0.99200	2.52142	0.4118	0.1633	0.1474	0.8526	14	81
0.95874	0.91500	0.99200	2.37483	0.4118	0.1734	0.1400	0.8600	14	86
0.95874	0.91500	0.99200	2.37483	0.4118	0.1734	0.1400	0.8600	14	86
0.95874	0.91500	0.99200	2.37483	0.4118	0.1734	0.1400	0.8600	14	86
0.94930	0.91200	0.99100	2.21995	0.4118	0.1855	0.1321	0.8679	14	92
0.94930	0.91200	0.99100	2.21995	0.4118	0.1855	0.1321	0.8679	14	92
0.94930	0.91200	0.99100	2.21995	0.4118	0.1855	0.1321	0.8679	14	92
0.94724	0.91200	0.98700	2.15508	0.3824	0.1774	0.1287	0.8713	13	88
0.94724	0.91200	0.98700	2.15508	0.3824	0.1774	0.1287	0.8713	13	88
0.94643	0.91200	0.98400	1.82353	0.3235	0.1774	0.1111	0.8889	11	88
0.94643	0.91200	0.98400	1.82353	0.3235	0.1774	0.1111	0.8889	11	88
0.94643	0.91200	0.98400	1.82353	0.3235	0.1774	0.1111	0.8889	11	88
0.94643	0.91200	0.98400	1.82353	0.3235	0.1774	0.1111	0.8889	11	88
0.94643	0.91200	0.98400	1.82353	0.3235	0.1774	0.1111	0.8889	11	88
0.94273	0.91200	0.98100	1.82353	0.2941	0.1613	0.1111	0.8889	10	80
0.94204	0.91100	0.98100	1.77905	0.2941	0.1653	0.1087	0.8913	10	82
0.94204	0.91100	0.98100	1.77905	0.2941	0.1653	0.1087	0.8913	10	82
0.94097	0.90800	0.98100	1.71626	0.2941	0.1714	0.1053	0.8947	10	85
0.94097	0.90800	0.98100	1.71626	0.2941	0.1714	0.1053	0.8947	10	85
0.94097	0.90800	0.98100	1.71626	0.2941	0.1714	0.1053	0.8947	10	85
0.73777	0.44655	0.97400	1.12217	0.4706	0.4194	0.0714	0.9286	16	208
0.50509	0.44362	0.64000	0.46068	0.0882	0.1915	0.0306	0.9694	3	95
0.50088	0.44362	0.63200	0.31373	0.0588	0.1875	0.0211	0.9789	2	93
0.50088	0.44362	0.63200	0.31373	0.0588	0.1875	0.0211	0.9789	2	93
0.50088	0.44362	0.63200	0.31373	0.0588	0.1875	0.0211	0.9789	2	93
0.49963	0.44027	0.63200	0.30712	0.0588	0.1915	0.0206	0.9794	2	95
0.49963	0.44027	0.63200	0.30712	0.0588	0.1915	0.0206	0.9794	2	95
0.48279	0.43876	0.63000	0.30079	0.0588	0.1956	0.0202	0.9798	2	97
0.48279	0.43876	0.63000	0.30079	0.0588	0.1956	0.0202	0.9798	2	97
0.48279	0.43876	0.63000	0.30079	0.0588	0.1956	0.0202	0.9798	2	97
0.47650	0.43546	0.63000	0.25820	0.0588	0.2278	0.0174	0.9826	2	113
0.39585	0.00000	0.48223	0.19195	0.1176	0.6129	0.0130	0.9870	4	304
