Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.69961	0.40969	1.00000	3.20430	1.0000	0.3121	0.0882	0.9118	9	93
0.69381	0.40817	0.99900	3.20430	1.0000	0.3121	0.0882	0.9118	9	93
0.69103	0.40791	0.99900	3.17021	1.0000	0.3154	0.0874	0.9126	9	94
0.68830	0.40648	0.99900	3.13684	1.0000	0.3188	0.0865	0.9135	9	95
0.66086	0.39703	0.99800	2.64889	0.8889	0.3356	0.0741	0.9259	8	100
0.62994	0.39079	0.98900	2.43017	0.8889	0.3658	0.0684	0.9316	8	109
0.57580	0.39006	0.97500	1.33782	0.4444	0.3322	0.0388	0.9612	4	99
0.54898	0.38373	0.97500	1.14176	0.4444	0.3893	0.0333	0.9667	4	116
0.46694	0.37737	0.81900	0.58090	0.2222	0.3826	0.0172	0.9828	2	114
0.42538	0.37660	0.62900	0.32783	0.1111	0.3389	0.0098	0.9902	1	101
0.42290	0.37644	0.61900	0.32783	0.1111	0.3389	0.0098	0.9902	1	101
0.42157	0.37583	0.61900	0.31838	0.1111	0.3490	0.0095	0.9905	1	104
0.41352	0.37571	0.60300	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.41129	0.37520	0.60000	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.40905	0.37157	0.59700	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.40833	0.37141	0.59700	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.40833	0.37141	0.59700	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.40240	0.36996	0.47430	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.40107	0.36963	0.46800	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.40041	0.36963	0.45985	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39952	0.36892	0.44700	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39873	0.36643	0.44650	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39794	0.36606	0.43880	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39723	0.36579	0.43785	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39689	0.36313	0.43785	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.39654	0.36012	0.43785	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.39497	0.35996	0.43527	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39461	0.35817	0.43527	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.39345	0.35723	0.43307	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39268	0.35491	0.43290	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39193	0.35370	0.43290	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.39113	0.35370	0.43063	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.39075	0.35261	0.43063	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38959	0.35184	0.42962	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.38922	0.35142	0.42962	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38884	0.34987	0.42962	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.38689	0.34948	0.42900	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38689	0.34948	0.42900	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38653	0.34915	0.42900	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.38491	0.34871	0.42878	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.38455	0.34832	0.42878	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38295	0.34645	0.42777	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.38251	0.34645	0.42746	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.38171	0.34556	0.41982	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.38097	0.34469	0.41964	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.38023	0.34335	0.41832	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37947	0.34116	0.41716	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37907	0.33863	0.41716	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.37745	0.33342	0.41375	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.37709	0.33342	0.41332	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37630	0.33313	0.41219	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37509	0.33186	0.40996	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.37509	0.33186	0.40996	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.37397	0.32997	0.40969	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37315	0.32685	0.40817	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37235	0.32647	0.40791	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.37154	0.32468	0.40648	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.36983	0.32402	0.40048	0.00000	0.0000	0.3490	0.0000	1.0000	0	104
0.36953	0.32402	0.39847	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.36953	0.32402	0.39847	0.00000	0.0000	0.3456	0.0000	1.0000	0	103
0.36849	0.32096	0.39799	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
0.36773	0.32046	0.39765	0.00000	0.0000	0.3423	0.0000	1.0000	0	102
