Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.57733	0.37458	0.99900	3.83838	0.9091	0.2368	0.2703	0.7297	10	27
0.56041	0.37305	0.92800	3.33116	0.8182	0.2456	0.2432	0.7568	9	28
0.54536	0.37114	0.91300	2.85893	0.7273	0.2544	0.2162	0.7838	8	29
0.53629	0.36846	0.91300	2.67448	0.7273	0.2719	0.2051	0.7949	8	31
0.51592	0.36846	0.86200	2.41818	0.6364	0.2632	0.1892	0.8108	7	30
0.50239	0.36107	0.82900	2.41818	0.6364	0.2632	0.1892	0.8108	7	30
0.48932	0.34538	0.82100	2.00586	0.5455	0.2719	0.1622	0.8378	6	31
0.47296	0.34442	0.80400	1.94318	0.5455	0.2807	0.1579	0.8421	6	32
0.47296	0.34442	0.80400	1.94318	0.5455	0.2807	0.1579	0.8421	6	32
0.45151	0.34135	0.72700	1.25620	0.3636	0.2895	0.1081	0.8919	4	33
0.44101	0.33864	0.64900	0.91444	0.2727	0.2982	0.0811	0.9189	3	34
0.41810	0.32174	0.62600	0.77727	0.2727	0.3509	0.0698	0.9302	3	40
0.40197	0.31998	0.58661	0.75831	0.2727	0.3596	0.0682	0.9318	3	41
0.36476	0.31754	0.43582	0.59221	0.1818	0.3070	0.0541	0.9459	2	35
0.36152	0.31589	0.41308	0.59221	0.1818	0.3070	0.0541	0.9459	2	35
0.35139	0.30344	0.41025	0.50554	0.1818	0.3596	0.0465	0.9535	2	41
0.27262	0.00000	0.39488	0.11025	0.0909	0.8246	0.0105	0.9895	1	94
