Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.60543	0.40198	0.97900	4.70491	0.9474	0.2014	0.1682	0.8318	18	89
0.60543	0.40198	0.97900	4.70491	0.9474	0.2014	0.1682	0.8318	18	89
0.60543	0.40198	0.97900	4.70491	0.9474	0.2014	0.1682	0.8318	18	89
0.58744	0.40002	0.97000	3.75212	0.7895	0.2104	0.1389	0.8611	15	93
0.58744	0.40002	0.97000	3.75212	0.7895	0.2104	0.1389	0.8611	15	93
0.58744	0.40002	0.97000	3.75212	0.7895	0.2104	0.1389	0.8611	15	93
0.58744	0.40002	0.97000	3.75212	0.7895	0.2104	0.1389	0.8611	15	93
0.58403	0.39959	0.97000	3.67313	0.7895	0.2149	0.1364	0.8636	15	95
0.58403	0.39959	0.97000	3.67313	0.7895	0.2149	0.1364	0.8636	15	95
0.58236	0.39922	0.97000	3.63487	0.7895	0.2172	0.1351	0.8649	15	96
0.57445	0.39878	0.97000	3.45492	0.7895	0.2285	0.1293	0.8707	15	101
0.57445	0.39878	0.97000	3.45492	0.7895	0.2285	0.1293	0.8707	15	101
0.57445	0.39878	0.97000	3.45492	0.7895	0.2285	0.1293	0.8707	15	101
0.53713	0.39878	0.82500	2.15844	0.4737	0.2195	0.0849	0.9151	9	97
0.53713	0.39878	0.82500	2.15844	0.4737	0.2195	0.0849	0.9151	9	97
0.53455	0.39756	0.82500	2.11483	0.4737	0.2240	0.0833	0.9167	9	99
0.53455	0.39756	0.82500	2.11483	0.4737	0.2240	0.0833	0.9167	9	99
0.53200	0.39440	0.82500	2.07295	0.4737	0.2285	0.0818	0.9182	9	101
0.53200	0.39440	0.82500	2.07295	0.4737	0.2285	0.0818	0.9182	9	101
0.52952	0.39278	0.82500	2.03270	0.4737	0.2330	0.0804	0.9196	9	103
0.52952	0.39278	0.82500	2.03270	0.4737	0.2330	0.0804	0.9196	9	103
0.52830	0.39200	0.82500	2.01316	0.4737	0.2353	0.0796	0.9204	9	104
0.51005	0.36000	0.82500	1.75940	0.4737	0.2692	0.0703	0.9297	9	119
0.44113	0.32400	0.72800	1.07368	0.3158	0.2941	0.0441	0.9559	6	130
0.33658	0.26378	0.44180	0.10159	0.0526	0.5181	0.0043	0.9957	1	229
0.28647	0.26378	0.31913	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28647	0.26378	0.31913	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28647	0.26378	0.31913	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28626	0.26366	0.31913	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.28544	0.26323	0.31913	0.00000	0.0000	0.2534	0.0000	1.0000	0	112
0.28386	0.26323	0.31653	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28386	0.26323	0.31653	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28324	0.26323	0.31591	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.28273	0.26267	0.31556	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.28167	0.26212	0.31506	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.28135	0.26212	0.31484	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28135	0.26212	0.31484	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28135	0.26212	0.31484	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.28021	0.26187	0.31263	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.28002	0.25963	0.31263	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27925	0.25900	0.31263	0.00000	0.0000	0.2489	0.0000	1.0000	0	110
0.27925	0.25900	0.31263	0.00000	0.0000	0.2489	0.0000	1.0000	0	110
0.27799	0.25900	0.30966	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27769	0.25900	0.30906	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27751	0.25816	0.30906	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27732	0.25717	0.30906	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.27694	0.25687	0.30906	0.00000	0.0000	0.2466	0.0000	1.0000	0	109
0.27572	0.25687	0.30289	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27553	0.25576	0.30289	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27442	0.25410	0.30267	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.27442	0.25410	0.30267	0.00000	0.0000	0.2421	0.0000	1.0000	0	107
0.27388	0.25410	0.30127	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27343	0.25383	0.29965	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27297	0.25189	0.29802	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27236	0.25071	0.29802	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.27187	0.25071	0.29673	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27187	0.25071	0.29673	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27147	0.25039	0.29673	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.27075	0.25039	0.29521	0.00000	0.0000	0.2376	0.0000	1.0000	0	105
0.27056	0.24996	0.29521	0.00000	0.0000	0.2398	0.0000	1.0000	0	106
0.27017	0.24983	0.29521	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.27017	0.24983	0.29521	0.00000	0.0000	0.2443	0.0000	1.0000	0	108
0.26831	0.24958	0.29463	0.00000	0.0000	0.2466	0.0000	1.0000	0	109
0.26831	0.24958	0.29463	0.00000	0.0000	0.2466	0.0000	1.0000	0	109
0.26831	0.24958	0.29463	0.00000	0.0000	0.2466	0.0000	1.0000	0	109
