Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.94354	0.78100	1.00000	1.72468	0.5333	0.3092	0.0941	0.9059	8	77
0.70495	0.42336	0.99800	1.04476	0.6000	0.5743	0.0592	0.9408	9	143
0.44530	0.40426	0.71800	0.94857	0.4000	0.4217	0.0541	0.9459	6	105
0.41780	0.38870	0.44179	0.93521	0.2667	0.2851	0.0533	0.9467	4	71
0.40654	0.33704	0.44004	0.76322	0.2667	0.3494	0.0440	0.9560	4	87
0.39627	0.33360	0.42094	0.50303	0.1333	0.2651	0.0294	0.9706	2	66
0.39493	0.33016	0.42057	0.50303	0.1333	0.2651	0.0294	0.9706	2	66
0.39299	0.32700	0.42057	0.48824	0.1333	0.2731	0.0286	0.9714	2	68
0.39299	0.32700	0.42057	0.48824	0.1333	0.2731	0.0286	0.9714	2	68
0.39205	0.32581	0.42057	0.48116	0.1333	0.2771	0.0282	0.9718	2	69
0.39110	0.32368	0.42057	0.47429	0.1333	0.2811	0.0278	0.9722	2	70
0.38792	0.32258	0.41962	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.38646	0.32007	0.41823	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.38406	0.31960	0.41787	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.38356	0.31960	0.41745	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.38149	0.31104	0.41745	0.00000	0.0000	0.2811	0.0000	1.0000	0	70
0.38043	0.31104	0.41726	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.37942	0.31039	0.41726	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.37731	0.30466	0.41726	0.00000	0.0000	0.2851	0.0000	1.0000	0	71
0.37555	0.30466	0.41638	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.37429	0.28902	0.41638	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.37296	0.28090	0.41638	0.00000	0.0000	0.2811	0.0000	1.0000	0	70
0.37149	0.26874	0.41638	0.00000	0.0000	0.2851	0.0000	1.0000	0	71
0.36727	0.26416	0.41423	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.36353	0.26163	0.41263	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.36353	0.26163	0.41263	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.36205	0.25959	0.41263	0.00000	0.0000	0.2811	0.0000	1.0000	0	70
0.35787	0.23019	0.40941	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.35553	0.19580	0.40941	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.34931	0.19509	0.40924	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.34843	0.19509	0.40900	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.34318	0.16473	0.40900	0.00000	0.0000	0.2811	0.0000	1.0000	0	70
0.34125	0.16473	0.40873	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
0.33799	0.11670	0.40873	0.00000	0.0000	0.2771	0.0000	1.0000	0	69
0.33094	0.00000	0.40805	0.00000	0.0000	0.2731	0.0000	1.0000	0	68
