Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.98163	0.95200	1.00000	3.08696	1.0000	0.3239	0.0529	0.9471	9	161
0.98163	0.95200	1.00000	3.08696	1.0000	0.3239	0.0529	0.9471	9	161
0.98163	0.95200	1.00000	3.08696	1.0000	0.3239	0.0529	0.9471	9	161
0.98093	0.95000	0.99900	2.74396	0.8889	0.3239	0.0473	0.9527	8	161
0.98093	0.95000	0.99900	2.74396	0.8889	0.3239	0.0473	0.9527	8	161
0.97998	0.94800	0.99900	2.66131	0.8889	0.3340	0.0460	0.9540	8	166
0.97998	0.94800	0.99900	2.66131	0.8889	0.3340	0.0460	0.9540	8	166
0.97998	0.94800	0.99900	2.66131	0.8889	0.3340	0.0460	0.9540	8	166
0.97998	0.94800	0.99900	2.66131	0.8889	0.3340	0.0460	0.9540	8	166
0.97998	0.94800	0.99900	2.66131	0.8889	0.3340	0.0460	0.9540	8	166
0.97936	0.94300	0.99900	2.61407	0.8889	0.3400	0.0452	0.9548	8	169
0.97936	0.94300	0.99900	2.61407	0.8889	0.3400	0.0452	0.9548	8	169
0.97936	0.94300	0.99900	2.61407	0.8889	0.3400	0.0452	0.9548	8	169
0.97830	0.94100	0.99900	2.53895	0.8889	0.3501	0.0440	0.9560	8	174
0.97830	0.94100	0.99900	2.53895	0.8889	0.3501	0.0440	0.9560	8	174
0.97830	0.94100	0.99900	2.53895	0.8889	0.3501	0.0440	0.9560	8	174
0.97830	0.94100	0.99900	2.53895	0.8889	0.3501	0.0440	0.9560	8	174
0.97830	0.94100	0.99900	2.53895	0.8889	0.3501	0.0440	0.9560	8	174
0.97785	0.93700	0.99900	2.51010	0.8889	0.3541	0.0435	0.9565	8	176
0.97785	0.93700	0.99900	2.51010	0.8889	0.3541	0.0435	0.9565	8	176
0.97733	0.92900	0.99900	2.48190	0.8889	0.3581	0.0430	0.9570	8	178
0.97733	0.92900	0.99900	2.48190	0.8889	0.3581	0.0430	0.9570	8	178
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97547	0.92600	0.99900	2.38799	0.8889	0.3722	0.0415	0.9585	8	185
0.97152	0.92500	0.99800	1.69393	0.5556	0.3280	0.0298	0.9702	5	163
0.97123	0.92200	0.99800	1.68360	0.5556	0.3300	0.0296	0.9704	5	164
0.97032	0.91900	0.99800	1.65336	0.5556	0.3360	0.0291	0.9709	5	167
0.97032	0.91900	0.99800	1.65336	0.5556	0.3360	0.0291	0.9709	5	167
0.97032	0.91900	0.99800	1.65336	0.5556	0.3360	0.0291	0.9709	5	167
0.96884	0.91800	0.99800	1.60530	0.5556	0.3461	0.0282	0.9718	5	172
0.96884	0.91800	0.99800	1.60530	0.5556	0.3461	0.0282	0.9718	5	172
0.96884	0.91800	0.99800	1.60530	0.5556	0.3461	0.0282	0.9718	5	172
0.96093	0.88300	0.99800	1.42325	0.5556	0.3903	0.0251	0.9749	5	194
0.95494	0.88300	0.99300	1.33066	0.4444	0.3340	0.0235	0.9765	4	166
0.95494	0.88300	0.99300	1.33066	0.4444	0.3340	0.0235	0.9765	4	166
0.95494	0.88300	0.99300	1.33066	0.4444	0.3340	0.0235	0.9765	4	166
0.95436	0.85700	0.99300	1.32269	0.4444	0.3360	0.0234	0.9766	4	167
0.95058	0.85500	0.99200	0.98028	0.3333	0.3400	0.0174	0.9826	3	169
0.95058	0.85500	0.99200	0.98028	0.3333	0.3400	0.0174	0.9826	3	169
0.95058	0.85500	0.99200	0.98028	0.3333	0.3400	0.0174	0.9826	3	169
0.95058	0.85500	0.99200	0.98028	0.3333	0.3400	0.0174	0.9826	3	169
0.93165	0.80000	0.99000	0.57523	0.2222	0.3863	0.0103	0.9897	2	192
0.92102	0.78500	0.98400	0.00000	0.0000	0.3400	0.0000	1.0000	0	169
0.92102	0.78500	0.98400	0.00000	0.0000	0.3400	0.0000	1.0000	0	169
0.92021	0.78200	0.98400	0.00000	0.0000	0.3421	0.0000	1.0000	0	170
0.91777	0.78000	0.98400	0.00000	0.0000	0.3481	0.0000	1.0000	0	173
0.91777	0.78000	0.98400	0.00000	0.0000	0.3481	0.0000	1.0000	0	173
0.91777	0.78000	0.98400	0.00000	0.0000	0.3481	0.0000	1.0000	0	173
0.91614	0.77500	0.98400	0.00000	0.0000	0.3521	0.0000	1.0000	0	175
0.91332	0.77500	0.98200	0.00000	0.0000	0.3380	0.0000	1.0000	0	168
