Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.99022	0.96800	1.00000	2.23986	0.2091	0.0933	0.0924	0.9076	23	226
0.98994	0.96800	0.99900	2.20091	0.2000	0.0909	0.0909	0.9091	22	220
0.98994	0.96800	0.99900	2.20091	0.2000	0.0909	0.0909	0.9091	22	220
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98912	0.96700	0.99900	2.11441	0.2000	0.0946	0.0876	0.9124	22	229
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98837	0.96500	0.99900	2.04304	0.2000	0.0979	0.0849	0.9151	22	237
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98782	0.96400	0.99900	1.99259	0.2000	0.1004	0.0830	0.9170	22	243
0.98736	0.96300	0.99900	1.95242	0.2000	0.1024	0.0815	0.9185	22	248
0.98736	0.96300	0.99900	1.95242	0.2000	0.1024	0.0815	0.9185	22	248
0.98736	0.96300	0.99900	1.95242	0.2000	0.1024	0.0815	0.9185	22	248
0.98736	0.96300	0.99900	1.95242	0.2000	0.1024	0.0815	0.9185	22	248
0.98736	0.96300	0.99900	1.95242	0.2000	0.1024	0.0815	0.9185	22	248
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98637	0.96200	0.99900	1.86950	0.2000	0.1070	0.0783	0.9217	22	259
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98550	0.96100	0.99900	1.80000	0.2000	0.1111	0.0756	0.9244	22	269
0.98541	0.96000	0.99900	1.79333	0.2000	0.1115	0.0753	0.9247	22	270
0.98218	0.95900	0.99800	1.24399	0.1182	0.0950	0.0535	0.9465	13	230
0.98218	0.95900	0.99800	1.24399	0.1182	0.0950	0.0535	0.9465	13	230
0.98218	0.95900	0.99800	1.24399	0.1182	0.0950	0.0535	0.9465	13	230
0.98208	0.95800	0.99800	1.23861	0.1182	0.0954	0.0533	0.9467	13	231
0.98187	0.95700	0.99800	1.22798	0.1182	0.0962	0.0528	0.9472	13	233
0.98187	0.95700	0.99800	1.22798	0.1182	0.0962	0.0528	0.9472	13	233
0.98177	0.95600	0.99800	1.22273	0.1182	0.0967	0.0526	0.9474	13	234
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98103	0.95500	0.99800	1.18721	0.1182	0.0995	0.0512	0.9488	13	241
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98021	0.95400	0.99800	1.14907	0.1182	0.1029	0.0496	0.9504	13	249
0.98000	0.95300	0.99800	1.13991	0.1182	0.1037	0.0492	0.9508	13	251
0.98000	0.95300	0.99800	1.13991	0.1182	0.1037	0.0492	0.9508	13	251
0.97613	0.94100	0.99800	1.08115	0.1273	0.1177	0.0468	0.9532	14	285
0.51292	0.00000	0.99400	0.88640	0.8545	0.9641	0.0387	0.9613	94	2334
