Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.93723	0.84700	1.00000	6.16182	0.5932	0.0963	0.5303	0.4697	35	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93626	0.84700	0.99900	5.98577	0.5763	0.0963	0.5231	0.4769	34	31
0.93483	0.84200	0.99900	5.79872	0.5763	0.0994	0.5152	0.4848	34	32
0.93075	0.84100	0.99900	5.30168	0.5763	0.1087	0.4928	0.5072	34	35
0.93075	0.84100	0.99900	5.30168	0.5763	0.1087	0.4928	0.5072	34	35
0.93075	0.84100	0.99900	5.30168	0.5763	0.1087	0.4928	0.5072	34	35
0.92930	0.82900	0.99900	5.15442	0.5763	0.1118	0.4857	0.5143	34	36
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.92122	0.82700	0.99900	4.41807	0.5763	0.1304	0.4474	0.5526	34	42
0.87473	0.82100	0.99800	1.57984	0.1864	0.1180	0.2245	0.7755	11	38
0.86715	0.80700	0.99600	1.29943	0.1695	0.1304	0.1923	0.8077	10	42
0.86463	0.80700	0.98800	1.16949	0.1525	0.1304	0.1765	0.8235	9	42
0.85516	0.74100	0.97200	1.06490	0.1356	0.1273	0.1633	0.8367	8	41
0.84998	0.72300	0.97200	1.01537	0.1356	0.1335	0.1569	0.8431	8	43
0.84500	0.72300	0.96800	0.76153	0.1017	0.1335	0.1224	0.8776	6	43
0.81421	0.58500	0.96800	0.65492	0.1017	0.1553	0.1071	0.8929	6	50
0.59023	0.41379	0.88600	0.52477	0.1695	0.3230	0.0877	0.9123	10	104
0.40504	0.36166	0.46002	0.40932	0.1525	0.3727	0.0698	0.9302	9	120
0.38469	0.36166	0.40856	0.38983	0.0678	0.1739	0.0667	0.9333	4	56
0.32330	0.21426	0.40856	0.36587	0.2034	0.5559	0.0628	0.9372	12	179
0.22932	0.13040	0.27700	0.17055	0.0339	0.1988	0.0303	0.9697	2	64
