Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.83182	0.54600	0.96900	5.69695	0.5758	0.1011	0.5000	0.5000	19	19
0.82429	0.53819	0.96900	5.41210	0.5758	0.1064	0.4872	0.5128	19	20
0.81543	0.46988	0.96900	5.15438	0.5758	0.1117	0.4750	0.5250	19	21
0.79412	0.46657	0.96800	4.14324	0.4848	0.1170	0.4211	0.5789	16	22
0.78547	0.45659	0.96800	3.96310	0.4848	0.1223	0.4103	0.5897	16	23
0.76712	0.45342	0.96300	3.32323	0.4242	0.1277	0.3684	0.6316	14	24
0.75143	0.45331	0.96300	3.06759	0.4242	0.1383	0.3500	0.6500	14	26
0.74030	0.45331	0.91300	2.62937	0.3636	0.1383	0.3158	0.6842	12	26
0.73293	0.45289	0.91300	2.53198	0.3636	0.1436	0.3077	0.6923	12	27
0.71602	0.45067	0.90400	2.03463	0.3030	0.1489	0.2632	0.7368	10	28
0.69632	0.44671	0.90400	1.83773	0.3030	0.1649	0.2439	0.7561	10	31
0.69632	0.44671	0.90400	1.83773	0.3030	0.1649	0.2439	0.7561	10	31
0.69632	0.44671	0.90400	1.83773	0.3030	0.1649	0.2439	0.7561	10	31
0.65594	0.43487	0.86500	1.00535	0.1818	0.1809	0.1500	0.8500	6	34
0.65594	0.43487	0.86500	1.00535	0.1818	0.1809	0.1500	0.8500	6	34
0.41876	0.23985	0.86500	0.69287	0.5455	0.7872	0.1084	0.8916	18	148
0.26697	0.21340	0.30600	0.21498	0.0606	0.2819	0.0364	0.9636	2	53
0.22768	0.13298	0.28631	0.18990	0.0606	0.3191	0.0323	0.9677	2	60
