Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.75168	0.55000	0.99900	4.15381	1.0000	0.2407	0.4091	0.5909	9	13
0.75168	0.55000	0.99900	4.15381	1.0000	0.2407	0.4091	0.5909	9	13
0.73882	0.45586	0.99900	3.85711	1.0000	0.2593	0.3913	0.6087	9	14
0.72587	0.42808	0.99900	3.59998	1.0000	0.2778	0.3750	0.6250	9	15
0.70232	0.41974	0.99900	3.17645	1.0000	0.3148	0.3462	0.6538	9	17
0.63169	0.41974	0.97500	2.39999	0.6667	0.2778	0.2857	0.7143	6	15
0.60385	0.39040	0.83900	1.87500	0.5556	0.2963	0.2381	0.7619	5	16
0.51216	0.32228	0.83900	1.07143	0.5556	0.5185	0.1515	0.8485	5	28
0.40682	0.32228	0.55900	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.39498	0.31035	0.55000	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.39108	0.30908	0.55000	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.38400	0.30612	0.55000	0.00000	0.0000	0.4444	0.0000	1.0000	0	24
0.36028	0.30612	0.45586	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.34483	0.27366	0.42808	0.00000	0.0000	0.4259	0.0000	1.0000	0	23
0.34105	0.27366	0.41974	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.34105	0.27366	0.41974	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.33029	0.27261	0.39040	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.32426	0.26373	0.37341	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.31875	0.25777	0.37310	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.31455	0.22634	0.37310	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.29792	0.22606	0.36858	0.00000	0.0000	0.4259	0.0000	1.0000	0	23
0.29471	0.22606	0.35492	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.29184	0.22606	0.35177	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.28555	0.21954	0.35050	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.27846	0.20161	0.34687	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.27147	0.20007	0.34582	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.26405	0.19018	0.33781	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.25640	0.17711	0.32235	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.25266	0.17406	0.32235	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
0.24109	0.14905	0.31035	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.23319	0.14432	0.30908	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.22514	0.14020	0.30612	0.00000	0.0000	0.3889	0.0000	1.0000	0	21
0.22060	0.12528	0.30612	0.00000	0.0000	0.4074	0.0000	1.0000	0	22
