Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.86322	0.55900	0.99800	20.87463	1.0000	0.0479	0.7838	0.2162	29	8
0.86322	0.55900	0.99800	20.87463	1.0000	0.0479	0.7838	0.2162	29	8
0.84715	0.55000	0.99800	16.69977	1.0000	0.0599	0.7436	0.2564	29	10
0.84715	0.55000	0.99800	16.69977	1.0000	0.0599	0.7436	0.2564	29	10
0.83935	0.53500	0.99800	15.18163	1.0000	0.0659	0.7250	0.2750	29	11
0.83113	0.50228	0.99800	13.91651	1.0000	0.0719	0.7073	0.2927	29	12
0.78541	0.48600	0.96600	9.46052	0.7931	0.0838	0.6216	0.3784	23	14
0.76938	0.47031	0.96600	8.27796	0.7931	0.0958	0.5897	0.4103	23	16
0.73585	0.45343	0.87100	7.79103	0.7931	0.1018	0.5750	0.4250	23	17
0.73585	0.45343	0.87100	7.79103	0.7931	0.1018	0.5750	0.4250	23	17
0.73585	0.45343	0.87100	7.79103	0.7931	0.1018	0.5750	0.4250	23	17
0.72882	0.44774	0.87100	7.35820	0.7931	0.1078	0.5610	0.4390	23	18
0.70337	0.44243	0.87100	6.02035	0.7931	0.1317	0.5111	0.4889	23	22
0.70337	0.44243	0.87100	6.02035	0.7931	0.1317	0.5111	0.4889	23	22
0.70337	0.44243	0.87100	6.02035	0.7931	0.1317	0.5111	0.4889	23	22
0.70337	0.44243	0.87100	6.02035	0.7931	0.1317	0.5111	0.4889	23	22
0.69754	0.43526	0.87100	5.75860	0.7931	0.1377	0.5000	0.5000	23	23
0.69191	0.43316	0.87100	5.51866	0.7931	0.1437	0.4894	0.5106	23	24
0.68632	0.42357	0.87100	5.29791	0.7931	0.1497	0.4792	0.5208	23	25
0.68092	0.42139	0.87100	5.09415	0.7931	0.1557	0.4694	0.5306	23	26
0.67563	0.41676	0.87100	4.90547	0.7931	0.1617	0.4600	0.5400	23	27
0.67056	0.41665	0.87100	4.73028	0.7931	0.1677	0.4510	0.5490	23	28
0.66560	0.41306	0.87100	4.56717	0.7931	0.1737	0.4423	0.5577	23	29
0.66073	0.40722	0.87100	4.41493	0.7931	0.1796	0.4340	0.5660	23	30
0.65151	0.40710	0.87100	4.13900	0.7931	0.1916	0.4182	0.5818	23	32
0.65151	0.40710	0.87100	4.13900	0.7931	0.1916	0.4182	0.5818	23	32
0.64695	0.39623	0.87100	4.01357	0.7931	0.1976	0.4107	0.5893	23	33
0.61536	0.39425	0.87100	3.23044	0.7931	0.2455	0.3594	0.6406	23	41
0.61536	0.39425	0.87100	3.23044	0.7931	0.2455	0.3594	0.6406	23	41
0.47195	0.39425	0.84700	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.47195	0.39425	0.84700	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.45272	0.39425	0.61500	0.00000	0.0000	0.2335	0.0000	1.0000	0	39
0.44845	0.39425	0.55900	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.44845	0.39425	0.55900	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.44845	0.39425	0.55900	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.43434	0.39385	0.55000	0.00000	0.0000	0.2335	0.0000	1.0000	0	39
0.43434	0.39385	0.55000	0.00000	0.0000	0.2335	0.0000	1.0000	0	39
0.42809	0.39385	0.53500	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.42512	0.39385	0.50228	0.00000	0.0000	0.2156	0.0000	1.0000	0	36
0.42128	0.39266	0.48600	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.42128	0.39266	0.48600	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.41682	0.39001	0.47517	0.00000	0.0000	0.2156	0.0000	1.0000	0	36
0.40898	0.38199	0.47031	0.00000	0.0000	0.2575	0.0000	1.0000	0	43
0.40752	0.38199	0.45343	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.40752	0.38199	0.45343	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.40752	0.38199	0.45343	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.40399	0.38199	0.44774	0.00000	0.0000	0.2335	0.0000	1.0000	0	39
0.40284	0.38199	0.44243	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.40284	0.38199	0.44243	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.40284	0.38199	0.44243	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.40224	0.37971	0.44243	0.00000	0.0000	0.2335	0.0000	1.0000	0	39
0.39714	0.37932	0.43526	0.00000	0.0000	0.2156	0.0000	1.0000	0	36
0.39555	0.37776	0.43316	0.00000	0.0000	0.2156	0.0000	1.0000	0	36
0.39400	0.37760	0.42357	0.00000	0.0000	0.2156	0.0000	1.0000	0	36
0.38870	0.37311	0.42139	0.00000	0.0000	0.2695	0.0000	1.0000	0	45
0.38796	0.37311	0.41676	0.00000	0.0000	0.2635	0.0000	1.0000	0	44
0.38729	0.37311	0.41665	0.00000	0.0000	0.2575	0.0000	1.0000	0	43
0.38659	0.37311	0.41306	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.38595	0.37311	0.40722	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.38541	0.37311	0.40710	0.00000	0.0000	0.2395	0.0000	1.0000	0	40
0.38541	0.37311	0.40710	0.00000	0.0000	0.2395	0.0000	1.0000	0	40
0.38427	0.37311	0.39623	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.38395	0.37311	0.39425	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.38395	0.37311	0.39425	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.38363	0.37201	0.39425	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.38230	0.36963	0.39425	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.38230	0.36963	0.39425	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.38230	0.36963	0.39425	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.38230	0.36963	0.39425	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.38198	0.36853	0.39425	0.00000	0.0000	0.2575	0.0000	1.0000	0	43
0.37849	0.36647	0.39385	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.37849	0.36647	0.39385	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
0.37446	0.36089	0.39385	0.00000	0.0000	0.2874	0.0000	1.0000	0	48
0.37446	0.36089	0.39385	0.00000	0.0000	0.2874	0.0000	1.0000	0	48
0.37270	0.36089	0.39266	0.00000	0.0000	0.2635	0.0000	1.0000	0	44
0.37270	0.36089	0.39266	0.00000	0.0000	0.2635	0.0000	1.0000	0	44
0.37174	0.36089	0.39001	0.00000	0.0000	0.2515	0.0000	1.0000	0	42
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37130	0.36089	0.38199	0.00000	0.0000	0.2455	0.0000	1.0000	0	41
0.37067	0.35772	0.38199	0.00000	0.0000	0.2575	0.0000	1.0000	0	43
0.37067	0.35772	0.38199	0.00000	0.0000	0.2575	0.0000	1.0000	0	43
0.36690	0.35306	0.37971	0.00000	0.0000	0.2275	0.0000	1.0000	0	38
0.36655	0.35306	0.37932	0.00000	0.0000	0.2216	0.0000	1.0000	0	37
