Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.86285	0.45958	0.99900	4.33332	1.0000	0.2308	0.2895	0.7105	11	27
0.85241	0.45575	0.99900	4.17856	1.0000	0.2393	0.2821	0.7179	11	28
0.84234	0.44943	0.99900	4.03447	1.0000	0.2479	0.2750	0.7250	11	29
0.83231	0.43113	0.99900	3.89999	1.0000	0.2564	0.2683	0.7317	11	30
0.82272	0.42968	0.99900	3.77419	1.0000	0.2650	0.2619	0.7381	11	31
0.81357	0.42920	0.99900	3.65624	1.0000	0.2735	0.2558	0.7442	11	32
0.77415	0.42814	0.98800	1.61157	0.4545	0.2821	0.1316	0.8684	5	33
0.76525	0.42728	0.98800	1.56417	0.4545	0.2906	0.1282	0.8718	5	34
0.74858	0.42344	0.98800	1.47727	0.4545	0.3077	0.1220	0.8780	5	36
0.74858	0.42344	0.98800	1.47727	0.4545	0.3077	0.1220	0.8780	5	36
0.67403	0.41931	0.98800	1.10795	0.4545	0.4103	0.0943	0.9057	5	48
0.67403	0.41931	0.98800	1.10795	0.4545	0.4103	0.0943	0.9057	5	48
0.67403	0.41931	0.98800	1.10795	0.4545	0.4103	0.0943	0.9057	5	48
0.67403	0.41931	0.98800	1.10795	0.4545	0.4103	0.0943	0.9057	5	48
0.67403	0.41931	0.98800	1.10795	0.4545	0.4103	0.0943	0.9057	5	48
0.60131	0.41931	0.97100	0.25325	0.0909	0.3590	0.0233	0.9767	1	42
0.60131	0.41931	0.97100	0.25325	0.0909	0.3590	0.0233	0.9767	1	42
0.52558	0.37886	0.96800	0.23636	0.0909	0.3846	0.0217	0.9783	1	45
0.44103	0.37570	0.64900	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.42818	0.36837	0.55200	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.42174	0.36466	0.51393	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.41932	0.36466	0.49934	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.41566	0.36032	0.47674	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.41250	0.35673	0.46031	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.41096	0.35256	0.46031	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.40396	0.35044	0.45958	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.40253	0.35044	0.45575	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.40113	0.35044	0.44943	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.39843	0.34663	0.43113	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.39604	0.34033	0.42968	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.39363	0.33819	0.42920	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.38974	0.33550	0.42814	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.38872	0.33550	0.42728	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.38625	0.33340	0.42344	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.38486	0.33189	0.42344	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.38136	0.32908	0.41931	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.38000	0.32826	0.41931	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.37727	0.32395	0.41931	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.37727	0.32395	0.41931	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.37597	0.32298	0.41931	0.00000	0.0000	0.3590	0.0000	1.0000	0	42
0.37472	0.32210	0.41931	0.00000	0.0000	0.3675	0.0000	1.0000	0	43
0.37352	0.32172	0.41931	0.00000	0.0000	0.3761	0.0000	1.0000	0	44
0.37002	0.31882	0.41931	0.00000	0.0000	0.4017	0.0000	1.0000	0	47
0.37002	0.31882	0.41931	0.00000	0.0000	0.4017	0.0000	1.0000	0	47
0.37002	0.31882	0.41931	0.00000	0.0000	0.4017	0.0000	1.0000	0	47
0.36793	0.31864	0.41931	0.00000	0.0000	0.4188	0.0000	1.0000	0	49
0.36793	0.31864	0.41931	0.00000	0.0000	0.4188	0.0000	1.0000	0	49
0.35014	0.30883	0.41362	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.34734	0.30708	0.40942	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.34451	0.30195	0.40364	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.33971	0.30020	0.39874	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.33820	0.30020	0.39433	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.33672	0.30020	0.39015	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.33394	0.28455	0.38634	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.33120	0.28227	0.37886	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.32486	0.27810	0.37570	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.32359	0.27810	0.36837	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.32244	0.27810	0.36466	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.32244	0.27810	0.36466	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.31870	0.26483	0.36032	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.31583	0.25135	0.35673	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.31292	0.24603	0.35256	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.30999	0.24118	0.35044	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.30819	0.23978	0.35044	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.30475	0.23776	0.35044	0.00000	0.0000	0.3504	0.0000	1.0000	0	41
0.30115	0.23776	0.34663	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.29471	0.23046	0.34033	0.00000	0.0000	0.3419	0.0000	1.0000	0	40
0.29354	0.23046	0.33819	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.29236	0.23046	0.33550	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.29011	0.20434	0.33550	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
0.28544	0.20354	0.33340	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.28202	0.20330	0.33189	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.27856	0.20070	0.32908	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.27510	0.19755	0.32826	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.27154	0.19298	0.32395	0.00000	0.0000	0.3248	0.0000	1.0000	0	38
0.26934	0.18574	0.32395	0.00000	0.0000	0.3333	0.0000	1.0000	0	39
