Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.04966	0.04087	0.07617	2.096	0.833	0.398	0.132	0.868	5	33
0.04759	0.04050	0.05964	1.729	0.667	0.386	0.111	0.889	4	32
0.04687	0.04030	0.05176	1.221	0.500	0.410	0.081	0.919	3	34
0.04645	0.03743	0.05176	1.153	0.500	0.434	0.077	0.923	3	36
0.04562	0.03663	0.05081	0.814	0.333	0.410	0.056	0.944	2	34
0.03684	0.00607	0.05066	0.680	0.500	0.735	0.047	0.953	3	61
0.02796	0.00515	0.04050	0.395	0.167	0.422	0.028	0.972	1	35
0.02697	0.00478	0.04031	0.395	0.167	0.422	0.028	0.972	1	35
0.02510	0.00226	0.04031	0.364	0.167	0.458	0.026	0.974	1	38
0.01926	0.00063	0.03663	0.329	0.167	0.506	0.023	0.977	1	42
0.01620	0.00063	0.03364	0.000	0.000	0.434	0.000	1.000	0	36
0.01487	0.00031	0.03239	0.000	0.000	0.446	0.000	1.000	0	37
0.01401	0.00022	0.03187	0.000	0.000	0.446	0.000	1.000	0	37
0.01351	0.00022	0.03059	0.000	0.000	0.434	0.000	1.000	0	36
