Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.32129	0.27715	0.35980	6.548	0.430	0.066	0.436	0.564	58	75
0.31298	0.27696	0.34845	6.451	0.356	0.055	0.432	0.568	48	63
0.31266	0.27696	0.34833	6.316	0.348	0.055	0.427	0.573	47	63
0.31233	0.27696	0.34672	6.182	0.341	0.055	0.422	0.578	46	63
0.31168	0.27555	0.34654	5.953	0.333	0.056	0.413	0.587	45	64
0.31134	0.27467	0.34654	5.862	0.333	0.057	0.409	0.591	45	65
0.31101	0.27456	0.34654	5.773	0.333	0.058	0.405	0.595	45	66
0.30763	0.26762	0.34563	5.644	0.341	0.060	0.400	0.600	46	69
0.30416	0.26420	0.34259	5.603	0.333	0.059	0.398	0.602	45	68
0.30276	0.26420	0.34144	5.307	0.311	0.059	0.385	0.615	42	67
0.30204	0.26388	0.34073	5.307	0.311	0.059	0.385	0.615	42	67
0.30168	0.26233	0.34073	5.229	0.311	0.059	0.382	0.618	42	68
0.30133	0.26222	0.34073	5.154	0.311	0.060	0.378	0.622	42	69
0.29592	0.25752	0.34044	4.838	0.326	0.067	0.364	0.636	44	77
0.26354	0.19608	0.32894	4.575	0.496	0.108	0.351	0.649	67	124
0.23311	0.18796	0.27239	4.345	0.289	0.066	0.339	0.661	39	76
0.23004	0.18783	0.26420	4.119	0.267	0.065	0.327	0.673	36	74
0.23004	0.18783	0.26420	4.119	0.267	0.065	0.327	0.673	36	74
0.22583	0.17974	0.26388	3.916	0.274	0.070	0.316	0.684	37	80
0.22164	0.17867	0.26055	3.739	0.252	0.067	0.306	0.694	34	77
0.22129	0.17867	0.25956	3.629	0.244	0.067	0.300	0.700	33	77
0.22129	0.17867	0.25956	3.629	0.244	0.067	0.300	0.700	33	77
0.22089	0.17745	0.25956	3.582	0.244	0.068	0.297	0.703	33	78
0.21629	0.16939	0.25835	3.468	0.252	0.073	0.291	0.709	34	83
0.21225	0.16817	0.25115	3.322	0.230	0.069	0.282	0.718	31	79
0.21225	0.16817	0.25115	3.322	0.230	0.069	0.282	0.718	31	79
0.21112	0.16622	0.25085	3.215	0.222	0.069	0.275	0.725	30	79
0.21033	0.16565	0.24906	3.215	0.222	0.069	0.275	0.725	30	79
0.20956	0.16519	0.24883	3.215	0.222	0.069	0.275	0.725	30	79
0.20880	0.16500	0.24820	3.215	0.222	0.069	0.275	0.725	30	79
0.20803	0.16473	0.24778	3.215	0.222	0.069	0.275	0.725	30	79
0.20684	0.16265	0.24585	3.175	0.222	0.070	0.273	0.727	30	80
0.20684	0.16265	0.24585	3.175	0.222	0.070	0.273	0.727	30	80
0.20572	0.16252	0.24466	2.927	0.207	0.071	0.257	0.743	28	81
0.20458	0.16238	0.24313	2.891	0.207	0.072	0.255	0.745	28	82
0.20422	0.16238	0.24294	2.788	0.200	0.072	0.248	0.752	27	82
0.20348	0.16143	0.24205	2.788	0.200	0.072	0.248	0.752	27	82
0.20274	0.16116	0.24097	2.788	0.200	0.072	0.248	0.752	27	82
0.20160	0.16044	0.24097	2.689	0.200	0.074	0.241	0.759	27	85
0.19873	0.15923	0.24031	2.569	0.200	0.078	0.233	0.767	27	89
0.15091	0.05016	0.23788	2.451	0.407	0.166	0.224	0.776	55	190
0.10152	0.04953	0.14357	2.264	0.170	0.075	0.211	0.789	23	86
0.10104	0.04849	0.14357	2.238	0.170	0.076	0.209	0.791	23	87
0.09959	0.04476	0.14357	2.164	0.170	0.079	0.204	0.796	23	90
0.09750	0.04444	0.14130	2.117	0.163	0.077	0.200	0.800	22	88
0.09620	0.04391	0.13802	2.020	0.156	0.077	0.193	0.807	21	88
