Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11755	0.09231	0.14306	3.244	0.786	0.242	0.124	0.876	11	78
0.11696	0.09019	0.14295	3.244	0.786	0.242	0.124	0.876	11	78
0.11635	0.08874	0.14186	3.244	0.786	0.242	0.124	0.876	11	78
0.11603	0.08793	0.14186	3.203	0.786	0.245	0.122	0.878	11	79
0.11452	0.08705	0.14165	3.162	0.786	0.248	0.121	0.879	11	80
0.11115	0.08104	0.13777	2.674	0.714	0.267	0.104	0.896	10	86
0.10913	0.08104	0.13467	2.587	0.643	0.248	0.101	0.899	9	80
0.10852	0.08055	0.13450	2.587	0.643	0.248	0.101	0.899	9	80
0.10789	0.07818	0.13372	2.587	0.643	0.248	0.101	0.899	9	80
0.10756	0.07788	0.13372	2.556	0.643	0.252	0.100	0.900	9	81
0.10723	0.07777	0.13372	2.524	0.643	0.255	0.099	0.901	9	82
0.10536	0.07636	0.13357	2.524	0.643	0.255	0.099	0.901	9	82
0.10350	0.07581	0.13065	2.524	0.643	0.255	0.099	0.901	9	82
0.10289	0.07500	0.12843	2.524	0.643	0.255	0.099	0.901	9	82
0.10035	0.06923	0.12808	2.352	0.643	0.273	0.093	0.907	9	88
0.09725	0.06843	0.12512	2.272	0.571	0.252	0.090	0.910	8	81
0.09661	0.06752	0.12471	2.272	0.571	0.252	0.090	0.910	8	81
0.09596	0.06686	0.12429	2.272	0.571	0.252	0.090	0.910	8	81
0.09531	0.06642	0.12401	2.272	0.571	0.252	0.090	0.910	8	81
0.09465	0.06606	0.12330	2.272	0.571	0.252	0.090	0.910	8	81
0.09401	0.06556	0.12285	2.272	0.571	0.252	0.090	0.910	8	81
0.09273	0.06466	0.12256	2.217	0.571	0.258	0.088	0.912	8	83
0.09083	0.06411	0.12024	2.217	0.571	0.258	0.088	0.912	8	83
0.09021	0.06406	0.11800	1.917	0.500	0.261	0.077	0.923	7	84
0.09021	0.06406	0.11800	1.917	0.500	0.261	0.077	0.923	7	84
0.09021	0.06406	0.11800	1.917	0.500	0.261	0.077	0.923	7	84
0.08897	0.06327	0.11744	1.369	0.357	0.261	0.056	0.944	5	84
0.08836	0.06272	0.11658	1.369	0.357	0.261	0.056	0.944	5	84
0.08744	0.05902	0.11658	1.322	0.357	0.270	0.054	0.946	5	87
0.08464	0.05766	0.11310	1.307	0.357	0.273	0.054	0.946	5	88
0.08137	0.05549	0.11049	1.292	0.357	0.276	0.053	0.947	5	89
0.07980	0.05549	0.10612	1.082	0.286	0.264	0.045	0.955	4	85
0.07866	0.05411	0.10504	1.057	0.286	0.270	0.044	0.956	4	87
0.07528	0.04811	0.10426	0.704	0.214	0.304	0.030	0.970	3	98
0.06353	0.03405	0.09952	0.556	0.214	0.385	0.024	0.976	3	124
0.03885	0.01259	0.07586	0.426	0.214	0.503	0.018	0.982	3	162
0.02457	0.01259	0.03715	0.261	0.071	0.273	0.011	0.989	1	88
0.02390	0.01162	0.03715	0.247	0.071	0.289	0.011	0.989	1	93
0.01963	0.00740	0.03567	0.198	0.071	0.360	0.009	0.991	1	116
0.01527	0.00686	0.02628	0.000	0.000	0.280	0.000	1.000	0	90
0.01527	0.00686	0.02628	0.000	0.000	0.280	0.000	1.000	0	90
0.01474	0.00660	0.02578	0.000	0.000	0.283	0.000	1.000	0	91
0.01462	0.00660	0.02542	0.000	0.000	0.280	0.000	1.000	0	90
0.01450	0.00660	0.02496	0.000	0.000	0.276	0.000	1.000	0	89
0.01432	0.00638	0.02496	0.000	0.000	0.283	0.000	1.000	0	91
0.01432	0.00638	0.02496	0.000	0.000	0.283	0.000	1.000	0	91
0.01387	0.00620	0.02464	0.000	0.000	0.276	0.000	1.000	0	89
0.01349	0.00591	0.02386	0.000	0.000	0.283	0.000	1.000	0	91
0.01349	0.00591	0.02386	0.000	0.000	0.283	0.000	1.000	0	91
0.01349	0.00591	0.02386	0.000	0.000	0.283	0.000	1.000	0	91
0.01297	0.00577	0.02336	0.000	0.000	0.280	0.000	1.000	0	90
0.01286	0.00577	0.02320	0.000	0.000	0.276	0.000	1.000	0	89
0.01258	0.00534	0.02290	0.000	0.000	0.280	0.000	1.000	0	90
0.01246	0.00534	0.02261	0.000	0.000	0.276	0.000	1.000	0	89
0.01226	0.00484	0.02242	0.000	0.000	0.276	0.000	1.000	0	89
0.01198	0.00466	0.02231	0.000	0.000	0.280	0.000	1.000	0	90
0.01186	0.00466	0.02190	0.000	0.000	0.276	0.000	1.000	0	89
0.01167	0.00455	0.02169	0.000	0.000	0.276	0.000	1.000	0	89
0.01139	0.00396	0.02144	0.000	0.000	0.280	0.000	1.000	0	90
0.01127	0.00396	0.02070	0.000	0.000	0.276	0.000	1.000	0	89
0.01110	0.00353	0.02070	0.000	0.000	0.283	0.000	1.000	0	91
0.01089	0.00353	0.02041	0.000	0.000	0.276	0.000	1.000	0	89
0.01061	0.00307	0.02002	0.000	0.000	0.280	0.000	1.000	0	90
0.01061	0.00307	0.02002	0.000	0.000	0.280	0.000	1.000	0	90
0.01031	0.00295	0.01928	0.000	0.000	0.276	0.000	1.000	0	89
0.01012	0.00254	0.01891	0.000	0.000	0.276	0.000	1.000	0	89
