Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.02743	0.02242	0.03399	2.308	0.714	0.310	0.278	0.722	5	13
0.02615	0.02100	0.03379	1.500	0.571	0.381	0.200	0.800	4	16
0.02462	0.01919	0.03199	1.412	0.571	0.405	0.190	0.810	4	17
0.02303	0.01896	0.02794	1.200	0.429	0.357	0.167	0.833	3	15
0.02278	0.01828	0.02794	1.125	0.429	0.381	0.158	0.842	3	16
0.02174	0.01792	0.02739	1.125	0.429	0.381	0.158	0.842	3	16
0.02123	0.01784	0.02459	1.125	0.429	0.381	0.158	0.842	3	16
0.02088	0.01781	0.02392	1.125	0.429	0.381	0.158	0.842	3	16
0.02032	0.01651	0.02392	0.947	0.429	0.452	0.136	0.864	3	19
0.01811	0.01130	0.02333	0.783	0.429	0.548	0.115	0.885	3	23
0.01598	0.00955	0.01896	0.353	0.143	0.405	0.056	0.944	1	17
0.01541	0.00861	0.01828	0.353	0.143	0.405	0.056	0.944	1	17
0.01449	0.00813	0.01798	0.333	0.143	0.429	0.053	0.947	1	18
0.01449	0.00813	0.01798	0.333	0.143	0.429	0.053	0.947	1	18
0.01308	0.00740	0.01792	0.286	0.143	0.500	0.045	0.955	1	21
