Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.11194	0.05436	0.12944	7.422	0.938	0.126	0.556	0.444	15	12
0.10983	0.05270	0.12944	6.851	0.938	0.137	0.536	0.464	15	13
0.10729	0.03632	0.12944	6.362	0.938	0.147	0.517	0.483	15	14
0.10305	0.03283	0.12935	5.937	0.875	0.147	0.500	0.500	14	14
0.10058	0.03141	0.12935	5.542	0.875	0.158	0.483	0.517	14	15
0.09470	0.02789	0.12904	4.750	0.750	0.158	0.444	0.556	12	15
0.09068	0.02067	0.12878	4.750	0.750	0.158	0.444	0.556	12	15
0.08664	0.01971	0.12731	4.750	0.750	0.158	0.444	0.556	12	15
0.08418	0.01768	0.12731	4.453	0.750	0.168	0.429	0.571	12	16
0.07842	0.01475	0.12640	3.493	0.625	0.179	0.370	0.630	10	17
0.07003	0.01139	0.12511	2.672	0.562	0.211	0.310	0.690	9	20
0.06179	0.01091	0.12347	2.500	0.500	0.200	0.296	0.704	8	19
0.05759	0.00997	0.12301	2.078	0.438	0.211	0.259	0.741	7	20
0.05181	0.00946	0.12193	1.619	0.375	0.232	0.214	0.786	6	22
0.04922	0.00946	0.11779	1.349	0.312	0.232	0.185	0.815	5	22
0.04519	0.00909	0.11641	1.349	0.312	0.232	0.185	0.815	5	22
0.04121	0.00892	0.11146	1.033	0.250	0.242	0.148	0.852	4	23
0.03739	0.00832	0.11040	0.742	0.188	0.253	0.111	0.889	3	24
0.03357	0.00727	0.10977	0.742	0.188	0.253	0.111	0.889	3	24
0.02977	0.00702	0.10010	0.742	0.188	0.253	0.111	0.889	3	24
0.02626	0.00546	0.08377	0.742	0.188	0.253	0.111	0.889	3	24
0.02335	0.00532	0.07288	0.742	0.188	0.253	0.111	0.889	3	24
0.01873	0.00390	0.06041	0.636	0.188	0.295	0.097	0.903	3	28
0.01112	0.00343	0.03283	0.205	0.062	0.305	0.033	0.967	1	29
0.00894	0.00343	0.02067	0.000	0.000	0.284	0.000	1.000	0	27
0.00829	0.00317	0.01971	0.000	0.000	0.284	0.000	1.000	0	27
0.00750	0.00286	0.01768	0.000	0.000	0.295	0.000	1.000	0	28
0.00712	0.00286	0.01475	0.000	0.000	0.284	0.000	1.000	0	27
0.00640	0.00262	0.01437	0.000	0.000	0.305	0.000	1.000	0	29
0.00627	0.00258	0.01437	0.000	0.000	0.316	0.000	1.000	0	30
0.00569	0.00258	0.01139	0.000	0.000	0.295	0.000	1.000	0	28
0.00537	0.00250	0.01091	0.000	0.000	0.295	0.000	1.000	0	28
0.00517	0.00250	0.00997	0.000	0.000	0.284	0.000	1.000	0	27
0.00489	0.00239	0.00953	0.000	0.000	0.284	0.000	1.000	0	27
0.00479	0.00214	0.00953	0.000	0.000	0.295	0.000	1.000	0	28
0.00409	0.00189	0.00909	0.000	0.000	0.316	0.000	1.000	0	30
0.00392	0.00189	0.00892	0.000	0.000	0.305	0.000	1.000	0	29
0.00374	0.00189	0.00832	0.000	0.000	0.295	0.000	1.000	0	28
0.00357	0.00189	0.00727	0.000	0.000	0.284	0.000	1.000	0	27
0.00337	0.00165	0.00702	0.000	0.000	0.284	0.000	1.000	0	27
0.00304	0.00136	0.00546	0.000	0.000	0.305	0.000	1.000	0	29
0.00295	0.00136	0.00532	0.000	0.000	0.295	0.000	1.000	0	28
0.00286	0.00136	0.00517	0.000	0.000	0.284	0.000	1.000	0	27
0.00280	0.00118	0.00517	0.000	0.000	0.295	0.000	1.000	0	28
0.00246	0.00101	0.00483	0.000	0.000	0.305	0.000	1.000	0	29
0.00233	0.00097	0.00391	0.000	0.000	0.305	0.000	1.000	0	29
0.00233	0.00097	0.00391	0.000	0.000	0.305	0.000	1.000	0	29
0.00221	0.00097	0.00375	0.000	0.000	0.284	0.000	1.000	0	27
0.00216	0.00080	0.00375	0.000	0.000	0.295	0.000	1.000	0	28
0.00194	0.00064	0.00346	0.000	0.000	0.295	0.000	1.000	0	28
0.00189	0.00057	0.00346	0.000	0.000	0.305	0.000	1.000	0	29
0.00173	0.00051	0.00317	0.000	0.000	0.295	0.000	1.000	0	28
0.00159	0.00045	0.00290	0.000	0.000	0.305	0.000	1.000	0	29
0.00148	0.00035	0.00290	0.000	0.000	0.337	0.000	1.000	0	32
0.00139	0.00035	0.00271	0.000	0.000	0.316	0.000	1.000	0	30
0.00135	0.00035	0.00271	0.000	0.000	0.326	0.000	1.000	0	31
0.00135	0.00035	0.00271	0.000	0.000	0.326	0.000	1.000	0	31
0.00127	0.00027	0.00264	0.000	0.000	0.326	0.000	1.000	0	31
0.00118	0.00027	0.00258	0.000	0.000	0.305	0.000	1.000	0	29
0.00105	0.00019	0.00239	0.000	0.000	0.295	0.000	1.000	0	28
0.00094	0.00013	0.00214	0.000	0.000	0.305	0.000	1.000	0	29
0.00077	0.00005	0.00194	0.000	0.000	0.347	0.000	1.000	0	33
0.00073	0.00004	0.00194	0.000	0.000	0.368	0.000	1.000	0	35
0.00061	0.00000	0.00194	0.000	0.000	0.442	0.000	1.000	0	42
0.00061	0.00000	0.00194	0.000	0.000	0.442	0.000	1.000	0	42
0.00047	0.00000	0.00165	0.000	0.000	0.400	0.000	1.000	0	38
0.00044	0.00000	0.00143	0.000	0.000	0.389	0.000	1.000	0	37
0.00044	0.00000	0.00143	0.000	0.000	0.389	0.000	1.000	0	37
0.00044	0.00000	0.00143	0.000	0.000	0.389	0.000	1.000	0	37
0.00035	0.00000	0.00118	0.000	0.000	0.358	0.000	1.000	0	34
0.00033	0.00000	0.00108	0.000	0.000	0.347	0.000	1.000	0	33
0.00033	0.00000	0.00108	0.000	0.000	0.347	0.000	1.000	0	33
0.00033	0.00000	0.00108	0.000	0.000	0.347	0.000	1.000	0	33
0.00031	0.00000	0.00103	0.000	0.000	0.337	0.000	1.000	0	32
0.00023	0.00000	0.00080	0.000	0.000	0.305	0.000	1.000	0	29
0.00021	0.00000	0.00068	0.000	0.000	0.295	0.000	1.000	0	28
0.00021	0.00000	0.00068	0.000	0.000	0.295	0.000	1.000	0	28
