Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.06504	0.02460	0.10274	2.824	0.480	0.170	0.261	0.739	12	34
0.06335	0.02452	0.10274	2.667	0.480	0.180	0.250	0.750	12	36
0.06335	0.02452	0.10274	2.667	0.480	0.180	0.250	0.750	12	36
0.06335	0.02452	0.10274	2.667	0.480	0.180	0.250	0.750	12	36
0.06035	0.02431	0.10274	2.400	0.480	0.200	0.231	0.769	12	40
0.05719	0.02424	0.10274	2.133	0.480	0.225	0.211	0.789	12	45
0.05719	0.02424	0.10274	2.133	0.480	0.225	0.211	0.789	12	45
0.05719	0.02424	0.10274	2.133	0.480	0.225	0.211	0.789	12	45
0.05130	0.02420	0.10272	1.455	0.320	0.220	0.154	0.846	8	44
0.04553	0.02403	0.10200	1.362	0.320	0.235	0.145	0.855	8	47
0.02647	0.02377	0.08595	0.716	0.680	0.950	0.082	0.918	17	190
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
0.02378	0.02377	0.02386	0.706	0.480	0.680	0.081	0.919	12	136
