Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.25323	0.17525	0.33013	4.408	0.627	0.142	0.285	0.715	47	118
0.18812	0.10950	0.27710	3.607	0.587	0.163	0.246	0.754	44	135
0.15320	0.10854	0.20039	3.509	0.347	0.099	0.241	0.759	26	82
0.15013	0.10593	0.19898	3.374	0.333	0.099	0.234	0.766	25	82
0.14873	0.10593	0.19700	2.969	0.293	0.099	0.212	0.788	22	82
0.14248	0.09391	0.19700	2.510	0.293	0.117	0.185	0.815	22	97
0.12792	0.08008	0.18164	2.484	0.293	0.118	0.183	0.817	22	98
0.11398	0.06737	0.16318	2.103	0.253	0.120	0.160	0.840	19	100
0.10774	0.06737	0.15088	2.012	0.213	0.106	0.154	0.846	16	88
0.10653	0.06558	0.14876	1.990	0.213	0.107	0.152	0.848	16	89
0.10653	0.06558	0.14876	1.990	0.213	0.107	0.152	0.848	16	89
0.10492	0.06419	0.14656	1.703	0.187	0.110	0.133	0.867	14	91
0.10452	0.06419	0.14536	1.581	0.173	0.110	0.125	0.875	13	91
0.10063	0.05569	0.14400	1.453	0.173	0.119	0.116	0.884	13	99
0.09670	0.05510	0.13899	1.309	0.147	0.112	0.106	0.894	11	93
0.09588	0.05386	0.13823	1.177	0.133	0.113	0.096	0.904	10	94
0.09506	0.05302	0.13773	1.177	0.133	0.113	0.096	0.904	10	94
0.09424	0.05159	0.13683	1.177	0.133	0.113	0.096	0.904	10	94
0.09341	0.05117	0.13432	1.177	0.133	0.113	0.096	0.904	10	94
0.09181	0.05011	0.13432	1.129	0.133	0.118	0.093	0.907	10	98
0.09022	0.05011	0.13086	1.048	0.120	0.114	0.087	0.913	9	95
0.08943	0.04894	0.13014	1.048	0.120	0.114	0.087	0.913	9	95
0.08866	0.04866	0.13014	1.027	0.120	0.117	0.085	0.915	9	97
0.07954	0.03801	0.12882	0.938	0.133	0.142	0.078	0.922	10	118
0.06970	0.03782	0.10950	0.922	0.107	0.116	0.077	0.923	8	96
0.06900	0.03750	0.10854	0.922	0.107	0.116	0.077	0.923	8	96
0.06870	0.03737	0.10854	0.913	0.107	0.117	0.076	0.924	8	97
0.06733	0.03659	0.10826	0.913	0.107	0.117	0.076	0.924	8	97
0.06694	0.03659	0.10601	0.799	0.093	0.117	0.067	0.933	7	97
0.05859	0.02674	0.10601	0.605	0.093	0.154	0.052	0.948	7	128
0.04245	0.02146	0.08008	0.527	0.080	0.152	0.045	0.955	6	126
0.03376	0.01903	0.05772	0.410	0.053	0.130	0.036	0.964	4	108
0.02962	0.01664	0.05020	0.369	0.053	0.145	0.032	0.968	4	120
0.02567	0.01599	0.04139	0.313	0.040	0.128	0.028	0.972	3	106
0.02538	0.01599	0.04072	0.211	0.027	0.127	0.019	0.981	2	105
0.02319	0.01430	0.03840	0.183	0.027	0.146	0.016	0.984	2	121
0.01936	0.01172	0.03177	0.165	0.027	0.161	0.015	0.985	2	134
0.01639	0.01116	0.02513	0.099	0.013	0.135	0.009	0.991	1	112
0.01539	0.01074	0.02285	0.097	0.013	0.137	0.009	0.991	1	114
0.00687	0.00120	0.02192	0.044	0.027	0.601	0.004	0.996	2	499
