Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.17936	0.13188	0.19079	2.667	0.556	0.208	0.182	0.818	10	45
0.17840	0.12539	0.19079	2.609	0.556	0.213	0.179	0.821	10	46
0.17728	0.11458	0.19079	2.553	0.556	0.218	0.175	0.825	10	47
0.12963	0.01936	0.19079	2.526	0.889	0.352	0.174	0.826	16	76
0.08697	0.01828	0.17870	2.043	0.444	0.218	0.145	0.855	8	47
0.08405	0.01814	0.17465	2.043	0.444	0.218	0.145	0.855	8	47
0.08115	0.01504	0.17414	2.043	0.444	0.218	0.145	0.855	8	47
0.07375	0.01205	0.17380	1.882	0.444	0.236	0.136	0.864	8	51
0.05646	0.01109	0.16578	1.714	0.444	0.259	0.125	0.875	8	56
0.04055	0.01102	0.12539	1.412	0.333	0.236	0.105	0.895	6	51
0.03672	0.01076	0.11458	1.309	0.333	0.255	0.098	0.902	6	55
0.03116	0.01068	0.10591	1.263	0.333	0.264	0.095	0.905	6	57
0.02642	0.01064	0.09046	1.241	0.333	0.269	0.094	0.906	6	58
0.02219	0.01054	0.07086	1.143	0.333	0.292	0.087	0.913	6	63
0.01552	0.01046	0.04587	0.809	0.333	0.412	0.063	0.937	6	89
0.01214	0.01046	0.03336	0.483	0.333	0.690	0.039	0.961	6	149
0.01200	0.01046	0.03157	0.403	0.278	0.690	0.032	0.968	5	149
0.01162	0.01046	0.02979	0.327	0.222	0.681	0.026	0.974	4	147
0.01127	0.01046	0.02586	0.248	0.167	0.671	0.020	0.980	3	145
0.01048	0.01046	0.01068	0.214	0.111	0.519	0.018	0.982	2	112
