Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.16063	0.05424	0.20795	6.642	0.690	0.104	0.513	0.487	20	19
0.15778	0.04659	0.20795	6.310	0.690	0.109	0.500	0.500	20	20
0.15503	0.04538	0.20795	6.010	0.690	0.115	0.488	0.512	20	21
0.15235	0.04237	0.20795	5.737	0.690	0.120	0.476	0.524	20	22
0.14971	0.03860	0.20795	5.487	0.690	0.126	0.465	0.535	20	23
0.13411	0.03173	0.20762	4.039	0.552	0.137	0.390	0.610	16	25
0.12583	0.03155	0.20742	3.534	0.483	0.137	0.359	0.641	14	25
0.12129	0.03052	0.20706	3.155	0.448	0.142	0.333	0.667	13	26
0.11675	0.02987	0.20673	2.805	0.414	0.148	0.308	0.692	12	27
0.11013	0.02937	0.20646	2.394	0.379	0.158	0.275	0.725	11	29
0.10766	0.02937	0.20491	2.176	0.345	0.158	0.256	0.744	10	29
0.10309	0.02673	0.20478	2.176	0.345	0.158	0.256	0.744	10	29
0.09849	0.02517	0.20242	2.176	0.345	0.158	0.256	0.744	10	29
0.09393	0.02496	0.20027	1.893	0.310	0.164	0.231	0.769	9	30
0.08943	0.02464	0.19639	1.893	0.310	0.164	0.231	0.769	9	30
0.08503	0.02454	0.19109	1.893	0.310	0.164	0.231	0.769	9	30
0.08075	0.02437	0.18584	1.893	0.310	0.164	0.231	0.769	9	30
0.07660	0.02408	0.18426	1.628	0.276	0.169	0.205	0.795	8	31
0.07012	0.02385	0.17534	1.299	0.241	0.186	0.171	0.829	7	34
0.06749	0.02385	0.17127	1.114	0.207	0.186	0.150	0.850	6	34
0.06483	0.02385	0.17079	0.928	0.172	0.186	0.128	0.872	5	34
0.06106	0.02368	0.16929	0.721	0.138	0.191	0.103	0.897	4	35
0.05732	0.02340	0.16345	0.721	0.138	0.191	0.103	0.897	4	35
0.05372	0.02329	0.14607	0.721	0.138	0.191	0.103	0.897	4	35
0.03742	0.01934	0.13681	0.712	0.241	0.339	0.101	0.899	7	62
0.01962	0.01843	0.02454	0.437	0.241	0.552	0.065	0.935	7	101
0.01863	0.01843	0.01894	0.338	0.103	0.306	0.051	0.949	3	56
0.01852	0.01838	0.01894	0.243	0.138	0.568	0.037	0.963	4	104
