Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.15433	0.07155	0.33154	1.468	0.667	0.454	0.017	0.983	4	227
0.13718	0.07073	0.25734	1.232	0.500	0.406	0.015	0.985	3	203
0.13627	0.07013	0.25629	1.232	0.500	0.406	0.015	0.985	3	203
0.13537	0.06979	0.25526	1.232	0.500	0.406	0.015	0.985	3	203
0.13447	0.06954	0.24328	1.232	0.500	0.406	0.015	0.985	3	203
0.13362	0.06892	0.24282	1.232	0.500	0.406	0.015	0.985	3	203
0.13277	0.06841	0.24177	1.232	0.500	0.406	0.015	0.985	3	203
0.13193	0.06822	0.24089	1.232	0.500	0.406	0.015	0.985	3	203
0.13109	0.06785	0.24036	1.232	0.500	0.406	0.015	0.985	3	203
0.13025	0.06760	0.23858	1.232	0.500	0.406	0.015	0.985	3	203
0.12942	0.06748	0.23171	1.232	0.500	0.406	0.015	0.985	3	203
0.12862	0.06713	0.23012	1.232	0.500	0.406	0.015	0.985	3	203
0.12783	0.06699	0.22950	1.232	0.500	0.406	0.015	0.985	3	203
0.12704	0.06616	0.22920	1.232	0.500	0.406	0.015	0.985	3	203
0.07668	0.01629	0.22646	0.902	0.833	0.924	0.011	0.989	5	462
