Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.22382	0.15866	0.33154	1.875	0.173	0.092	0.079	0.921	19	223
0.22382	0.15866	0.33154	1.875	0.173	0.092	0.079	0.921	19	223
0.22239	0.15812	0.31958	1.875	0.173	0.092	0.079	0.921	19	223
0.22239	0.15812	0.31958	1.875	0.173	0.092	0.079	0.921	19	223
0.22053	0.15787	0.31947	1.859	0.173	0.093	0.078	0.922	19	225
0.22002	0.15786	0.31947	1.842	0.173	0.094	0.077	0.923	19	227
0.21702	0.15737	0.31471	1.787	0.173	0.097	0.075	0.925	19	234
0.19043	0.12864	0.29762	1.750	0.236	0.135	0.074	0.926	26	327
0.16174	0.12778	0.21222	1.448	0.136	0.094	0.062	0.938	15	228
0.15989	0.12613	0.21022	1.411	0.136	0.097	0.060	0.940	15	234
0.15803	0.12592	0.20524	1.346	0.127	0.095	0.058	0.942	14	229
0.15803	0.12592	0.20524	1.346	0.127	0.095	0.058	0.942	14	229
0.06699	0.02207	0.20275	1.110	0.736	0.663	0.048	0.952	81	1606
0.02511	0.02202	0.02813	1.035	0.100	0.097	0.045	0.955	11	234
0.02501	0.02185	0.02788	1.035	0.100	0.097	0.045	0.955	11	234
0.02501	0.02185	0.02788	1.035	0.100	0.097	0.045	0.955	11	234
0.02501	0.02185	0.02788	1.035	0.100	0.097	0.045	0.955	11	234
0.02495	0.02177	0.02768	0.949	0.091	0.096	0.041	0.959	10	232
0.02492	0.02167	0.02768	0.941	0.091	0.097	0.041	0.959	10	234
0.02484	0.02156	0.02768	0.917	0.091	0.099	0.040	0.960	10	240
0.02316	0.01835	0.02739	0.885	0.127	0.144	0.039	0.961	14	348
0.02192	0.01833	0.02503	0.870	0.091	0.105	0.038	0.962	10	253
0.02192	0.01833	0.02503	0.870	0.091	0.105	0.038	0.962	10	253
0.02155	0.01763	0.02503	0.868	0.100	0.115	0.038	0.962	11	279
0.02091	0.01763	0.02480	0.746	0.073	0.097	0.033	0.967	8	236
0.02078	0.01755	0.02458	0.737	0.073	0.099	0.032	0.968	8	239
0.02075	0.01750	0.02458	0.731	0.073	0.100	0.032	0.968	8	241
0.02075	0.01750	0.02458	0.731	0.073	0.100	0.032	0.968	8	241
0.02075	0.01750	0.02458	0.731	0.073	0.100	0.032	0.968	8	241
0.02075	0.01750	0.02458	0.731	0.073	0.100	0.032	0.968	8	241
0.02073	0.01745	0.02458	0.725	0.073	0.100	0.032	0.968	8	243
0.02073	0.01745	0.02458	0.725	0.073	0.100	0.032	0.968	8	243
0.02069	0.01743	0.02458	0.716	0.073	0.102	0.031	0.969	8	246
0.02066	0.01741	0.02458	0.710	0.073	0.102	0.031	0.969	8	248
0.02049	0.01713	0.02458	0.672	0.073	0.108	0.030	0.970	8	262
0.01871	0.01466	0.02405	0.537	0.082	0.152	0.024	0.976	9	369
0.01709	0.01466	0.01997	0.532	0.055	0.102	0.024	0.976	6	248
0.01709	0.01466	0.01997	0.532	0.055	0.102	0.024	0.976	6	248
0.01709	0.01466	0.01997	0.532	0.055	0.102	0.024	0.976	6	248
0.01708	0.01464	0.01997	0.530	0.055	0.103	0.024	0.976	6	249
0.01698	0.01448	0.01993	0.518	0.055	0.105	0.023	0.977	6	255
0.01673	0.01438	0.01950	0.518	0.055	0.105	0.023	0.977	6	255
0.01148	0.00115	0.01914	0.478	0.118	0.247	0.021	0.979	13	599
