Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05576	0.01390	0.08024	3.99996	1.0000	0.2500	0.4000	0.6000	8	12
0.05576	0.01390	0.08024	3.99996	1.0000	0.2500	0.4000	0.6000	8	12
0.05097	0.01354	0.08007	2.76922	0.7500	0.2708	0.3158	0.6842	6	13
0.04742	0.01275	0.07973	2.14285	0.6250	0.2917	0.2632	0.7368	5	14
0.04389	0.01253	0.07859	1.60000	0.5000	0.3125	0.2105	0.7895	4	15
0.04039	0.01205	0.07845	1.60000	0.5000	0.3125	0.2105	0.7895	4	15
0.03676	0.00961	0.07829	1.60000	0.5000	0.3125	0.2105	0.7895	4	15
0.03310	0.00871	0.07667	1.60000	0.5000	0.3125	0.2105	0.7895	4	15
0.02951	0.00851	0.07381	1.60000	0.5000	0.3125	0.2105	0.7895	4	15
0.02600	0.00709	0.07141	1.12500	0.3750	0.3333	0.1579	0.8421	3	16
0.02257	0.00624	0.06367	0.70588	0.2500	0.3542	0.1053	0.8947	2	17
0.01950	0.00523	0.06182	0.70588	0.2500	0.3542	0.1053	0.8947	2	17
0.01646	0.00406	0.04385	0.70588	0.2500	0.3542	0.1053	0.8947	2	17
0.01435	0.00387	0.03457	0.33333	0.1250	0.3750	0.0526	0.9474	1	18
0.01138	0.00245	0.03340	0.28571	0.1250	0.4375	0.0455	0.9545	1	21
0.00848	0.00245	0.01685	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00772	0.00231	0.01399	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00713	0.00151	0.01399	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.00641	0.00151	0.01354	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00576	0.00119	0.01275	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00492	0.00081	0.01253	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.00452	0.00081	0.01205	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00360	0.00054	0.00961	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.00316	0.00045	0.00871	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.00288	0.00045	0.00851	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.00248	0.00036	0.00709	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.00214	0.00033	0.00624	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.00192	0.00033	0.00523	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.00122	0.00001	0.00406	0.00000	0.0000	0.5417	0.0000	1.0000	0	26
0.00110	0.00001	0.00387	0.00000	0.0000	0.5208	0.0000	1.0000	0	25
0.00099	0.00001	0.00368	0.00000	0.0000	0.5000	0.0000	1.0000	0	24
0.00099	0.00001	0.00368	0.00000	0.0000	0.5000	0.0000	1.0000	0	24
0.00075	0.00001	0.00250	0.00000	0.0000	0.4583	0.0000	1.0000	0	22
0.00075	0.00001	0.00250	0.00000	0.0000	0.4583	0.0000	1.0000	0	22
0.00057	0.00001	0.00231	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.00048	0.00001	0.00154	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
