Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.26482	0.22501	0.28520	12.95445	0.6818	0.0526	0.6977	0.3023	30	13
0.26340	0.22397	0.28350	11.62817	0.6591	0.0567	0.6744	0.3256	29	14
0.26182	0.21578	0.28273	10.47873	0.6364	0.0607	0.6512	0.3488	28	15
0.26024	0.21462	0.28257	10.47873	0.6364	0.0607	0.6512	0.3488	28	15
0.25863	0.21342	0.28239	10.47873	0.6364	0.0607	0.6512	0.3488	28	15
0.25683	0.20486	0.28227	9.47296	0.6136	0.0648	0.6279	0.3721	27	16
0.25463	0.18787	0.28150	9.47296	0.6136	0.0648	0.6279	0.3721	27	16
0.25241	0.18598	0.28093	8.58552	0.5909	0.0688	0.6047	0.3953	26	17
0.25003	0.17881	0.28059	8.58552	0.5909	0.0688	0.6047	0.3953	26	17
0.24765	0.17809	0.27934	7.79668	0.5682	0.0729	0.5814	0.4186	25	18
0.24527	0.17679	0.27880	7.79668	0.5682	0.0729	0.5814	0.4186	25	18
0.24279	0.17216	0.27817	7.79668	0.5682	0.0729	0.5814	0.4186	25	18
0.24014	0.16463	0.27726	7.09088	0.5455	0.0769	0.5581	0.4419	24	19
0.23724	0.15218	0.27678	6.45566	0.5227	0.0810	0.5349	0.4651	23	20
0.23424	0.14804	0.27524	5.88093	0.5000	0.0850	0.5116	0.4884	22	21
0.23080	0.12702	0.27468	5.35846	0.4773	0.0891	0.4884	0.5116	21	22
0.22841	0.12602	0.27468	5.12548	0.4773	0.0931	0.4773	0.5227	21	23
0.22384	0.12422	0.27415	4.44412	0.4318	0.0972	0.4419	0.5581	19	24
0.22031	0.12255	0.27300	4.44412	0.4318	0.0972	0.4419	0.5581	19	24
0.21673	0.11870	0.27235	4.44412	0.4318	0.0972	0.4419	0.5581	19	24
0.21314	0.11814	0.27081	4.04181	0.4091	0.1012	0.4186	0.5814	18	25
0.20955	0.11668	0.27004	3.67045	0.3864	0.1053	0.3953	0.6047	17	26
0.20586	0.11104	0.26954	3.67045	0.3864	0.1053	0.3953	0.6047	17	26
0.20202	0.10438	0.26941	3.67045	0.3864	0.1053	0.3953	0.6047	17	26
0.19812	0.10171	0.26881	3.32659	0.3636	0.1093	0.3721	0.6279	16	27
0.19404	0.09336	0.26853	3.00730	0.3409	0.1134	0.3488	0.6512	15	28
0.18986	0.08894	0.26679	3.00730	0.3409	0.1134	0.3488	0.6512	15	28
0.18570	0.08805	0.26544	3.00730	0.3409	0.1134	0.3488	0.6512	15	28
0.17307	0.07883	0.26193	2.89736	0.3636	0.1255	0.3404	0.6596	16	31
0.16079	0.07840	0.24954	2.43257	0.2955	0.1215	0.3023	0.6977	13	30
0.15675	0.07559	0.24410	2.17302	0.2727	0.1255	0.2791	0.7209	12	31
0.15279	0.07375	0.24198	2.17302	0.2727	0.1255	0.2791	0.7209	12	31
0.14882	0.07156	0.23585	1.92969	0.2500	0.1296	0.2558	0.7442	11	32
0.14697	0.06743	0.23585	1.87121	0.2500	0.1336	0.2500	0.7500	11	33
0.14093	0.06485	0.23386	1.70110	0.2273	0.1336	0.2326	0.7674	10	33
0.13535	0.06467	0.23353	1.44351	0.2045	0.1417	0.2045	0.7955	9	35
0.13307	0.06467	0.23232	1.28312	0.1818	0.1417	0.1860	0.8140	8	35
0.12024	0.05420	0.23098	1.26307	0.2045	0.1619	0.1837	0.8163	9	40
0.07869	0.02616	0.18787	0.76117	0.1818	0.2389	0.1194	0.8806	8	59
0.04180	0.01732	0.08091	0.56136	0.1136	0.2024	0.0909	0.9091	5	50
0.03408	0.01692	0.06022	0.40097	0.0682	0.1700	0.0667	0.9333	3	42
0.03200	0.01682	0.05680	0.27384	0.0455	0.1660	0.0465	0.9535	2	41
0.03105	0.01595	0.05488	0.27384	0.0455	0.1660	0.0465	0.9535	2	41
0.02371	0.00616	0.05420	0.27163	0.0682	0.2510	0.0462	0.9538	3	62
0.01128	0.00334	0.02742	0.25909	0.0682	0.2632	0.0441	0.9559	3	65
0.00396	0.00074	0.01419	0.18922	0.0682	0.3603	0.0326	0.9674	3	89
0.00108	0.00015	0.00284	0.14212	0.0455	0.3198	0.0247	0.9753	2	79
0.00044	0.00004	0.00111	0.08255	0.0227	0.2753	0.0145	0.9855	1	68
0.00033	0.00000	0.00090	0.07586	0.0227	0.2996	0.0133	0.9867	1	74
