Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.05439	0.03641	0.07717	2.60571	0.8571	0.3289	0.1935	0.8065	6	25
0.05381	0.03563	0.07717	2.50549	0.8571	0.3421	0.1875	0.8125	6	26
0.05170	0.03528	0.07682	2.08791	0.7143	0.3421	0.1613	0.8387	5	26
0.05035	0.03497	0.07211	1.60846	0.5714	0.3553	0.1290	0.8710	4	27
0.04913	0.03435	0.06917	1.60846	0.5714	0.3553	0.1290	0.8710	4	27
0.04703	0.03107	0.06734	1.49754	0.5714	0.3816	0.1212	0.8788	4	29
0.04459	0.03055	0.06548	1.16327	0.4286	0.3684	0.0968	0.9032	3	28
0.04345	0.03011	0.06316	1.16327	0.4286	0.3684	0.0968	0.9032	3	28
0.04301	0.02934	0.06316	1.12315	0.4286	0.3816	0.0938	0.9062	3	29
0.03779	0.02003	0.06316	1.05923	0.5714	0.5395	0.0889	0.9111	4	41
0.03028	0.01987	0.03890	0.74877	0.2857	0.3816	0.0645	0.9355	2	29
0.02903	0.01926	0.03870	0.70046	0.2857	0.4079	0.0606	0.9394	2	31
0.02665	0.01723	0.03768	0.65801	0.2857	0.4342	0.0571	0.9429	2	33
0.02473	0.01611	0.03497	0.36191	0.1429	0.3947	0.0323	0.9677	1	30
0.02411	0.01573	0.03435	0.36191	0.1429	0.3947	0.0323	0.9677	1	30
0.02350	0.01551	0.03344	0.36191	0.1429	0.3947	0.0323	0.9677	1	30
0.02012	0.01022	0.03344	0.24127	0.1429	0.5921	0.0217	0.9783	1	45
0.01569	0.00989	0.02171	0.00000	0.0000	0.4079	0.0000	1.0000	0	31
0.01531	0.00978	0.02153	0.00000	0.0000	0.4079	0.0000	1.0000	0	31
