Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49190	0.46486	0.56475	12.788	0.673	0.053	0.673	0.327	35	17
0.49125	0.45731	0.56475	12.078	0.673	0.056	0.660	0.340	35	18
0.48384	0.44311	0.56475	8.512	0.712	0.084	0.578	0.422	37	27
0.47000	0.43679	0.49483	7.702	0.596	0.077	0.554	0.446	31	25
0.46860	0.43679	0.49052	6.957	0.538	0.077	0.528	0.472	28	25
0.46800	0.43627	0.49052	6.689	0.538	0.080	0.519	0.481	28	26
0.46683	0.43533	0.49052	6.212	0.538	0.087	0.500	0.500	28	28
0.46683	0.43533	0.49052	6.212	0.538	0.087	0.500	0.500	28	28
0.46622	0.43194	0.49052	5.997	0.538	0.090	0.491	0.509	28	29
0.46397	0.43181	0.49052	5.270	0.538	0.102	0.459	0.541	28	33
0.46397	0.43181	0.49052	5.270	0.538	0.102	0.459	0.541	28	33
0.45996	0.43181	0.48976	4.408	0.423	0.096	0.415	0.585	22	31
0.45996	0.43181	0.48976	4.408	0.423	0.096	0.415	0.585	22	31
0.45674	0.43063	0.48266	4.141	0.423	0.102	0.400	0.600	22	33
0.45674	0.43063	0.48266	4.141	0.423	0.102	0.400	0.600	22	33
0.45576	0.43063	0.48111	4.076	0.404	0.099	0.396	0.604	21	32
0.45576	0.43063	0.48111	4.076	0.404	0.099	0.396	0.604	21	32
0.45529	0.43010	0.48111	3.953	0.404	0.102	0.389	0.611	21	33
0.45243	0.42966	0.47586	3.654	0.385	0.105	0.370	0.630	20	34
0.45243	0.42966	0.47586	3.654	0.385	0.105	0.370	0.630	20	34
0.45243	0.42966	0.47586	3.654	0.385	0.105	0.370	0.630	20	34
0.45084	0.42934	0.47586	3.525	0.404	0.115	0.362	0.638	21	37
0.45084	0.42934	0.47586	3.525	0.404	0.115	0.362	0.638	21	37
0.45084	0.42934	0.47586	3.525	0.404	0.115	0.362	0.638	21	37
0.44795	0.42934	0.47498	2.761	0.308	0.111	0.308	0.692	16	36
0.44758	0.42804	0.47498	2.686	0.308	0.115	0.302	0.698	16	37
0.44718	0.42624	0.47498	2.615	0.308	0.118	0.296	0.704	16	38
0.44640	0.42517	0.47498	2.485	0.308	0.124	0.286	0.714	16	40
0.44420	0.42517	0.47325	2.288	0.269	0.118	0.269	0.731	14	38
0.44378	0.42207	0.47325	2.230	0.269	0.121	0.264	0.736	14	39
0.44333	0.41952	0.47325	2.174	0.269	0.124	0.259	0.741	14	40
0.44032	0.41903	0.47262	1.970	0.250	0.127	0.241	0.759	13	41
0.43971	0.41903	0.46805	1.818	0.231	0.127	0.226	0.774	12	41
0.43971	0.41903	0.46805	1.818	0.231	0.127	0.226	0.774	12	41
0.43931	0.41807	0.46805	1.775	0.231	0.130	0.222	0.778	12	42
0.43889	0.41604	0.46805	1.733	0.231	0.133	0.218	0.782	12	43
0.43461	0.41430	0.46638	1.035	0.154	0.149	0.143	0.857	8	48
0.43461	0.41430	0.46638	1.035	0.154	0.149	0.143	0.857	8	48
0.40652	0.35253	0.46486	0.755	0.250	0.331	0.108	0.892	13	107
0.36672	0.33083	0.40770	0.604	0.135	0.223	0.089	0.911	7	72
0.35112	0.32519	0.37731	0.478	0.077	0.161	0.071	0.929	4	52
0.34175	0.30911	0.37545	0.382	0.077	0.201	0.058	0.942	4	65
0.29641	0.22837	0.35798	0.345	0.115	0.334	0.053	0.947	6	108
0.25423	0.21778	0.28784	0.327	0.058	0.176	0.050	0.950	3	57
0.24342	0.21120	0.28146	0.327	0.058	0.176	0.050	0.950	3	57
0.23253	0.20323	0.27111	0.327	0.058	0.176	0.050	0.950	3	57
0.22645	0.20226	0.25690	0.000	0.000	0.161	0.000	1.000	0	52
0.22539	0.20169	0.25489	0.000	0.000	0.161	0.000	1.000	0	52
0.22436	0.20123	0.24994	0.000	0.000	0.161	0.000	1.000	0	52
0.22337	0.19862	0.24969	0.000	0.000	0.161	0.000	1.000	0	52
