Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.43762	0.41125	0.65343	1.523	0.185	0.121	0.073	0.927	12	152
0.43762	0.41125	0.65343	1.523	0.185	0.121	0.073	0.927	12	152
0.43424	0.41079	0.52039	1.494	0.185	0.124	0.072	0.928	12	155
0.43424	0.41079	0.52039	1.494	0.185	0.124	0.072	0.928	12	155
0.39911	0.36534	0.48361	1.319	0.538	0.408	0.064	0.936	35	512
0.37252	0.36517	0.38100	1.245	0.154	0.124	0.061	0.939	10	155
0.36627	0.34717	0.38090	1.192	0.246	0.207	0.058	0.942	16	259
0.36065	0.34717	0.36853	0.844	0.108	0.128	0.042	0.958	7	160
0.32505	0.26707	0.36853	0.816	0.354	0.434	0.041	0.959	23	544
0.28599	0.26674	0.30519	0.578	0.077	0.133	0.029	0.971	5	167
0.28599	0.26674	0.30519	0.578	0.077	0.133	0.029	0.971	5	167
0.28599	0.26674	0.30519	0.578	0.077	0.133	0.029	0.971	5	167
0.28599	0.26674	0.30519	0.578	0.077	0.133	0.029	0.971	5	167
0.27771	0.24991	0.30519	0.484	0.092	0.191	0.024	0.976	6	239
0.24846	0.18593	0.28630	0.456	0.092	0.203	0.023	0.977	6	254
0.20483	0.00000	0.26351	0.405	0.077	0.190	0.021	0.979	5	238
