Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49654	0.47876	0.55870	1.549	0.238	0.154	0.118	0.882	10	75
0.49654	0.47876	0.55870	1.549	0.238	0.154	0.118	0.882	10	75
0.49654	0.47876	0.55870	1.549	0.238	0.154	0.118	0.882	10	75
0.46155	0.42841	0.55040	1.295	0.881	0.680	0.100	0.900	37	332
0.43423	0.42627	0.44004	1.207	0.190	0.158	0.094	0.906	8	77
0.43414	0.42611	0.44004	1.192	0.190	0.160	0.093	0.907	8	78
0.43393	0.42497	0.44004	1.162	0.190	0.164	0.091	0.909	8	80
0.43349	0.42363	0.44004	1.107	0.190	0.172	0.087	0.913	8	84
0.43271	0.42363	0.43885	1.084	0.167	0.154	0.085	0.915	7	75
0.43271	0.42363	0.43885	1.084	0.167	0.154	0.085	0.915	7	75
0.43258	0.42195	0.43885	1.070	0.167	0.156	0.084	0.916	7	76
0.43229	0.42041	0.43885	1.043	0.167	0.160	0.082	0.918	7	78
0.43134	0.41856	0.43874	0.425	0.071	0.168	0.035	0.965	3	82
0.43040	0.41764	0.43780	0.410	0.071	0.174	0.034	0.966	3	85
0.43040	0.41764	0.43780	0.410	0.071	0.174	0.034	0.966	3	85
0.43040	0.41764	0.43780	0.410	0.071	0.174	0.034	0.966	3	85
0.43040	0.41764	0.43780	0.410	0.071	0.174	0.034	0.966	3	85
0.43040	0.41764	0.43780	0.410	0.071	0.174	0.034	0.966	3	85
0.42286	0.40426	0.43678	0.295	0.071	0.242	0.025	0.975	3	118
0.38319	0.23228	0.43027	0.138	0.048	0.346	0.012	0.988	2	169
0.34471	0.23114	0.39679	0.000	0.000	0.166	0.000	1.000	0	81
0.34061	0.20264	0.39550	0.000	0.000	0.168	0.000	1.000	0	82
0.33993	0.20264	0.39466	0.000	0.000	0.166	0.000	1.000	0	81
0.33715	0.16967	0.39332	0.000	0.000	0.166	0.000	1.000	0	81
0.33163	0.13883	0.39115	0.000	0.000	0.168	0.000	1.000	0	82
0.33089	0.13883	0.39074	0.000	0.000	0.166	0.000	1.000	0	81
0.32292	0.00000	0.39074	0.000	0.000	0.170	0.000	1.000	0	83
0.32125	0.00000	0.39046	0.000	0.000	0.166	0.000	1.000	0	81
