Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.48864	0.45331	0.54639	2.630	0.636	0.242	0.318	0.682	7	15
0.48417	0.44811	0.53099	2.630	0.636	0.242	0.318	0.682	7	15
0.48029	0.44544	0.52769	2.630	0.636	0.242	0.318	0.682	7	15
0.47870	0.44388	0.52769	2.466	0.636	0.258	0.304	0.696	7	16
0.47311	0.44010	0.52769	1.973	0.636	0.323	0.259	0.741	7	20
0.46215	0.44010	0.50040	1.658	0.455	0.274	0.227	0.773	5	17
0.45933	0.43853	0.49303	1.253	0.364	0.290	0.182	0.818	4	18
0.45826	0.43455	0.49303	1.187	0.364	0.306	0.174	0.826	4	19
0.45230	0.43324	0.48323	1.127	0.364	0.323	0.167	0.833	4	20
0.44852	0.43280	0.46588	0.890	0.273	0.306	0.136	0.864	3	19
0.44030	0.42188	0.46573	0.583	0.273	0.468	0.094	0.906	3	29
0.38947	0.00000	0.44544	0.490	0.364	0.742	0.080	0.920	4	46
