Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.49398	0.46894	0.56422	1.423	0.235	0.165	0.089	0.911	8	82
0.49238	0.46828	0.56422	1.326	0.235	0.177	0.083	0.917	8	88
0.49003	0.46828	0.52357	1.201	0.206	0.171	0.076	0.924	7	85
0.48813	0.46539	0.52310	1.201	0.206	0.171	0.076	0.924	7	85
0.48813	0.46539	0.52310	1.201	0.206	0.171	0.076	0.924	7	85
0.48813	0.46539	0.52310	1.201	0.206	0.171	0.076	0.924	7	85
0.48788	0.46449	0.52310	1.187	0.206	0.173	0.075	0.925	7	86
0.48763	0.46436	0.52310	1.174	0.206	0.175	0.074	0.926	7	87
0.48558	0.46410	0.52310	1.064	0.206	0.194	0.068	0.932	7	96
0.41665	0.00000	0.51096	0.870	0.853	0.980	0.056	0.944	29	486
