Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.47595	0.44504	0.53017	2.702	0.462	0.171	0.200	0.800	12	48
0.47452	0.44446	0.52947	2.702	0.462	0.171	0.200	0.800	12	48
0.47309	0.44376	0.52514	2.702	0.462	0.171	0.200	0.800	12	48
0.47173	0.44329	0.50854	2.426	0.423	0.174	0.183	0.817	11	49
0.47064	0.44304	0.50637	2.426	0.423	0.174	0.183	0.817	11	49
0.46958	0.44267	0.50301	2.426	0.423	0.174	0.183	0.817	11	49
0.46827	0.44222	0.50301	2.286	0.423	0.185	0.175	0.825	11	52
0.46827	0.44222	0.50301	2.286	0.423	0.185	0.175	0.825	11	52
0.46827	0.44222	0.50301	2.286	0.423	0.185	0.175	0.825	11	52
0.46783	0.43991	0.50301	2.243	0.423	0.189	0.172	0.828	11	53
0.45080	0.41147	0.50301	1.801	0.577	0.320	0.143	0.857	15	90
0.43058	0.41120	0.45472	1.663	0.308	0.185	0.133	0.867	8	52
0.42984	0.41069	0.45280	1.663	0.308	0.185	0.133	0.867	8	52
0.42952	0.40980	0.45280	1.631	0.308	0.189	0.131	0.869	8	53
0.42919	0.40920	0.45280	1.601	0.308	0.192	0.129	0.871	8	54
0.42582	0.40652	0.44942	1.282	0.269	0.210	0.106	0.894	7	59
0.42314	0.40627	0.44329	1.201	0.231	0.192	0.100	0.900	6	54
0.41330	0.39182	0.44304	1.118	0.346	0.310	0.094	0.906	9	87
0.40332	0.39143	0.41626	0.932	0.192	0.206	0.079	0.921	5	58
0.39925	0.38731	0.41583	0.740	0.192	0.260	0.064	0.936	5	73
0.39533	0.38661	0.40652	0.569	0.115	0.203	0.050	0.950	3	57
0.39499	0.38631	0.40627	0.569	0.115	0.203	0.050	0.950	3	57
0.39465	0.38585	0.40471	0.569	0.115	0.203	0.050	0.950	3	57
0.33790	0.00000	0.40471	0.488	0.308	0.630	0.043	0.957	8	177
