Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.43564	0.40474	0.49166	4.207	0.552	0.131	0.400	0.600	16	24
0.43564	0.40474	0.49166	4.207	0.552	0.131	0.400	0.600	16	24
0.43009	0.39617	0.46295	3.641	0.517	0.142	0.366	0.634	15	26
0.42835	0.39126	0.46275	3.641	0.517	0.142	0.366	0.634	15	26
0.42743	0.39011	0.46275	3.506	0.517	0.148	0.357	0.643	15	27
0.42656	0.38981	0.46275	3.381	0.517	0.153	0.349	0.651	15	28
0.42570	0.38889	0.46275	3.264	0.517	0.158	0.341	0.659	15	29
0.40501	0.37195	0.46248	1.963	0.483	0.246	0.237	0.763	14	45
0.38665	0.36326	0.41537	1.578	0.310	0.197	0.200	0.800	9	36
0.38263	0.36326	0.40758	1.380	0.241	0.175	0.179	0.821	7	32
0.38145	0.36148	0.40718	1.380	0.241	0.175	0.179	0.821	7	32
0.38017	0.35721	0.40636	1.380	0.241	0.175	0.179	0.821	7	32
0.37663	0.35300	0.40474	1.227	0.241	0.197	0.163	0.837	7	36
0.36242	0.32806	0.39126	1.030	0.276	0.268	0.140	0.860	8	49
0.35182	0.32638	0.37373	0.928	0.172	0.186	0.128	0.872	5	34
0.35059	0.32569	0.37361	0.928	0.172	0.186	0.128	0.872	5	34
0.34933	0.32454	0.37322	0.928	0.172	0.186	0.128	0.872	5	34
0.34638	0.32430	0.37271	0.853	0.172	0.202	0.119	0.881	5	37
0.33738	0.29823	0.37271	0.757	0.207	0.273	0.107	0.893	6	50
0.31976	0.28173	0.35045	0.717	0.172	0.240	0.102	0.898	5	44
0.30935	0.26992	0.33707	0.498	0.103	0.208	0.073	0.927	3	38
0.27884	0.22267	0.33287	0.291	0.103	0.355	0.044	0.956	3	65
0.25121	0.22127	0.29178	0.154	0.034	0.224	0.024	0.976	1	41
0.19911	0.00000	0.28246	0.075	0.034	0.459	0.012	0.988	1	84
