Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.45068	0.43678	0.47703	3.000	1.000	0.333	0.333	0.667	6	12
0.45068	0.43678	0.47703	3.000	1.000	0.333	0.333	0.667	6	12
0.44618	0.42682	0.46499	1.846	0.667	0.361	0.235	0.765	4	13
0.44104	0.41495	0.45793	1.125	0.500	0.444	0.158	0.842	3	16
0.42947	0.40124	0.45261	0.900	0.500	0.556	0.130	0.870	3	20
0.41842	0.39948	0.44082	0.333	0.167	0.500	0.053	0.947	1	18
0.41183	0.36962	0.43680	0.000	0.000	0.472	0.000	1.000	0	17
0.40946	0.36921	0.43680	0.000	0.000	0.500	0.000	1.000	0	18
0.40322	0.35805	0.42682	0.000	0.000	0.472	0.000	1.000	0	17
0.39903	0.35563	0.42326	0.000	0.000	0.472	0.000	1.000	0	17
0.39469	0.34937	0.42147	0.000	0.000	0.472	0.000	1.000	0	17
0.38945	0.33246	0.41495	0.000	0.000	0.472	0.000	1.000	0	17
0.38450	0.33078	0.41463	0.000	0.000	0.472	0.000	1.000	0	17
0.38041	0.31091	0.41463	0.000	0.000	0.500	0.000	1.000	0	18
0.36884	0.25201	0.41262	0.000	0.000	0.472	0.000	1.000	0	17
0.35988	0.20764	0.41262	0.000	0.000	0.500	0.000	1.000	0	18
