Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.44372	0.42277	0.50504	2.074	0.833	0.402	0.027	0.973	5	182
0.44360	0.42207	0.50504	2.063	0.833	0.404	0.027	0.973	5	183
0.43753	0.41455	0.47454	1.961	1.000	0.510	0.025	0.975	6	231
0.43063	0.41380	0.44526	1.205	0.500	0.415	0.016	0.984	3	188
0.42854	0.40860	0.44526	1.073	0.500	0.466	0.014	0.986	3	211
0.42291	0.39574	0.44232	0.689	0.333	0.483	0.009	0.991	2	219
0.41942	0.39479	0.43867	0.404	0.167	0.413	0.005	0.995	1	187
0.41942	0.39479	0.43867	0.404	0.167	0.413	0.005	0.995	1	187
0.41875	0.39319	0.43867	0.393	0.167	0.424	0.005	0.995	1	192
0.41742	0.39279	0.43811	0.387	0.167	0.430	0.005	0.995	1	195
0.41619	0.38844	0.43811	0.370	0.167	0.450	0.005	0.995	1	204
0.41359	0.38603	0.43734	0.368	0.167	0.453	0.005	0.995	1	205
0.40065	0.33312	0.43566	0.289	0.167	0.576	0.004	0.996	1	261
0.39069	0.33238	0.41777	0.000	0.000	0.415	0.000	1.000	0	188
0.39006	0.33075	0.41777	0.000	0.000	0.419	0.000	1.000	0	190
0.39006	0.33075	0.41777	0.000	0.000	0.419	0.000	1.000	0	190
0.38913	0.32842	0.41672	0.000	0.000	0.413	0.000	1.000	0	187
0.38815	0.32692	0.41672	0.000	0.000	0.419	0.000	1.000	0	190
0.38815	0.32692	0.41672	0.000	0.000	0.419	0.000	1.000	0	190
0.38815	0.32692	0.41672	0.000	0.000	0.419	0.000	1.000	0	190
0.38779	0.31978	0.41672	0.000	0.000	0.422	0.000	1.000	0	191
0.38744	0.31934	0.41672	0.000	0.000	0.424	0.000	1.000	0	192
0.38708	0.31899	0.41672	0.000	0.000	0.426	0.000	1.000	0	193
0.38672	0.31645	0.41672	0.000	0.000	0.428	0.000	1.000	0	194
0.38597	0.31351	0.41672	0.000	0.000	0.433	0.000	1.000	0	196
0.38449	0.31351	0.41652	0.000	0.000	0.413	0.000	1.000	0	187
0.38370	0.30908	0.41652	0.000	0.000	0.417	0.000	1.000	0	189
0.38334	0.30908	0.41619	0.000	0.000	0.413	0.000	1.000	0	187
0.38268	0.29178	0.41605	0.000	0.000	0.413	0.000	1.000	0	187
0.38200	0.28900	0.41568	0.000	0.000	0.413	0.000	1.000	0	187
0.38150	0.28828	0.41568	0.000	0.000	0.415	0.000	1.000	0	188
0.37994	0.28199	0.41568	0.000	0.000	0.422	0.000	1.000	0	191
0.37937	0.28199	0.41526	0.000	0.000	0.415	0.000	1.000	0	188
0.37937	0.28199	0.41526	0.000	0.000	0.415	0.000	1.000	0	188
0.37790	0.27755	0.41455	0.000	0.000	0.415	0.000	1.000	0	188
0.37771	0.27755	0.41384	0.000	0.000	0.413	0.000	1.000	0	187
0.37716	0.27512	0.41384	0.000	0.000	0.415	0.000	1.000	0	188
0.37661	0.27245	0.41384	0.000	0.000	0.417	0.000	1.000	0	189
0.37606	0.27209	0.41384	0.000	0.000	0.419	0.000	1.000	0	190
0.37496	0.27034	0.41384	0.000	0.000	0.424	0.000	1.000	0	192
0.37392	0.27034	0.41317	0.000	0.000	0.413	0.000	1.000	0	187
0.37274	0.26269	0.41317	0.000	0.000	0.417	0.000	1.000	0	189
0.37231	0.26269	0.41281	0.000	0.000	0.413	0.000	1.000	0	187
0.37171	0.26074	0.41281	0.000	0.000	0.415	0.000	1.000	0	188
0.37110	0.25523	0.41281	0.000	0.000	0.417	0.000	1.000	0	189
0.37047	0.25126	0.41281	0.000	0.000	0.419	0.000	1.000	0	190
0.36915	0.24429	0.41281	0.000	0.000	0.424	0.000	1.000	0	192
0.36915	0.24429	0.41281	0.000	0.000	0.424	0.000	1.000	0	192
0.36848	0.24006	0.41281	0.000	0.000	0.426	0.000	1.000	0	193
0.36770	0.21595	0.41281	0.000	0.000	0.428	0.000	1.000	0	194
0.36686	0.20403	0.41281	0.000	0.000	0.430	0.000	1.000	0	195
0.36598	0.19437	0.41281	0.000	0.000	0.433	0.000	1.000	0	196
0.36422	0.19190	0.41281	0.000	0.000	0.437	0.000	1.000	0	198
0.36137	0.19190	0.41025	0.000	0.000	0.413	0.000	1.000	0	187
0.35948	0.18271	0.41025	0.000	0.000	0.417	0.000	1.000	0	189
0.35893	0.18271	0.40960	0.000	0.000	0.413	0.000	1.000	0	187
0.35799	0.18163	0.40960	0.000	0.000	0.415	0.000	1.000	0	188
0.35551	0.17633	0.40870	0.000	0.000	0.415	0.000	1.000	0	188
0.35551	0.17633	0.40870	0.000	0.000	0.415	0.000	1.000	0	188
0.35456	0.17606	0.40870	0.000	0.000	0.417	0.000	1.000	0	189
0.35362	0.17578	0.40870	0.000	0.000	0.419	0.000	1.000	0	190
0.35265	0.16890	0.40870	0.000	0.000	0.422	0.000	1.000	0	191
0.35059	0.15382	0.40870	0.000	0.000	0.426	0.000	1.000	0	193
0.34873	0.15382	0.40814	0.000	0.000	0.413	0.000	1.000	0	187
0.34659	0.14681	0.40814	0.000	0.000	0.417	0.000	1.000	0	189
0.34659	0.14681	0.40814	0.000	0.000	0.417	0.000	1.000	0	189
0.34420	0.08429	0.40389	0.000	0.000	0.413	0.000	1.000	0	187
0.34056	0.00000	0.40389	0.000	0.000	0.417	0.000	1.000	0	189
0.33988	0.00000	0.40314	0.000	0.000	0.413	0.000	1.000	0	187
