Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.43496	0.40594	0.46101	2.000	0.667	0.333	0.159	0.841	10	53
0.42240	0.40553	0.44958	1.178	0.333	0.283	0.100	0.900	5	45
0.37052	0.26116	0.44958	0.862	0.667	0.774	0.075	0.925	10	123
0.30681	0.24451	0.33844	0.000	0.000	0.277	0.000	1.000	0	44
0.30541	0.24396	0.33844	0.000	0.000	0.283	0.000	1.000	0	45
0.30243	0.24025	0.33521	0.000	0.000	0.277	0.000	1.000	0	44
0.29865	0.23379	0.33497	0.000	0.000	0.283	0.000	1.000	0	45
0.29783	0.23379	0.33439	0.000	0.000	0.277	0.000	1.000	0	44
0.29528	0.22231	0.33176	0.000	0.000	0.277	0.000	1.000	0	44
0.29345	0.21317	0.33176	0.000	0.000	0.283	0.000	1.000	0	45
0.28955	0.19837	0.33112	0.000	0.000	0.277	0.000	1.000	0	44
0.28652	0.19760	0.33035	0.000	0.000	0.277	0.000	1.000	0	44
0.28330	0.18891	0.32867	0.000	0.000	0.277	0.000	1.000	0	44
0.28010	0.18763	0.32580	0.000	0.000	0.277	0.000	1.000	0	44
0.27794	0.18294	0.32580	0.000	0.000	0.283	0.000	1.000	0	45
0.27355	0.18051	0.32169	0.000	0.000	0.277	0.000	1.000	0	44
0.27144	0.17854	0.32169	0.000	0.000	0.283	0.000	1.000	0	45
0.26687	0.17116	0.32155	0.000	0.000	0.277	0.000	1.000	0	44
0.26344	0.17034	0.32123	0.000	0.000	0.277	0.000	1.000	0	44
0.26116	0.16115	0.32123	0.000	0.000	0.283	0.000	1.000	0	45
0.25887	0.15573	0.32123	0.000	0.000	0.289	0.000	1.000	0	46
0.25186	0.13749	0.31885	0.000	0.000	0.277	0.000	1.000	0	44
0.24875	0.11191	0.31885	0.000	0.000	0.283	0.000	1.000	0	45
0.23991	0.00000	0.31339	0.000	0.000	0.277	0.000	1.000	0	44
