Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.21981	0.14686	0.46720	1.303	1.000	0.767	0.096	0.904	14	132
0.17382	0.14546	0.19303	0.801	0.214	0.267	0.061	0.939	3	46
0.17281	0.14333	0.19205	0.801	0.214	0.267	0.061	0.939	3	46
0.17217	0.14096	0.19205	0.784	0.214	0.273	0.060	0.940	3	47
0.17155	0.14031	0.19205	0.768	0.214	0.279	0.059	0.941	3	48
0.17035	0.13974	0.19205	0.737	0.214	0.291	0.057	0.943	3	50
0.17035	0.13974	0.19205	0.737	0.214	0.291	0.057	0.943	3	50
0.16859	0.13764	0.19205	0.695	0.214	0.308	0.054	0.946	3	53
0.16578	0.13764	0.19029	0.000	0.000	0.291	0.000	1.000	0	50
0.16528	0.13764	0.18931	0.000	0.000	0.285	0.000	1.000	0	49
0.16466	0.13436	0.18931	0.000	0.000	0.291	0.000	1.000	0	50
0.16302	0.13356	0.18815	0.000	0.000	0.285	0.000	1.000	0	49
0.16185	0.13102	0.18782	0.000	0.000	0.285	0.000	1.000	0	49
0.16123	0.13057	0.18782	0.000	0.000	0.291	0.000	1.000	0	50
0.15893	0.13031	0.18740	0.000	0.000	0.291	0.000	1.000	0	50
0.15835	0.13031	0.18515	0.000	0.000	0.285	0.000	1.000	0	49
0.15664	0.12905	0.18475	0.000	0.000	0.291	0.000	1.000	0	50
0.15606	0.12905	0.18444	0.000	0.000	0.285	0.000	1.000	0	49
0.15548	0.12712	0.18444	0.000	0.000	0.291	0.000	1.000	0	50
0.15290	0.11972	0.18248	0.000	0.000	0.291	0.000	1.000	0	50
0.15229	0.11972	0.18116	0.000	0.000	0.285	0.000	1.000	0	49
0.15101	0.11815	0.18091	0.000	0.000	0.285	0.000	1.000	0	49
0.15032	0.11642	0.18091	0.000	0.000	0.291	0.000	1.000	0	50
0.14955	0.11109	0.18091	0.000	0.000	0.297	0.000	1.000	0	51
0.14683	0.11064	0.18071	0.000	0.000	0.285	0.000	1.000	0	49
0.14530	0.10573	0.18002	0.000	0.000	0.285	0.000	1.000	0	49
0.14446	0.10321	0.18002	0.000	0.000	0.291	0.000	1.000	0	50
0.14214	0.10207	0.17738	0.000	0.000	0.285	0.000	1.000	0	49
0.14044	0.09379	0.17582	0.000	0.000	0.285	0.000	1.000	0	49
0.13869	0.09002	0.17543	0.000	0.000	0.285	0.000	1.000	0	49
0.13595	0.08867	0.17132	0.000	0.000	0.291	0.000	1.000	0	50
0.13523	0.08867	0.17112	0.000	0.000	0.285	0.000	1.000	0	49
0.13429	0.08815	0.17112	0.000	0.000	0.291	0.000	1.000	0	50
0.13171	0.08137	0.17094	0.000	0.000	0.285	0.000	1.000	0	49
0.12987	0.08082	0.16506	0.000	0.000	0.285	0.000	1.000	0	49
0.12877	0.07503	0.16506	0.000	0.000	0.291	0.000	1.000	0	50
0.12488	0.06780	0.16414	0.000	0.000	0.291	0.000	1.000	0	50
0.12408	0.06780	0.16091	0.000	0.000	0.285	0.000	1.000	0	49
0.12215	0.06649	0.15732	0.000	0.000	0.285	0.000	1.000	0	49
0.12014	0.05870	0.15601	0.000	0.000	0.285	0.000	1.000	0	49
0.11806	0.05417	0.15507	0.000	0.000	0.285	0.000	1.000	0	49
