Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.47411	0.43287	0.58095	4.36359	1.0000	0.2292	0.4211	0.5789	8	11
0.46446	0.43108	0.50465	3.99996	1.0000	0.2500	0.4000	0.6000	8	12
0.46235	0.43108	0.50019	3.49997	0.8750	0.2500	0.3684	0.6316	7	12
0.45854	0.42241	0.50019	2.99998	0.8750	0.2917	0.3333	0.6667	7	14
0.45854	0.42241	0.50019	2.99998	0.8750	0.2917	0.3333	0.6667	7	14
0.45672	0.41830	0.50019	2.79999	0.8750	0.3125	0.3182	0.6818	7	15
0.44547	0.41699	0.48215	1.12500	0.3750	0.3333	0.1579	0.8421	3	16
0.44045	0.40627	0.48215	0.94737	0.3750	0.3958	0.1364	0.8636	3	19
0.42671	0.39718	0.45375	0.63158	0.2500	0.3958	0.0952	0.9048	2	19
0.42119	0.39173	0.44943	0.57143	0.2500	0.4375	0.0870	0.9130	2	21
0.41216	0.38415	0.43857	0.33333	0.1250	0.3750	0.0526	0.9474	1	18
0.40927	0.38375	0.43443	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.40651	0.38195	0.43287	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.40236	0.37823	0.43108	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.40236	0.37823	0.43108	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.39801	0.37707	0.42241	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.39396	0.35546	0.42241	0.00000	0.0000	0.4375	0.0000	1.0000	0	21
0.39096	0.35546	0.41830	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.38751	0.35267	0.41699	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.38396	0.34965	0.41306	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.38049	0.34714	0.40655	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.37673	0.33506	0.40627	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.37269	0.32945	0.39781	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.36961	0.31119	0.39781	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.36333	0.30662	0.39718	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.35742	0.28478	0.39662	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.35113	0.27709	0.39173	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.34702	0.26892	0.39173	0.00000	0.0000	0.4167	0.0000	1.0000	0	20
0.33568	0.22109	0.38415	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.32678	0.21499	0.38375	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.31694	0.19677	0.38195	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
0.30651	0.18386	0.37823	0.00000	0.0000	0.3958	0.0000	1.0000	0	19
