Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.50710	0.48722	0.57877	4.86440	1.0000	0.2056	0.4685	0.5315	52	59
0.49417	0.47569	0.49836	2.99615	0.3654	0.1220	0.3519	0.6481	19	35
0.49417	0.47569	0.49836	2.99615	0.3654	0.1220	0.3519	0.6481	19	35
0.49345	0.47396	0.49836	2.83420	0.3654	0.1289	0.3393	0.6607	19	37
0.49345	0.47396	0.49836	2.83420	0.3654	0.1289	0.3393	0.6607	19	37
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.49135	0.47178	0.49836	2.43873	0.3654	0.1498	0.3065	0.6935	19	43
0.48664	0.46420	0.49836	1.87260	0.3654	0.1951	0.2533	0.7467	19	56
0.48664	0.46420	0.49836	1.87260	0.3654	0.1951	0.2533	0.7467	19	56
0.48664	0.46420	0.49836	1.87260	0.3654	0.1951	0.2533	0.7467	19	56
0.48664	0.46420	0.49836	1.87260	0.3654	0.1951	0.2533	0.7467	19	56
0.48664	0.46420	0.49836	1.87260	0.3654	0.1951	0.2533	0.7467	19	56
0.48421	0.44970	0.49836	1.69138	0.3654	0.2160	0.2346	0.7654	19	62
0.47802	0.44970	0.49452	0.31241	0.0577	0.1847	0.0536	0.9464	3	53
0.47746	0.44606	0.49452	0.30662	0.0577	0.1882	0.0526	0.9474	3	54
0.47633	0.44418	0.49452	0.29567	0.0577	0.1951	0.0508	0.9492	3	56
0.47633	0.44418	0.49452	0.29567	0.0577	0.1951	0.0508	0.9492	3	56
0.47059	0.44259	0.49074	0.11998	0.0192	0.1603	0.0213	0.9787	1	46
0.46196	0.42462	0.49074	0.09355	0.0192	0.2056	0.0167	0.9833	1	59
0.45069	0.42404	0.47569	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.45069	0.42404	0.47569	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.44967	0.42404	0.47396	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44967	0.42404	0.47396	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44763	0.42399	0.47178	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44763	0.42399	0.47178	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44763	0.42399	0.47178	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44710	0.42107	0.47178	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.44507	0.41978	0.47178	0.00000	0.0000	0.1882	0.0000	1.0000	0	54
0.44507	0.41978	0.47178	0.00000	0.0000	0.1882	0.0000	1.0000	0	54
0.44173	0.41978	0.46420	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.44173	0.41978	0.46420	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.44128	0.41931	0.46420	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.44082	0.41836	0.46420	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.43937	0.41518	0.46420	0.00000	0.0000	0.1847	0.0000	1.0000	0	53
0.43937	0.41518	0.46420	0.00000	0.0000	0.1847	0.0000	1.0000	0	53
0.43937	0.41518	0.46420	0.00000	0.0000	0.1847	0.0000	1.0000	0	53
0.43877	0.40705	0.46420	0.00000	0.0000	0.1882	0.0000	1.0000	0	54
0.43817	0.40594	0.46420	0.00000	0.0000	0.1916	0.0000	1.0000	0	55
0.43755	0.40329	0.46420	0.00000	0.0000	0.1951	0.0000	1.0000	0	56
0.43629	0.40116	0.46420	0.00000	0.0000	0.2021	0.0000	1.0000	0	58
0.43629	0.40116	0.46420	0.00000	0.0000	0.2021	0.0000	1.0000	0	58
0.43508	0.39996	0.46420	0.00000	0.0000	0.2091	0.0000	1.0000	0	60
0.42703	0.39996	0.45737	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.42580	0.39980	0.45711	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.42466	0.39780	0.45711	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.42328	0.39780	0.45184	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.42210	0.39640	0.44970	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.42155	0.39566	0.44970	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.41977	0.39422	0.44606	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.41856	0.38915	0.44418	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.41792	0.38779	0.44418	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.41616	0.38763	0.44259	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.41386	0.38740	0.43734	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.41337	0.38740	0.43538	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.41337	0.38740	0.43538	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.41283	0.38720	0.43538	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.41227	0.38480	0.43538	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.40970	0.38362	0.43264	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.40912	0.38215	0.43264	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.40527	0.37924	0.42881	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.40527	0.37924	0.42881	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.40431	0.37924	0.42462	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.40431	0.37924	0.42462	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.40431	0.37924	0.42462	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.40327	0.37769	0.42462	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.40145	0.37769	0.42410	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.40092	0.37587	0.42410	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.40035	0.37331	0.42410	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.39977	0.37132	0.42410	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.39918	0.36962	0.42410	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.39532	0.36812	0.42404	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.39532	0.36812	0.42404	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.39349	0.36812	0.42107	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.39182	0.36717	0.41978	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.39182	0.36717	0.41978	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.39131	0.36680	0.41978	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.38986	0.36608	0.41978	0.00000	0.0000	0.1812	0.0000	1.0000	0	52
0.38736	0.36608	0.41931	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.38668	0.36608	0.41836	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.38551	0.36331	0.41518	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.38505	0.36315	0.41518	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.38207	0.36165	0.41518	0.00000	0.0000	0.1916	0.0000	1.0000	0	55
0.38016	0.36165	0.40705	0.00000	0.0000	0.1812	0.0000	1.0000	0	52
0.37963	0.36165	0.40594	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.37910	0.36165	0.40329	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.37861	0.36165	0.40116	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.37861	0.36165	0.40116	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.37765	0.36165	0.39996	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.37730	0.36065	0.39996	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.37594	0.35908	0.39980	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.37504	0.35741	0.39780	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.37397	0.35713	0.39780	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.37298	0.35713	0.39640	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.37248	0.35713	0.39566	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.37147	0.34856	0.39422	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.37045	0.34622	0.38915	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.36791	0.34329	0.38779	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.36750	0.34329	0.38763	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.36708	0.34329	0.38740	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.36708	0.34329	0.38740	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.36658	0.34252	0.38740	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.36468	0.33949	0.38720	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.36366	0.33918	0.38480	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.36258	0.33413	0.38362	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.36148	0.33217	0.38215	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.35923	0.33153	0.37924	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.35923	0.33153	0.37924	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.35923	0.33153	0.37924	0.00000	0.0000	0.1707	0.0000	1.0000	0	49
0.35865	0.33057	0.37924	0.00000	0.0000	0.1742	0.0000	1.0000	0	50
0.35810	0.33037	0.37924	0.00000	0.0000	0.1777	0.0000	1.0000	0	51
0.35450	0.32448	0.37770	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.35450	0.32448	0.37770	0.00000	0.0000	0.1672	0.0000	1.0000	0	48
0.35285	0.32343	0.37587	0.00000	0.0000	0.1638	0.0000	1.0000	0	47
0.34528	0.31817	0.37331	0.00000	0.0000	0.2021	0.0000	1.0000	0	58
0.34478	0.31817	0.37132	0.00000	0.0000	0.1986	0.0000	1.0000	0	57
0.34431	0.31817	0.36962	0.00000	0.0000	0.1951	0.0000	1.0000	0	56
0.34385	0.31817	0.36812	0.00000	0.0000	0.1916	0.0000	1.0000	0	55
0.34385	0.31817	0.36812	0.00000	0.0000	0.1916	0.0000	1.0000	0	55
