Score	Lower bound	Upper bound	Likelihood	TPR	FPR	PPV	FDR	No. positives	No. negatives
0.54016	0.49993	0.81829	10.32034	0.3069	0.0297	0.6298	0.3702	182	107
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51964	0.49993	0.55039	9.89078	0.2007	0.0203	0.6198	0.3802	119	73
0.51667	0.49934	0.55039	8.93449	0.2260	0.0253	0.5956	0.4044	134	91
0.51301	0.49934	0.54983	8.77222	0.2024	0.0231	0.5911	0.4089	120	83
0.51301	0.49934	0.54983	8.77222	0.2024	0.0231	0.5911	0.4089	120	83
0.51301	0.49934	0.54983	8.77222	0.2024	0.0231	0.5911	0.4089	120	83
0.51213	0.49934	0.54319	8.76410	0.1973	0.0225	0.5909	0.4091	117	81
0.50891	0.49452	0.54319	8.16554	0.2428	0.0297	0.5737	0.4263	144	107
0.50124	0.49452	0.51148	8.11522	0.1804	0.0222	0.5722	0.4278	107	80
0.50124	0.49452	0.51148	8.11522	0.1804	0.0222	0.5722	0.4278	107	80
0.50124	0.49452	0.51148	8.11522	0.1804	0.0222	0.5722	0.4278	107	80
0.50124	0.49452	0.51148	8.11522	0.1804	0.0222	0.5722	0.4278	107	80
0.50078	0.49452	0.51127	7.50847	0.1669	0.0222	0.5531	0.4469	99	80
0.50078	0.49452	0.51127	7.50847	0.1669	0.0222	0.5531	0.4469	99	80
0.50078	0.49452	0.51127	7.50847	0.1669	0.0222	0.5531	0.4469	99	80
0.50078	0.49452	0.51127	7.50847	0.1669	0.0222	0.5531	0.4469	99	80
0.50078	0.49452	0.51127	7.50847	0.1669	0.0222	0.5531	0.4469	99	80
0.50017	0.49201	0.51127	6.39019	0.1669	0.0261	0.5130	0.4870	99	94
0.49951	0.49170	0.50768	6.26970	0.1568	0.0250	0.5082	0.4918	93	90
0.49841	0.49151	0.50635	6.20080	0.1568	0.0253	0.5054	0.4946	93	91
0.49841	0.49151	0.50635	6.20080	0.1568	0.0253	0.5054	0.4946	93	91
0.49841	0.49151	0.50635	6.20080	0.1568	0.0253	0.5054	0.4946	93	91
0.49799	0.49074	0.50635	5.64694	0.1585	0.0281	0.4821	0.5179	94	101
0.49701	0.48998	0.50228	5.32450	0.1450	0.0272	0.4674	0.5326	86	98
0.49672	0.48975	0.50094	5.26259	0.1433	0.0272	0.4645	0.5355	85	98
0.49672	0.48975	0.50094	5.26259	0.1433	0.0272	0.4645	0.5355	85	98
0.49672	0.48975	0.50094	5.26259	0.1433	0.0272	0.4645	0.5355	85	98
0.49672	0.48975	0.50094	5.26259	0.1433	0.0272	0.4645	0.5355	85	98
0.49657	0.48963	0.50094	5.05621	0.1433	0.0283	0.4545	0.5455	85	102
0.49636	0.48828	0.50094	5.02732	0.1467	0.0292	0.4531	0.5469	87	105
0.49538	0.48671	0.50055	4.71258	0.1349	0.0286	0.4372	0.5628	80	103
0.49518	0.48671	0.49993	4.40188	0.1248	0.0283	0.4205	0.5795	74	102
0.49518	0.48671	0.49993	4.40188	0.1248	0.0283	0.4205	0.5795	74	102
0.49518	0.48671	0.49993	4.40188	0.1248	0.0283	0.4205	0.5795	74	102
0.49518	0.48671	0.49993	4.40188	0.1248	0.0283	0.4205	0.5795	74	102
0.49503	0.48568	0.49993	4.37557	0.1265	0.0289	0.4190	0.5810	75	104
0.49481	0.48490	0.49993	4.21351	0.1265	0.0300	0.4098	0.5902	75	108
0.49481	0.48490	0.49993	4.21351	0.1265	0.0300	0.4098	0.5902	75	108
0.49481	0.48490	0.49993	4.21351	0.1265	0.0300	0.4098	0.5902	75	108
0.49481	0.48490	0.49993	4.21351	0.1265	0.0300	0.4098	0.5902	75	108
0.49475	0.48478	0.49993	4.17485	0.1265	0.0303	0.4076	0.5924	75	109
0.49421	0.48427	0.49993	3.90785	0.1282	0.0328	0.3918	0.6082	76	118
0.49421	0.48427	0.49993	3.90785	0.1282	0.0328	0.3918	0.6082	76	118
0.49421	0.48427	0.49993	3.90785	0.1282	0.0328	0.3918	0.6082	76	118
0.49421	0.48427	0.49993	3.90785	0.1282	0.0328	0.3918	0.6082	76	118
