kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YAL009W	0	0.481425639536617	0.000187							0.201728	1.1986	0.1562											3				
YAR018C	YAL017W	0.03059913436523	0.00905611449996457	0.000224							0.162496	0.6325	0.1167	0.5264								159		5				
YAR018C	YAR019C	-0.0272201773724482	0.0178766641005982	0.000231							0.181076	0.7957	0.2954	0.6264								151	1	6				
YAR018C	YBL009W	-0.0199090385743287	0.0634776075079828	0.000240							0.198561	3.0638	0.486	0.8668								237		5				
YAR018C	YBL016W	-0.00346581513615905	0.40811067357394	0.000202							0.086656	0.4441	0.1366	0.1733								201		5				
YAR018C	YBL046W	0.0388839574870544	0.00127120483414431	0.000203							0.112341	0.5211	0.1873	0.3775										4				
YAR018C	YBL056W	-0.0242664145085417	0.0308860678117908	0.000195							0.159151	0.6197	0.1409	0.6197										4				
YAR018C	YBL088C	-0.0233728762058262	0.0360831703632858	0.000224							0.21021	1.5435	0.2237	0.2661								351		5				
YAR018C	YBL105C	-0.0374337695911416	0.00186463961608491	0.000217							0.148125	0.6329	0.2862	0.5227								150		5	0			
YAR018C	YBR028C	0.00670933286150744	0.327730667298516	0.000197							0.156069	0.7239	0.2938	0.6472								313		5				
YAR018C	YBR059C	-0.0374582771264338	0.00185302208417211	0.000212							0.182112	0.6656	0.1548	0.6354										4				
YAR018C	YBR097W	0.0194021330094271	0.0687389802427691	0.000219							0.203997	1.2236	0.1097	0.1543										4				
YAR018C	YBR125C	0.0343141127748239	0.00397726315250194	0.000185							0.204751	1.5285	0.3145	0.4697										4				
YAR018C	YBR136W	0.0278198190354977	0.0159236547950833	0.000222							0.15573	0.7195	0.2925	0.5587								306		5				
YAR018C	YBR156C	0.0249044793168049	0.0276496326237699	0.000206							0.160671	0.7709	0.3622	0.7709										4				
YAR018C	YBR160W	0.0334034298446745	0.00490802088112314	0.000187							0.083949	0.5326	0.3238	0.3289			900					945		6				
YAR018C	YBR274W	-0.0222670359565394	0.0435092561634823	0.000208							0.173561	0.6647	0.208	0.5274										4				
YAR018C	YBR276C	-0.0180892635066079	0.0836597342966982	0.000220							0.152697	0.5755	0.1288	0.431										4				
YAR018C	YCL024W	0.0450937843545449	0.000208974517770268	0.000224							0.216489	1.7304	0.18	0.6102										4				
YAR018C	YCR008W	-0.0158385634034325	0.114501525294308	0.000218							0.181889	0.6654	0.1343	0.3763										4				
YAR018C	YCR073C	-0.0145289594825044	0.136254360057957	0.000235							0.184285	0.7203	0.1474	0.5313										4				
YAR018C	YCR079W	-0.0292005249426435	0.01214909443415	0.000192							0.13955	0.5387	0.1137	0.2019										4				
YAR018C	YCR091W	0.0239258936041663	0.032795581673508	0.000199							0.182032	0.6655	0.0707	0.5272										4				
YAR018C	YDL006W	0.00216984610364461	0.437315771836399	0.000187						-0.217601	0.137892	1.9758	0.534	0.6549								200		6	0	0		
YAR018C	YDL017W	0.0374177448650707	0.00187225545390033	0.000178							0.143676	0.5413	0.1663	0.2985										4				
YAR018C	YDL025C	0.0225103906989164	0.0417790837089857	0.000228							0.160942	0.6266	0.1372	0.3743										4				
YAR018C	YDL028C	-0.0333056741329295	0.00502081715065746	0.000208							0.147152	0.6778	0.3793	0.6629								364		5				
YAR018C	YDL047W	-0.0335121375205857	0.00478451957666008	0.000208							0.142016	0.542	0.2045	0.2972										4				
YAR018C	YDL079C	-0.0176682490980037	0.0889233656862013	0.000189							0.131227	0.5333	0.1081	0.2691								170		5				
YAR018C	YDL101C	0.0079272894923696	0.295931765690831	0.000177							0.152885	0.5773	0.1823	0.5773								209		5				
YAR018C	YDL108W	0.0321283284289378	0.00655527527227659	0.000176							0.121955	0.5688	0.2556	0.29								261		5				
YAR018C	YDL127W	0	0.481425639536617	0.000220							0.169978	0.6565	0.1204											3				
YAR018C	YDL134C	-0.0183769481082026	0.0801764369358714	0.000222							0.095968	0.4726	0.163	0.2692								158		5				
YAR018C	YDL159W	0.0231672967132826	0.0373713524817926	0.000211							0.13107	0.5332	0.18	0.4447								173		5				
YAR018C	YDL188C	-0.0149989443217817	0.128108913624524	0.000218							0.087178	0.4457	0.1628	0.3761										4				
YAR018C	YDL214C	-0.0128524430381411	0.171822526385996	0.000213							0.178691	0.6862	0.226	0.4764										4				
YAR018C	YDL230W	0	0.481425639536617	0.000182							0.120695	0.5265	0.132									272		4				
YAR018C	YDL236W	0.0124253218706305	0.181741696940686	0.000240							0.190738	0.8938	0.1249	0.1541										4				
YAR018C	YDR028C	0.0094898568574114	0.255023474371267	0.000228							0.16031	0.6244	0.2026	0.5327										4				
YAR018C	YDR067C	-0.0281014147675238	0.0150794551805042	0.000179							0.171895	0.8095	0.3549	0.4657										4				
YAR018C	YDR122W	-0.0124513431437341	0.181130574260104	0.000215							0.175223	0.7142	0.2574	0.7142								153		5	0			
YAR018C	YDR195W	0.0298028704380472	0.0107144289262896	0.000213							0.13535	0.5608	0.2338	0.1815										4				
YAR018C	YDR247W	0.0214541964698862	0.0497540085705275	0.000217							0.181639	0.6653	0.1574	0.3634								517		5				
YAR018C	YDR283C	-0.0271162040731933	0.0182379366221603	0.000223							0.214785	2.0929	0.3192	1.0538										4				
YAR018C	YDR422C	0.0125866632189297	0.177966546431967	0.000233							0.165042	0.6423	0.1504	0.6423										4				
YAR018C	YDR436W	0.0249030871985828	0.0276565440751697	0.000196							0.211611	1.5687	0.1722	0.5428										4				
YAR018C	YDR466W	0.0318789880615845	0.00691121918742215	0.000225							0.174845	0.6601	0.1537	0.5244										4				
YAR018C	YDR477W	-0.0164177360027908	0.105796100219923	0.000185						-0.217601	0.148342	0.6813	0.38	0.6813								297		6	0	0		
YAR018C	YDR481C	0.0310584351046034	0.00821781941050708	0.000177							0.165775	0.6451	0.1234	0.4792										4				
YAR018C	YDR490C	-0.0129152510761631	0.170384609085154	0.000198							0.186743	0.8062	0.1497	0.5427										4				
YAR018C	YDR507C	0.00706068415134497	0.318601935133358	0.000213							0.210769	1.5961	0.2366	0.6404										4				
YAR018C	YDR523C	-0.0357746636158093	0.00279731640897458	0.000180							0.155491	0.6497	0.2514	0.1223								203		5				
YAR018C	YER027C	-0.0209077686942196	0.0543305982517777	0.000186						1.14167	0.145992	0.5428	0.1504	0.5294										5				
YAR018C	YER054C	-0.0304301699666736	0.0093754128660213	0.000203							0.165732	0.6449	0.1702	0.6279										4				
YAR018C	YER075C	-0.0255913575407899	0.0243872270899639	0.000218							0.177129	0.6619	0.1552	0.6619										4				
YAR018C	YER089C	0.00211630178506042	0.438478496589289	0.000228							0.152245	0.6084	0.2627	0.4984										4				
YAR018C	YER123W	-0.0219810879182916	0.0456022359774901	0.000230							0.155598	0.6062	0.11	0.4697										4				
YAR018C	YER129W	-0.0302683603742686	0.0097035117810411	0.000207							0.163624	0.6368	0.1504	0.5411										4				
YAR018C	YER133W	0.0292289483129196	0.0120791807276123	0.000187							0.16327	0.7832	0.3622	0.6371										4				
YAR018C	YER134C	0.0265888136601371	0.0201787531673153	0.000193							0.152503	0.5643	0.0505	0.2392										4				
YAR018C	YER139C	-0.0203441664653779	0.0593316782805482	0.000165							0.171612	0.6577	0.1584	0.0647										4				
YAR018C	YFL029C	-0.00401194512519004	0.395230196475099	0.000202							0.159106	0.6196	0.135	0.1931								431		5				
YAR018C	YFL033C	-0.0251737251929806	0.0263337573964192	0.000223							0.177816	0.663	0.203	0.663								190		5				
YAR018C	YFL034C-B	0.0267279054490522	0.0196326496275263	0.000218							0.157114	0.612	0.1416	0.612								153		5	0			
YAR018C	YFR014C	-0.0232082337646591	0.0371050666274933	0.000185							0.167771	0.6527	0.1135	0.1765								211		5				
YAR018C	YFR028C	0.0387773665409282	0.00130784211879484	0.000201							0.170932	0.8007	0.3107	0.6449								544		5				
YAR018C	YGL019W	0.0294336652221125	0.0115811497594983	0.000188							0.095943	0.4725	0.1384	0.3499										4				
YAR018C	YGL021W	-0.01719912056983	0.0949599574538125	0.000201							0.150145	0.5455	0.1134	0.5302										4				
YAR018C	YGL059W	-0.0324371365696825	0.00612542838345617	0.000205							0.178499	0.6629	0.0859	0.4384										4				
YAR018C	YGL083W	0.00313516856422411	0.415749851301337	0.000227							0.16601	0.646	0.1475	0.2691										4				
YAR018C	YGL115W	0.017980625449985	0.0849990848432676	0.000203							0.130038	0.5326	0.1504	0.4799										4				
YAR018C	YGL119W	-0.00109832653284455	0.459881532346108	0.000228							0.132535	0.5342	0.0695	0.255										4				
