cancel	mean_k	vec	norm	lam	λB	λW	AUC_T	AUC_P	AUC_Tpos	AUC_Tneg	AUC_Ppos	AUC_Pneg	AUC_sum
false	true	true	0	0	0.0	0.0	1.0	0.8333333333333334	1.0	1.0	0.2857142857142857	0.8571428571428571	4.976190476190476
true	true	true	0	0	0.0	0.0	1.0	0.75	1.0	1.0	1.0	0.7142857142857143	5.464285714285714
false	false	true	0	0	0.0	0.0	1.0	0.75	1.0	1.0	1.0	0.7142857142857143	5.464285714285714
true	false	true	0	0	0.0	0.0	1.0	0.75	1.0	1.0	1.0	0.8571428571428571	5.607142857142857
false	true	false	0	0	0.0	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	1.0	5.607142857142858
true	true	false	0	0	0.0	0.0	0.9	0.33333333333333337	1.0	0.9090909090909091	0.2857142857142857	0.2857142857142857	3.7138528138528137
false	false	false	0	0	0.0	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.690476190476191
true	false	false	0	0	0.0	0.0	1.0	0.6666666666666667	0.09090909090909094	1.0	1.0	0.2857142857142857	4.043290043290043
false	true	true	1	0	0.0	0.0	1.0	0.6666666666666667	1.0	1.0	0.1428571428571429	0.4285714285714286	4.238095238095238
true	true	true	1	0	0.0	0.0	0.9	0.5	0.9090909090909091	0.18181818181818177	0.2857142857142857	0.1428571428571429	2.919480519480519
false	false	true	1	0	0.0	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
true	false	true	1	0	0.0	0.0	1.0	0.5	1.0	1.0	0.8571428571428571	0.7142857142857143	5.071428571428571
false	true	false	1	0	0.0	0.0	0.9500000000000001	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.64047619047619
true	true	false	1	0	0.0	0.0	1.0	0.5833333333333334	1.0	1.0	0.2857142857142857	0.8571428571428571	4.726190476190476
false	false	false	1	0	0.0	0.0	0.9500000000000001	0.6666666666666667	1.0	0.9090909090909091	0.2857142857142857	0.5714285714285714	4.382900432900433
true	false	false	1	0	0.0	0.0	1.0	0.6666666666666667	1.0	1.0	0.4285714285714286	0.7142857142857143	4.80952380952381
false	true	true	2	0	0.0	0.0	0.9	0.6666666666666667	1.0	0.9090909090909091	0.2857142857142857	0.0	3.7614718614718616
true	true	true	2	0	0.0	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
false	false	true	2	0	0.0	0.0	1.0	0.5833333333333334	1.0	1.0	0.2857142857142857	0.8571428571428571	4.726190476190476
true	false	true	2	0	0.0	0.0	1.0	0.75	1.0	1.0	0.7142857142857143	1.0	5.464285714285714
false	true	false	2	0	0.0	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
true	true	false	2	0	0.0	0.0	1.0	0.4166666666666667	1.0	1.0	0.8571428571428571	0.5714285714285714	4.845238095238095
false	false	false	2	0	0.0	0.0	1.0	0.6666666666666667	1.0	1.0	0.4285714285714286	1.0	5.095238095238095
true	false	false	2	0	0.0	0.0	1.0	0.5	1.0	1.0	0.7142857142857143	0.8571428571428571	5.071428571428571
false	true	true	0	1	0.0	0.0	1.0	0.9166666666666666	1.0	1.0	1.0	1.0	5.916666666666666
true	true	true	0	1	0.0	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.690476190476191
false	false	true	0	1	0.0	0.0	1.0	0.5	1.0	1.0	0.0	0.8571428571428571	4.357142857142858
true	false	true	0	1	0.0	0.0	0.9500000000000001	0.5833333333333334	0.9090909090909091	1.0	0.4285714285714286	0.8571428571428571	4.728138528138528
