count	cancel	mean_k	vec	norm	lam
8	false	true	false	2	1
8	true	false	false	0	1
7	false	false	true	0	4
6	false	false	false	1	1
6	false	true	true	2	1
6	true	false	false	1	4
6	false	false	true	0	1
6	false	false	true	2	1
6	true	false	true	2	4
6	true	true	false	1	4
6	true	true	true	2	3
6	true	true	true	1	4
6	false	false	true	0	0
6	true	true	false	1	1
6	false	false	true	1	4
6	false	false	true	2	4
5	false	false	false	0	4
5	false	true	true	0	1
5	true	false	false	1	1
5	false	false	true	2	3
5	true	false	false	0	4
5	true	false	true	1	3
5	true	false	false	2	3
5	true	true	true	2	4
5	false	true	true	0	4
5	true	false	true	0	0
5	true	false	true	2	1
5	true	true	false	0	3
4	false	false	false	0	3
4	true	false	true	1	0
4	false	true	true	1	4
4	false	true	false	1	1
4	false	false	false	2	3
4	true	true	false	0	4
4	false	true	true	0	0
4	true	false	true	2	0
4	true	true	true	2	1
4	true	false	false	0	3
4	true	true	true	0	1
4	true	false	true	1	1
4	true	false	false	2	1
4	false	false	true	1	1
4	false	true	false	1	4
3	true	false	true	1	4
3	true	false	true	0	4
3	true	false	false	2	0
3	false	false	false	1	3
3	false	true	true	2	4
3	false	true	false	0	4
3	false	false	false	2	4
3	true	true	true	0	0
3	false	false	false	0	0
3	false	true	true	1	3
3	true	true	false	1	3
3	true	true	true	1	0
3	true	true	false	0	1
3	false	false	false	0	1
3	true	true	false	2	3
3	false	false	true	1	0
3	false	true	false	2	4
3	false	true	false	2	3
3	false	true	false	0	1
3	false	false	false	2	1
2	true	false	true	2	3
2	true	false	true	0	3
2	false	true	true	2	0
2	false	true	false	0	0
2	false	false	true	0	3
2	true	true	false	2	4
2	true	false	true	0	1
2	false	true	false	1	0
2	false	false	false	1	4
2	true	false	false	1	3
2	true	true	true	0	3
2	true	true	false	2	1
2	false	false	false	2	0
2	false	true	false	1	3
2	false	false	true	2	0
2	false	true	false	2	0
2	false	false	true	1	3
2	false	true	true	2	3
1	false	true	true	0	3
1	true	true	true	1	3
1	false	true	false	0	3
1	true	true	false	1	0
1	true	false	false	2	4
1	false	false	false	1	0
1	false	true	true	1	1
1	true	false	false	1	0
1	true	true	true	0	4
1	true	true	false	0	0
