	T1	T2	T3	T4
T1	-0.0	-7.057724501331321e-5	-6.194140298334275e-5	2.628960874362783e-5
T2	5.754611863974197e-5	0.0	-0.00023185735116848543	0.0001319625130015005
T3	-0.0001928832386818101	-0.00019747642301457923	-0.0	0.00022229966165871493
T4	-0.00013195790359194894	-0.00022002818598267733	0.00022044557549047292	-0.0
P1	0.00013846152755527384	7.006650849190653e-5	-0.00012360013475226923	0.0001314870096254742
P2	9.039677625670367e-5	5.98068630965227e-5	6.171817400155911e-5	6.592768872995127e-5
P3	6.230737522085802e-5	-0.00022290373478035564	9.21927804972874e-5	-8.95489176802177e-5
P4	-0.0001463847628608346	0.000196449119450447	0.0002257661837503593	0.00012865588789561256
O1	0.00014832782092264135	0.406434386865201	4.6567673820343235e-5	-0.000137132420598348
O2	-0.3244650802643492	0.00013882654120348127	0.00038709577517104184	0.0003253866251773192
O3	-0.00018810421066034282	-6.6395481513111e-5	0.00022992962430469857	0.20067215181729592
O4	0.0003284622343399494	0.00015249208406409512	-0.2583874135456897	-0.00014212530033417647
