	T1	T2	T3	T4	P1	P2	P3	P4
T1	-8.23222642302091	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-8.229930473534168	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.6274483287412265	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-8.880435673461784	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.791830007785071	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.846990149489838	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.726532403407371	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.831464443282435
O1	-0.0003461505037054936	-1.7605608504559387	-0.0003464147288323991	-0.0003463819533740178	-0.000346434693170833	1.0219596335267804	-0.000346438964425941	-0.0003464337549807493
O2	0.3471964794537273	-0.0021278073220499915	-0.002133573649282414	-0.002133009452873537	0.3484679844180817	-0.0021339979542403455	-0.0021340609976942225	-0.002133943441879685
O3	0.0007958245018217961	0.0007951240176152354	0.0007973160968508271	-2.1027145769589333	0.0007974653920563356	0.0007974785762634187	0.6563016844377207	0.0007974576549610275
O4	-0.0014056346268373433	-0.0014050350028373207	0.554225301131247	-0.0014066214349369541	-0.0014068490817123074	-0.001406855893387476	-0.0014068677600327017	0.5539490118190536
