	T1	T2	T3	T4
T1	-0.0	6.050905877584896e-6	5.287872089841059e-5	-1.1031494256614575e-5
T2	-2.7373915409412193e-6	0.0	1.1056720231522982e-5	8.827564294278755e-6
T3	-5.497573053284714e-5	6.259081864556542e-5	0.0	6.816860426923791e-7
T4	1.5413922100567092e-5	-0.0001268151010123029	3.595009275533731e-5	0.0
P1	1.97807703309106e-6	-8.995314966490195e-7	-5.958251564633468e-6	-6.395193948275833e-6
P2	-1.2032641954923326e-7	-8.093392767490382e-7	-0.00015006546279257933	-2.6795740535379952e-5
P3	6.041143657512108e-6	1.2984167368063064e-6	4.4434127990612685e-5	-3.4308548505162335e-6
P4	9.117950891854027e-6	3.0040671382206383e-6	-1.295052192760588e-5	-2.1181614629360346e-5
O1	-2.511864036683213e-5	0.44418744378648944	-4.7782055042392096e-5	-6.624376963788486e-7
O2	-0.17349712990455546	1.549493499515697e-5	-3.3591887217103676e-5	-7.304629700005625e-6
O3	-5.786442052806776e-5	-2.883550352616748e-5	0.252589351647653	-2.1840214415371747e-7
O4	-0.0003090363065484502	4.468071394460343e-5	2.909962961398732e-6	-0.06491120504011502
