	T1	T2	T3	T4
T1	-0.0	-1.9801942945184258e-5	-5.570147099766092e-5	-3.8467254278284595e-5
T2	6.534219244138227e-5	-0.0	-0.0001469182072510717	5.048054932151155e-5
T3	3.530352829803014e-5	4.57719004679653e-5	0.0	0.00012977966865194716
T4	-2.3614091645298685e-5	2.4873303438980405e-5	-5.1511388852749576e-5	-0.0
P1	3.92951809271803e-5	3.7427777728260644e-5	9.333405838359415e-5	-0.00010883903295680336
P2	4.657368110993935e-5	-3.7533625044230317e-5	0.0001351599238707154	4.9027704229386736e-5
P3	2.752754569914391e-5	-5.5723779887193e-5	-4.7208902466071206e-5	2.5046749893604316e-5
P4	5.5359335580696155e-5	-4.853522332155488e-5	-0.000107290582771222	-1.752815661120207e-5
O1	5.20649462020168e-5	0.9999004877954923	3.0433574644882875e-5	-7.011261298885588e-5
O2	-0.999962756986038	-2.059717062522555e-5	-5.2041643168881596e-5	9.516717610976455e-6
O3	1.5861505824207904e-5	-1.3095946450843088e-5	0.999934403074331	0.00010480502377677593
O4	-7.205218617474055e-5	-7.930634895910197e-5	5.423598713966393e-5	-0.9999986522430652
