	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.901863651853676	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-6.233497257580231	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-8.033039705516979	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.911697971517325	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-8.085565100045672	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.071785093985712	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.620880786400593	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.632581199434994
O1	4.89202231193129e-8	-4.392382427350293	4.892022578384803e-8	4.89202231193129e-8	4.892022578384803e-8	0.32602754257890537	4.892022578384803e-8	4.892022578384803e-8
O2	0.3923171384390012	-0.000864473572797742	-0.0008651970898333797	-0.0008649163796881124	0.3915738010979516	-0.0008651189013213536	-0.0008655800480964778	-0.0008655679505792404
O3	0.0018270615003011107	0.0018261787431560598	-1.3923776036891566	0.0018270926284479022	0.0018284050100733397	0.0018275099369250336	0.0018284567240217703	-1.3951693517112629
O4	2.7406770362451027e-5	2.740353856026526e-5	2.7408754645648657e-5	0.12196034081996673	2.7410673230309157e-5	2.7408255370056653e-5	-0.540802125295933	2.741072424321473e-5
