_	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.908342367174188	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-6.8213734293114	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.288906076807399	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.524165884486954	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.418475624790722	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.327038108121505	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.548905407690614	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.630682813556038
O1	-4.83813327421137e-7	-1.4016760135489361	-4.838348043628726e-7	-4.838106609972088e-7	-4.838340952630836e-7	0.8910105075583982	-4.8383346510019e-7	-4.83834827899612e-7
O2	1.306893678874856	-0.0002509053146509611	-0.00025106782098065276	-0.00025097980590664597	1.307138031918442	-0.00025105410580587894	-0.000251059420715524	-0.0002510681055596211
O3	-2.9058886137649873e-5	-2.9048718632841772e-5	-2.9068898093684602e-5	-2.2982804017062968	-2.9068263360730905e-5	-2.906715628964636e-5	0.6928209784754672	-2.9068935296452205e-5
O4	-0.00139038271057456	-0.0013872435937196956	0.6867571488840304	-0.0013900489251189383	-0.0013945484826044297	-0.0013938377819270242	-0.0013942445116499939	0.6866315761114773
