KP	Mode
YAL009W	phosphatase
YAL017W	kinase
YAR018C	kinase
YAR019C	kinase
YBL009W	kinase
YBL016W	kinase
YBL056W	phosphatase
YBL088C	
YBL105C	kinase
YBR028C	kinase
YBR059C	kinase
YBR097W	kinase
YBR125C	phosphatase
YBR136W	
YBR160W	kinase
YBR274W	kinase
YBR276C	phosphatase
YCL024W	kinase
YCR008W	kinase
YCR073C	kinase
YCR079W	phosphatase
YCR091W	kinase
YDL006W	phosphatase
YDL017W	kinase
YDL025C	kinase
YDL028C	kinase
YDL047W	phosphatase
YDL079C	kinase
YDL101C	kinase
YDL108W	kinase
YDL127W	
YDL134C	phosphatase
YDL159W	kinase
YDL188C	phosphatase
YDL214C	kinase
YDL230W	phosphatase
YDR028C	
YDR075W	phosphatase
YDR122W	kinase
YDR147W	
YDR247W	kinase
YDR283C	kinase
YDR436W	phosphatase
YDR466W	kinase
YDR477W	kinase
YDR490C	kinase
YDR507C	kinase
YDR523C	kinase
YER075C	phosphatase
YER089C	phosphatase
YER123W	kinase
YER129W	kinase
YER133W	phosphatase
YFL029C	kinase
YFL033C	kinase
YFL034C-B	
YFR014C	kinase
YFR019W	
YFR028C	phosphatase
YGL019W	kinase
YGL021W	kinase
YGL059W	kinase
YGL083W	kinase
YGL119W	
YGL124C	
YGL134W	
YGL158W	kinase
YGL179C	kinase
YGL180W	kinase
YGR040W	kinase
YGR052W	kinase
YGR080W	
YGR092W	kinase
YGR109C	kinase
YGR123C	phosphatase
YGR188C	kinase
YGR203W	phosphatase
YGR262C	kinase
YHL007C	kinase
YHR004C	phosphatase
YHR030C	kinase
YHR071W	
YHR076W	phosphatase
YHR079C	kinase
YHR082C	kinase
YHR135C	kinase
YHR205W	kinase
YIL035C	kinase
YIL042C	kinase
YIL095W	kinase
YIL113W	phosphatase
YIL147C	
YIR026C	phosphatase
YJL006C	kinase
YJL057C	kinase
YJL095W	kinase
YJL106W	kinase
YJL128C	kinase
YJL141C	kinase
YJL164C	kinase
YJL165C	kinase
YJL187C	kinase
YJR059W	kinase
YJR066W	
YKL025C	kinase
YKL048C	kinase
YKL101W	kinase
YKL116C	kinase
YKL126W	kinase
YKL139W	kinase
YKL161C	kinase
YKL166C	kinase
YKL168C	kinase
YKL171W	kinase
YKL190W	phosphatase
YKL198C	kinase
YKL203C	kinase
YLL010C	phosphatase
YLL019C	kinase
YLR019W	phosphatase
YLR096W	kinase
YLR113W	kinase
YLR133W	
YLR210W	kinase
YLR226W	
YLR240W	kinase
YLR248W	kinase
YLR253W	
YLR260W	
YLR361C	phosphatase
YLR362W	kinase
YLR433C	phosphatase
YML016C	phosphatase
YML057W	phosphatase
YMR001C	kinase
YMR036C	phosphatase
YMR104C	kinase
YMR139W	kinase
YMR216C	kinase
YMR277W	
YMR291W	kinase
YNL020C	kinase
YNL025C	
YNL032W	
YNL053W	phosphatase
YNL056W	
YNL099C	phosphatase
YNL154C	kinase
YNL161W	kinase
YNL183C	kinase
YNL201C	phosphatase
YNL222W	
YNL289W	
YNL298W	kinase
YNL307C	kinase
YNR031C	kinase
YNR032W	
YNR047W	kinase
YOL001W	
YOL016C	kinase
YOL045W	kinase
YOL061W	
YOL100W	kinase
YOL113W	kinase
YOL128C	kinase
YOR014W	phosphatase
YOR039W	kinase
YOR061W	kinase
YOR090C	phosphatase
YOR119C	kinase
YOR171C	
YOR208W	phosphatase
YOR231W	kinase
YOR233W	kinase
YOR267C	kinase
YOR351C	kinase
YOR367W	
YPL026C	kinase
YPL031C	kinase
YPL042C	kinase
YPL109C	
YPL140C	kinase
YPL141C	kinase
YPL150W	kinase
YPL153C	kinase
YPL179W	phosphatase
YPL203W	kinase
YPL204W	kinase
YPL209C	kinase
YPL236C	kinase
YPL256C	kinase
YPR025C	
YPR054W	kinase
YPR073C	phosphatase
YPR106W	kinase
YPR111W	kinase
YPR119W	kinase
YPR120C	kinase
YPR161C	kinase
